MAS: Financial Database - Domestic Interest Rates,,,,
,,,,
Domestic Interest Rates (Daily),,,,
Jan 1990 to Aug 2024,,,,
,,,,
,,,,
End of Period / SORA Value Date,,,Interbank Overnight,SF Deposit Rate
1990,Jan,02,5.38,-
,,03,5.5,-
,,04,5,-
,,05,4.88,-
,,06,5,-
,,08,4.88,-
,,09,4.88,-
,,10,4.75,-
,,11,5,-
,,12,5.5,-
,,13,6.5,-
,,15,7.5,-
,,16,6.38,-
,,17,9,-
,,18,20,-
,,19,20,-
,,20,15,-
,,22,6,-
,,23,7.25,-
,,24,6.25,-
,,25,6.25,-
,,26,6,-
,,30,6.25,-
,,31,6.63,-
,Feb,01,9,-
,,02,5,-
,,03,0.13,-
,,05,0.5,-
,,06,0.13,-
,,07,0.13,-
,,08,0.5,-
,,09,3.25,-
,,10,2.5,-
,,12,3,-
,,13,3.25,-
,,14,4,-
,,15,4.25,-
,,16,4.75,-
,,17,5,-
,,19,4.38,-
,,20,5,-
,,21,5,-
,,22,4.88,-
,,23,5,-
,,24,4.75,-
,,26,3.25,-
,,27,4.25,-
,,28,4.88,-
,Mar,01,5.5,-
,,02,5.5,-
,,03,5.25,-
,,05,5.63,-
,,06,5.75,-
,,07,5.88,-
,,08,5.75,-
,,09,5.88,-
,,10,5.88,-
,,12,6.25,-
,,13,6.44,-
,,14,6,-
,,15,6,-
,,16,6,-
,,17,6,-
,,19,6.25,-
,,20,6.5,-
,,21,6.44,-
,,22,6.38,-
,,23,6.13,-
,,24,5.5,-
,,26,6.25,-
,,27,6.13,-
,,28,6,-
,,29,6.13,-
,,30,6.25,-
,,31,6.13,-
,Apr,02,4.25,-
,,03,4,-
,,04,4,-
,,05,5.5,-
,,06,6.44,-
,,07,6.38,-
,,09,6.25,-
,,10,6.25,-
,,11,6.25,-
,,12,6.44,-
,,14,6.13,-
,,16,5.75,-
,,17,5.88,-
,,18,5.88,-
,,19,6.13,-
,,20,6.25,-
,,21,6.25,-
,,23,6.38,-
,,24,6.44,-
,,25,6.5,-
,,27,6.13,-
,,28,6.13,-
,,30,6.19,-
,May,02,6.25,-
,,03,6.25,-
,,04,6.31,-
,,05,6.31,-
,,07,6.31,-
,,08,6.44,-
,,10,6.25,-
,,11,6.19,-
,,12,6.25,-
,,14,6,-
,,15,5.5,-
,,16,5.88,-
,,17,5.88,-
,,18,5.88,-
,,19,5.88,-
,,21,6.5,-
,,22,6.25,-
,,23,5,-
,,24,7,-
,,25,5,-
,,26,5.88,-
,,28,6.13,-
,,29,6,-
,,30,6,-
,,31,6,-
,Jun,01,6.5,-
,,02,6,-
,,04,4,-
,,05,4,-
,,06,3.5,-
,,07,4.5,-
,,08,6.5,-
,,09,5.75,-
,,11,5.25,-
,,12,2,-
,,13,5,-
,,14,6.75,-
,,15,6.25,-
,,16,6.88,-
,,18,6.38,-
,,19,6.75,-
,,20,5,-
,,21,5.5,-
,,22,6.63,-
,,23,6.75,-
,,25,6.75,-
,,26,6.75,-
,,27,6.75,-
,,28,7,-
,,29,7.75,-
,,30,8.5,-
,Jul,02,7.75,-
,,04,7.5,-
,,05,7.25,-
,,06,7.5,-
,,07,7.5,-
,,09,7.63,-
,,10,7,-
,,11,6,-
,,12,4.75,-
,,13,4.25,-
,,14,4.25,-
,,16,5.5,-
,,17,5.5,-
,,18,6,-
,,19,6,-
,,20,7.5,-
,,21,5,-
,,23,6.25,-
,,24,5.25,-
,,25,2.5,-
,,26,2,-
,,27,2.5,-
,,28,5,-
,,30,6.25,-
,,31,1.5,-
,Aug,01,5,-
,,02,6.5,-
,,03,6,-
,,04,2,-
,,06,5,-
,,07,6.13,-
,,08,1,-
,,10,6.5,-
,,11,5.75,-
,,13,6.25,-
,,14,7.5,-
,,15,7.5,-
,,16,7.25,-
,,17,7.25,-
,,18,7,-
,,20,6.75,-
,,21,6.75,-
,,22,6.75,-
,,23,6.75,-
,,24,6.75,-
,,25,6.75,-
,,27,6.75,-
,,28,5.75,-
,,29,5.5,-
,,30,6.63,-
,,31,6.5,-
,Sep,01,6,-
,,03,5.56,-
,,04,5.75,-
,,05,6.5,-
,,06,6,-
,,07,6.63,-
,,08,6.25,-
,,10,5.13,-
,,11,5,-
,,12,6.13,-
,,13,5.75,-
,,14,6.5,-
,,15,6.5,-
,,17,6.25,-
,,18,5.5,-
,,19,5.25,-
,,20,6.13,-
,,21,7.25,-
,,22,6.75,-
,,24,6,-
,,25,6,-
,,26,7.13,-
,,27,7.75,-
,,28,6.88,-
,,29,6.13,-
,Oct,01,6.5,-
,,02,5.75,-
,,03,6,-
,,04,6.88,-
,,05,6.5,-
,,06,6.88,-
,,08,6.75,-
,,09,6.38,-
,,10,6.5,-
,,11,6.25,-
,,12,6.5,-
,,13,6.5,-
,,15,6.5,-
,,16,6.63,-
,,18,6.75,-
,,19,6.88,-
,,20,6.88,-
,,22,6.75,-
,,23,6.69,-
,,24,6.63,-
,,25,6.63,-
,,26,7.13,-
,,27,6.75,-
,,29,6.5,-
,,30,5.88,-
,,31,6.13,-
,Nov,01,6.88,-
,,02,6.75,-
,,03,6.88,-
,,05,6.63,-
,,06,6.5,-
,,07,6.25,-
,,08,6.63,-
,,09,6.88,-
,,10,6.75,-
,,12,6,-
,,13,1.5,-
,,14,5.5,-
,,15,5,-
,,16,5.5,-
,,17,5.38,-
,,19,2,-
,,20,5,-
,,21,4.5,-
,,22,5,-
,,23,4.25,-
,,24,4,-
,,26,2,-
,,27,2,-
,,28,5,-
,,29,5,-
,,30,6,-
,Dec,01,5.88,-
,,03,2,-
,,04,4.75,-
,,05,4.75,-
,,06,4.5,-
,,07,6,-
,,08,5.5,-
,,10,4.5,-
,,11,5,-
,,12,4.5,-
,,13,5.5,-
,,14,5.75,-
,,15,5.75,-
,,17,4.75,-
,,18,4.25,-
,,19,4.25,-
,,20,3,-
,,21,3,-
,,22,3.25,-
,,24,1.5,-
,,26,1.5,-
,,27,2,-
,,28,4.5,-
,,29,3.5,-
,,31,4.5,-
1991,Jan,02,4,-
,,03,4.88,-
,,04,4.5,-
,,05,4.5,-
,,07,4.5,-
,,08,4.5,-
,,09,4.38,-
,,10,4.25,-
,,11,4.25,-
,,12,4.13,-
,,14,4.13,-
,,15,4.38,-
,,16,4.13,-
,,17,4.25,-
,,18,4.13,-
,,19,4.5,-
,,21,4.5,-
,,22,4.75,-
,,23,4.75,-
,,24,5.25,-
,,25,5.75,-
,,26,5.38,-
,,28,4.5,-
,,29,4.63,-
,,30,4.25,-
,,31,4.63,-
,Feb,01,4.25,-
,,02,4.5,-
,,04,4.38,-
,,05,4.38,-
,,06,4.38,-
,,07,4.63,-
,,08,4.38,-
,,09,4.38,-
,,11,4.25,-
,,12,4.63,-
,,13,4.75,-
,,14,4.38,-
,,18,4.75,-
,,19,4.38,-
,,20,4.63,-
,,21,5,-
,,22,5.56,-
,,23,6.75,-
,,25,5.25,-
,,26,5.13,-
,,27,4.75,-
,,28,5,-
,Mar,01,4.88,-
,,02,4.88,-
,,04,4.75,-
,,05,4.88,-
,,06,4.5,-
,,07,4.5,-
,,08,2.5,-
,,09,3.5,-
,,11,1,-
,,12,3.75,-
,,13,4.5,-
,,14,4,-
,,15,4.5,-
,,16,4.75,-
,,18,4.25,-
,,19,3.75,-
,,20,4.25,-
,,21,4.25,-
,,22,4.13,-
,,23,4,-
,,25,4.13,-
,,26,3.75,-
,,27,4.13,-
,,28,5.75,-
,,30,4.75,-
,Apr,01,4.5,-
,,02,4.5,-
,,03,4.63,-
,,04,4.38,-
,,05,4.63,-
,,06,4.75,-
,,08,4.5,-
,,09,4.63,-
,,10,4.56,-
,,11,4.75,-
,,12,4.69,-
,,13,4.5,-
,,15,4.5,-
,,17,4.63,-
,,18,4.88,-
,,19,5.75,-
,,20,5.25,-
,,22,3.75,-
,,23,4.75,-
,,24,4.88,-
,,25,4.94,-
,,26,5.88,-
,,27,5.5,-
,,29,5.5,-
,,30,5.25,-
,May,02,4.75,-
,,03,5.25,-
,,04,5.5,-
,,06,5.13,-
,,07,4.5,-
,,08,4.5,-
,,09,4.75,-
,,10,5,-
,,11,5.13,-
,,13,4.5,-
,,14,4.5,-
,,15,4.75,-
,,16,5,-
,,17,5,-
,,18,5,-
,,20,5.13,-
,,21,5.13,-
,,22,5,-
,,23,5.5,-
,,24,5.13,-
,,25,5.13,-
,,27,5.38,-
,,29,5,-
,,30,5,-
,,31,5.5,-
,Jun,01,5.13,-
,,03,5.25,-
,,04,5,-
,,05,5,-
,,06,5.06,-
,,07,5.25,-
,,08,5,-
,,10,4.88,-
,,11,5,-
,,12,5.13,-
,,13,5.13,-
,,14,5.13,-
,,15,5,-
,,17,5.25,-
,,18,5.25,-
,,19,5.25,-
,,20,5.13,-
,,21,5.38,-
,,22,5.38,-
,,25,5.38,-
,,26,5.38,-
,,27,5.38,-
,,28,5.75,-
,,29,5.5,-
,Jul,01,5.63,-
,,02,5.63,-
,,03,5,-
,,04,5,-
,,05,5.19,-
,,06,5.5,-
,,08,5.06,-
,,09,3.5,-
,,10,4,-
,,11,4.75,-
,,12,2,-
,,13,4.5,-
,,15,4.5,-
,,16,3.5,-
,,17,4,-
,,18,4,-
,,19,4.5,-
,,20,4.5,-
,,22,4.88,-
,,23,5,-
,,24,5,-
,,25,4.75,-
,,26,5.13,-
,,27,5,-
,,29,4.75,-
,,30,5.13,-
,,31,5.25,-
,Aug,01,4.25,-
,,02,4.88,-
,,03,4.75,-
,,05,4.75,-
,,06,4.63,-
,,07,4.88,-
,,08,5.25,-
,,10,5.25,-
,,12,5.38,-
,,13,5.25,-
,,14,5.25,-
,,15,5,-
,,16,5,-
,,17,5.13,-
,,19,5,-
,,20,4.75,-
,,21,4.63,-
,,22,4.88,-
,,23,5.13,-
,,24,5.25,-
,,26,5.38,-
,,27,5.5,-
,,28,5.5,-
,,29,5.38,-
,,30,5.38,-
,Sep,02,5.5,-
,,03,4.13,-
,,04,4,-
,,05,4.88,-
,,06,5.38,-
,,07,5.75,-
,,09,5.38,-
,,10,4.38,-
,,11,5.5,-
,,12,5.13,-
,,13,5.5,-
,,14,5.25,-
,,16,5,-
,,17,5,-
,,18,5.5,-
,,19,5.5,-
,,20,5.25,-
,,21,5.25,-
,,23,5,-
,,24,4.38,-
,,25,4.5,-
,,26,4.5,-
,,27,4.5,-
,,28,4.5,-
,,30,4.5,-
,Oct,01,4.75,-
,,02,3.5,-
,,03,1.25,-
,,04,3,-
,,05,3,-
,,07,2.75,-
,,08,3.38,-
,,09,3.38,-
,,10,4.25,-
,,11,4,-
,,12,3.88,-
,,14,3.75,-
,,15,4,-
,,16,3.88,-
,,17,3.88,-
,,18,4.25,-
,,19,4.13,-
,,21,3.88,-
,,22,3.88,-
,,23,3.75,-
,,24,3.75,-
,,25,3.75,-
,,26,3.25,-
,,28,3.69,-
,,29,3.63,-
,,30,3.25,-
,,31,3.5,-
,Nov,01,3.56,-
,,02,3.56,-
,,04,3.88,-
,,06,3.88,-
,,07,3.63,-
,,08,3.75,-
,,09,3.75,-
,,11,3.5,-
,,12,3.75,-
,,13,3.75,-
,,14,3.69,-
,,15,3.88,-
,,16,4,-
,,18,3.88,-
,,19,3.88,-
,,20,3.88,-
,,21,3.5,-
,,22,3.5,-
,,23,3.44,-
,,25,3.44,-
,,26,3.38,-
,,27,3.25,-
,,28,3.63,-
,,29,3.31,-
,,30,3.5,-
,Dec,02,3.25,-
,,03,3.13,-
,,04,3.13,-
,,05,3.06,-
,,06,3,-
,,07,3,-
,,09,2.5,-
,,10,2.38,-
,,11,2.25,-
,,12,2,-
,,13,2.38,-
,,14,2.13,-
,,16,2.63,-
,,17,1.5,-
,,18,2.13,-
,,19,2.31,-
,,20,3,-
,,21,2.75,-
,,23,2.75,-
,,24,4.75,-
,,26,4.25,-
,,27,2,-
,,28,1,-
,,30,1.5,-
,,31,3.25,-
1992,Jan,02,3,-
,,03,3.5,-
,,04,3.25,-
,,06,2.75,-
,,07,2.75,-
,,08,2.63,-
,,09,3.38,-
,,10,3.75,-
,,11,3.5,-
,,13,2.5,-
,,14,3.25,-
,,15,3.5,-
,,16,3.75,-
,,17,2.88,-
,,18,3.25,-
,,20,3.5,-
,,21,3.25,-
,,22,3,-
,,23,3.38,-
,,24,3.63,-
,,25,3.63,-
,,27,3.38,-
,,28,3.25,-
,,29,3.5,-
,,30,3.75,-
,,31,3.75,-
,Feb,01,3.25,-
,,03,3.25,-
,,06,3.25,-
,,07,3.13,-
,,08,3.13,-
,,10,3.25,-
,,11,3.5,-
,,12,3.25,-
,,13,3.25,-
,,14,3.25,-
,,15,2.75,-
,,17,3.13,-
,,18,3.25,-
,,19,3,-
,,20,3.25,-
,,21,3.5,-
,,22,3.5,-
,,24,3.5,-
,,25,3.5,-
,,26,3.38,-
,,27,3.13,-
,,28,3.75,-
,,29,3.5,-
,Mar,02,3.63,-
,,03,3.63,-
,,04,3.13,-
,,05,3,-
,,06,3.25,-
,,07,3.25,-
,,09,3,-
,,10,2.75,-
,,11,2.88,-
,,12,2.88,-
,,13,3.13,-
,,14,3.13,-
,,16,3.13,-
,,17,3.25,-
,,18,3.13,-
,,19,3,-
,,20,3,-
,,21,3,-
,,23,3.13,-
,,24,3,-
,,25,3,-
,,26,3.06,-
,,27,3,-
,,28,3,-
,,30,2.75,-
,,31,3,-
,Apr,01,3.13,-
,,02,3.63,-
,,03,3.63,-
,,04,3.63,-
,,07,3.25,-
,,08,3.13,-
,,09,3.06,-
,,10,3.25,-
,,11,3.13,-
,,13,3.25,-
,,14,3.19,-
,,15,3.25,-
,,16,3.5,-
,,18,3.5,-
,,20,3.38,-
,,21,2.5,-
,,22,3.38,-
,,23,3.25,-
,,24,3.63,-
,,25,3.75,-
,,27,3.25,-
,,28,3.25,-
,,29,3.5,-
,,30,3.5,-
,May,02,3.5,-
,,04,3.63,-
,,05,2,-
,,06,3,-
,,07,3,-
,,08,3.13,-
,,09,3.13,-
,,11,3,-
,,12,3,-
,,13,2.63,-
,,14,2.88,-
,,15,3.38,-
,,16,3.25,-
,,19,3.13,-
,,20,3.13,-
,,21,3.25,-
,,22,3.06,-
,,23,3.13,-
,,25,3,-
,,26,3,-
,,27,2.88,-
,,28,3,-
,,29,2.75,-
,,30,2.88,-
,Jun,01,2.25,-
,,02,3,-
,,03,3,-
,,04,3.13,-
,,05,3.06,-
,,06,3.06,-
,,08,3,-
,,09,2.94,-
,,10,3,-
,,12,3,-
,,13,3,-
,,15,2.94,-
,,16,2.88,-
,,17,3.13,-
,,18,3.5,-
,,19,2.75,-
,,20,3,-
,,22,2.88,-
,,23,2.75,-
,,24,1.75,-
,,25,2.38,-
,,26,2.75,-
,,27,2.75,-
,,29,2.5,-
,,30,0.13,-
,Jul,01,0.5,-
,,02,1.75,-
,,03,1.25,-
,,04,1.5,-
,,06,1.75,-
,,07,1.25,-
,,08,1.25,-
,,09,1.63,-
,,10,1.25,-
,,11,1.5,-
,,13,1.25,-
,,14,2.25,-
,,15,2.75,-
,,16,2.38,-
,,17,2.5,-
,,18,2.63,-
,,20,2.25,-
,,21,2.13,-
,,22,2.13,-
,,23,2.38,-
,,24,2.63,-
,,25,2.25,-
,,27,2.5,-
,,28,2.38,-
,,29,2.5,-
,,30,2.5,-
,,31,2.75,-
,Aug,01,2.63,-
,,03,2.75,-
,,04,3.13,-
,,05,3,-
,,06,2.75,-
,,07,2.75,-
,,08,2.5,-
,,11,1,-
,,12,0.25,-
,,13,1,-
,,14,3,-
,,15,2,-
,,17,3.25,-
,,18,3.25,-
,,19,4,-
,,20,3,-
,,21,2.75,-
,,22,3.25,-
,,24,2.13,-
,,25,1.88,-
,,26,1.63,-
,,27,1.75,-
,,28,1.75,-
,,29,2.13,-
,,31,1.75,-
,Sep,01,0.5,-
,,02,0.06,-
,,03,1,-
,,04,1,-
,,05,0.5,-
,,07,1,-
,,08,1,-
,,09,1,-
,,10,1,-
,,11,1,-
,,12,1.25,-
,,14,1,-
,,15,1,-
,,16,1.13,-
,,17,2.25,-
,,18,3,-
,,19,2.25,-
,,21,1.25,-
,,22,1.25,-
,,23,1.25,-
,,24,1.38,-
,,25,1.88,-
,,26,1.63,-
,,28,1.88,-
,,29,1.88,-
,,30,1.38,-
,Oct,01,0.25,-
,,02,1.13,-
,,03,1.75,-
,,05,1,-
,,06,1.13,-
,,07,0.88,-
,,08,0.38,-
,,09,1.75,-
,,10,1.63,-
,,12,1.38,-
,,13,1.25,-
,,14,1.38,-
,,15,1.25,-
,,16,1.63,-
,,17,1.38,-
,,19,1.63,-
,,20,1.63,-
,,21,1.88,-
,,22,1.5,-
,,23,2.13,-
,,24,2.5,-
,,27,1.25,-
,,28,1.75,-
,,29,1.63,-
,,30,1.63,-
,,31,1.63,-
,Nov,02,1.63,-
,,03,1,-
,,04,0.75,-
,,05,1,-
,,06,1.63,-
,,07,1.63,-
,,09,0.63,-
,,10,0.88,-
,,11,0.88,-
,,12,1.38,-
,,13,1.88,-
,,14,1.63,-
,,16,1.25,-
,,17,1.63,-
,,18,1.38,-
,,19,2,-
,,20,1.88,-
,,21,1.88,-
,,23,1.5,-
,,24,1.63,-
,,25,1.63,-
,,26,1.75,-
,,27,1.5,-
,,28,2,-
,,30,1.5,-
,Dec,01,0.25,-
,,02,0.5,-
,,03,0.75,-
,,04,0.88,-
,,05,1,-
,,07,0.88,-
,,08,0.5,-
,,09,0.5,-
,,10,0.88,-
,,11,1.75,-
,,12,1.5,-
,,14,1.13,-
,,15,1.13,-
,,16,1.25,-
,,17,3.25,-
,,18,3.75,-
,,19,3.75,-
,,21,2.75,-
,,22,1,-
,,23,1.13,-
,,24,1.75,-
,,26,1.5,-
,,28,1,-
,,29,1.13,-
,,30,1.75,-
,,31,3,-
1993,Jan,02,3.13,-
,,04,1.88,-
,,05,1.75,-
,,06,1.88,-
,,07,2.06,-
,,08,2.06,-
,,09,2.13,-
,,11,2,-
,,12,2.38,-
,,13,2.38,-
,,14,2.38,-
,,15,2.63,-
,,16,2.63,-
,,18,3.38,-
,,19,2.88,-
,,20,3,-
,,21,2.88,-
,,22,2.88,-
,,26,2.38,-
,,27,2.25,-
,,28,2.38,-
,,29,2.5,-
,,30,2.5,-
,Feb,01,2.25,-
,,02,2.25,-
,,03,2,-
,,04,1.88,-
,,05,2.06,-
,,06,2,-
,,08,1.88,-
,,09,1.88,-
,,10,2,-
,,11,1.94,-
,,12,1.75,-
,,13,1.88,-
,,15,1.75,-
,,16,1.13,-
,,17,1,-
,,18,1.13,-
,,19,1.13,-
,,20,1.13,-
,,22,1,-
,,23,0.88,-
,,24,1.13,-
,,25,1.13,-
,,26,1,-
,,27,1.25,-
,Mar,01,1,-
,,02,0.75,-
,,03,0.63,-
,,04,1.38,-
,,05,1.38,-
,,06,1.25,-
,,08,1.25,-
,,09,1,-
,,10,1,-
,,11,1.13,-
,,12,1.13,-
,,13,1,-
,,15,1.25,-
,,16,1.19,-
,,17,1.25,-
,,18,1.25,-
,,19,2.13,-
,,20,1.5,-
,,22,1.75,-
,,23,1.75,-
,,24,1.5,-
,,26,1.5,-
,,27,1.38,-
,,29,1.5,-
,,30,1.88,-
,,31,1.75,-
,Apr,01,1.31,-
,,02,2,-
,,03,2.13,-
,,05,2.25,-
,,06,1.5,-
,,07,1.81,-
,,08,2.63,-
,,10,2.25,-
,,12,2.5,-
,,13,2,-
,,14,2.25,-
,,15,2.13,-
,,16,2.75,-
,,17,2.25,-
,,19,2.88,-
,,20,3,-
,,21,4.13,-
,,22,3,-
,,23,3.25,-
,,24,3,-
,,26,3,-
,,27,2.75,-
,,28,2.5,-
,,29,2.88,-
,,30,2.88,-
,May,03,2.94,-
,,04,3.13,-
,,05,2.88,-
,,07,2.88,-
,,08,2.5,-
,,10,2.63,-
,,11,2.25,-
,,12,2.38,-
,,13,2.13,-
,,14,2.25,-
,,15,2.13,-
,,17,1.75,-
,,18,2,-
,,19,1.88,-
,,20,2.13,-
,,21,2,-
,,22,2,-
,,24,2.13,-
,,25,2,-
