Date,Dividends
2006-02-23,3054.800049
2006-08-28,3252.199951
2007-02-23,2970.000000
2007-08-28,2914.399902
2008-02-26,3246.600098
2008-08-26,3034.800049
2009-02-24,3192.600098
2009-08-26,3784.399902
2010-02-24,2658.000000
2010-08-27,3212.199951
2011-02-24,2616.600098
2011-08-29,2514.199951
2012-02-27,2364.399902
2012-08-29,2331.199951
2013-02-26,2352.800049
2013-08-28,2411.000000
2014-02-26,2479.000000
2014-08-27,2604.000000
2015-02-25,2717.000000
2015-08-27,2929.000000
2016-02-25,2989.000000
2016-08-29,3000.000000
2017-02-24,3252.000000
2017-08-29,3230.000000
2018-02-26,3299.000000
2018-08-29,3489.000000
2019-02-26,3487.000000
2019-08-29,3755.000000
2020-02-27,4058.000000
2020-08-28,3840.000000
2021-02-25,3546.000000
2021-08-30,3553.000000
2022-02-25,3460.000000
2022-08-30,3852.000000
2023-02-27,4068.000000
2023-08-30,3744.000000
2024-02-28,3902.000000
