Date,Dividends
2005-09-30,0.029384
2006-01-23,0.028027
2006-04-24,0.028317
2006-07-21,0.029966
2006-10-26,0.030645
2007-01-24,0.031033
2007-04-26,0.032003
2007-07-27,0.032681
2007-10-29,0.034039
2008-01-28,0.034524
2008-04-28,0.035785
2008-07-28,0.037724
2008-10-28,0.038888
2009-01-21,0.039542
2009-04-27,0.024409
2009-07-27,0.035344
2009-08-17,0.018941
2009-10-27,0.015036
2010-01-22,0.031927
2010-04-23,0.026654
2010-07-22,0.032903
2010-10-22,0.032219
2011-01-21,0.032122
2011-04-06,0.036027
2011-07-22,0.027435
2011-10-21,0.033001
2012-01-25,0.033977
2012-04-23,0.034172
2012-05-09,0.016891
2012-07-23,0.017574
2012-10-23,0.034465
2013-01-21,0.035344
2013-03-14,0.026361
2013-04-19,0.003612
2013-07-22,0.034660
2013-10-22,0.035148
2014-01-23,0.034367
2014-04-25,0.034660
2014-10-29,0.071273
2015-04-29,0.070004
2015-10-28,0.077789
2015-12-15,0.029876
2016-05-11,0.041985
2016-08-05,0.056684
2016-10-26,0.022116
2017-02-02,0.057524
2017-05-02,0.019145
2017-11-03,0.079240
2018-04-27,0.077012
2018-09-13,0.070855
2018-10-31,0.006245
2019-05-07,0.079611
2019-11-08,0.078019
2020-02-07,0.035033
2020-07-30,0.072623
2020-11-17,0.057400
2021-02-09,0.016780
2021-05-11,0.056300
2021-08-10,0.020300
2022-02-15,0.075980
2022-08-10,0.078730
2023-02-09,0.079250
2023-05-23,0.061410
2023-08-07,0.015780
2024-02-08,0.074410
2024-08-06,0.075240
