Date,Dividends
2007-10-11,1.069969
2009-10-15,1.301314
2010-10-14,1.400614
2010-10-15,0.407871
2011-10-13,0.992743
2012-10-31,1.431396
2012-11-19,0.570460
2013-10-30,0.853507
2014-10-29,1.544441
2015-06-11,1.625727
2016-11-02,1.865280
2017-03-16,1.516021
2017-11-02,0.538827
2018-10-29,2.283165
2019-04-24,2.266865
2019-10-28,0.400035
2020-04-24,2.362111
2020-10-05,0.495281
2020-10-15,1.006289
2021-05-14,0.556878
2021-06-11,1.501618
2022-05-13,1.820113
2022-06-27,1.772730
2023-05-11,1.842095
2023-06-22,1.915600
2024-05-16,1.884400
