Date,Dividends
2008-02-25,0.022700
2008-05-12,0.016200
2008-07-31,0.016600
2008-11-10,0.017100
2009-02-04,0.018400
2009-05-13,0.018900
2009-08-13,0.018900
2009-11-11,0.019100
2010-01-28,0.020500
2010-05-12,0.020700
2010-08-13,0.020900
2010-11-12,0.022500
2011-01-28,0.023800
2011-05-11,0.023600
2011-08-11,0.023700
2011-11-10,0.024000
2012-02-02,0.024700
2012-05-09,0.025600
2012-08-08,0.024800
2012-11-15,0.019700
2013-01-31,0.026900
2013-05-15,0.026400
2013-08-07,0.026300
2013-11-13,0.023900
2014-01-30,0.021500
2014-05-08,0.028200
2014-08-08,0.029000
2014-11-05,0.021800
2015-02-02,0.029000
2015-05-06,0.022000
2015-08-03,0.022400
2015-11-12,0.033600
2016-02-01,0.033700
2016-05-03,0.021700
2016-08-01,0.030100
2016-11-02,0.030600
2017-02-01,0.030600
2017-05-02,0.032800
2017-07-31,0.030600
2017-11-15,0.033700
2018-02-01,0.033800
2018-05-07,0.031700
2018-08-01,0.031900
2018-10-31,0.032300
2019-02-04,0.032800
2019-05-06,0.032800
2019-08-07,0.032700
2019-11-07,0.033000
2020-01-30,0.033400
2020-04-29,0.033200
2020-08-05,0.033600
2020-11-11,0.035400
2021-02-01,0.028600
2021-04-30,0.035700
2021-08-03,0.033800
2021-11-11,0.035600
2022-01-31,0.035700
2022-08-16,0.070600
2023-02-03,0.073200
2023-08-02,0.072900
2024-02-08,0.074800
2024-08-02,0.075400
