Date,Dividends
2008-01-28,0.018854
2008-04-28,0.027913
2008-07-23,0.028240
2008-10-28,0.029709
2009-01-30,0.029791
2009-04-23,0.019200
2009-07-30,0.021300
2009-10-28,0.023500
2010-01-28,0.024000
2010-04-27,0.022300
2010-07-28,0.022900
2010-10-28,0.023600
2011-01-26,0.023600
2011-04-28,0.022900
2011-07-25,0.023600
2011-10-24,0.024200
2011-11-04,0.010200
2012-01-26,0.012800
2012-04-24,0.023000
2012-07-24,0.023800
2012-10-25,0.024200
2012-11-27,0.015500
2013-01-24,0.008100
2013-04-25,0.024600
2013-07-25,0.025300
2013-10-29,0.025600
2014-01-29,0.027200
2014-04-29,0.025700
2014-07-30,0.026900
2014-10-24,0.027200
2015-01-29,0.028600
2015-04-27,0.026800
2015-07-28,0.027100
2015-10-28,0.029800
2016-01-28,0.028800
2016-04-21,0.027300
2016-07-28,0.027400
2016-10-27,0.027800
2017-01-26,0.028800
2017-04-26,0.027300
2017-07-27,0.027500
2017-10-26,0.027800
2018-01-30,0.029000
2018-04-26,0.027800
2018-07-26,0.028100
2018-11-02,0.043500
2019-01-30,0.015600
2019-05-02,0.028800
2019-07-30,0.029200
2019-10-29,0.030600
2020-01-30,0.031100
2020-05-11,0.008500
2020-07-29,0.021100
2020-10-19,0.039900
2021-01-28,0.017400
2021-08-04,0.051800
2021-12-14,0.048500
2022-02-08,0.003700
2022-08-04,0.052200
2023-02-08,0.053600
2023-08-08,0.053000
2024-02-14,0.054500
2024-08-20,0.054300
