Date,Dividends
2014-03-18,0.350000
2014-06-18,0.350000
2014-09-17,0.350000
2014-12-17,0.820000
2015-03-18,0.820000
2015-06-17,0.820000
2015-09-16,0.820000
2015-12-16,0.885000
2016-03-16,0.885000
2016-06-15,0.885000
2016-09-14,0.885000
2016-12-14,0.950000
2017-03-15,0.950000
2017-06-14,0.950000
2017-09-14,0.950000
2017-12-14,1.050000
2018-03-15,1.050000
2018-06-14,1.050000
2018-09-13,1.050000
2018-12-13,1.125000
2019-03-14,1.125000
2019-06-13,1.125000
2019-09-12,1.125000
2019-12-12,1.200000
2020-03-12,1.200000
2020-06-11,1.200000
2020-09-14,1.200000
2020-12-14,1.330000
2021-03-12,1.330000
2021-06-11,1.330000
2021-09-14,1.330000
2021-12-14,1.470000
2022-03-14,1.470000
2022-06-14,1.470000
2022-09-14,1.470000
2022-12-14,1.565000
2023-03-14,1.565000
2023-06-14,1.565000
2023-09-14,1.565000
2023-12-14,1.565000
2024-03-14,1.565000
2024-06-14,1.565000
