Date,Dividends
1994-04-25,3.600000
1994-07-25,3.600000
1994-10-25,3.600000
1994-12-23,4.500000
1995-03-27,4.500000
1995-06-28,4.725000
1995-09-27,4.950000
1995-12-27,6.525000
1996-03-27,5.550000
1996-06-26,5.700000
1996-09-26,5.775000
1996-12-27,6.150000
1997-03-26,6.000000
1997-06-26,6.150000
1997-09-26,6.300000
1997-12-29,6.450000
1998-03-27,6.525000
1998-06-26,6.600000
1998-09-28,6.750000
1998-12-29,6.825000
1999-03-29,6.900000
1999-06-28,6.900000
1999-09-28,6.900000
1999-12-29,6.900000
2000-03-29,6.900000
2000-06-28,6.900000
2000-09-27,6.900000
2000-12-27,5.475000
2001-03-28,5.475000
2001-06-27,5.625000
2001-09-26,5.700000
2001-12-27,6.000000
2002-03-26,6.000000
2002-06-26,6.000000
2002-09-26,6.000000
2002-12-27,6.300000
2003-03-27,6.000000
2003-06-26,5.700000
2003-09-26,5.700000
2003-12-29,5.700000
2004-02-19,3.645000
2004-03-29,2.055000
2004-06-28,5.100000
2004-09-28,5.100000
2004-12-29,5.100000
2005-03-29,5.250000
2005-06-28,4.500000
2005-09-28,4.500000
2005-12-28,4.500000
2006-03-29,4.500000
2006-06-28,4.500000
2006-09-27,4.500000
2006-12-27,6.000000
2007-03-28,4.500000
2007-06-27,4.500000
2007-09-26,4.500000
2007-12-27,4.500000
2008-03-27,3.000000
2008-06-26,3.375000
2008-09-26,3.375000
2008-12-29,5.475000
2009-03-27,3.375000
2009-06-26,2.400000
2009-09-28,2.400000
2009-12-29,2.400000
2010-03-29,2.400000
2010-06-28,2.400000
2010-09-28,2.400000
2010-12-29,2.400000
2011-03-29,2.400000
2011-06-28,2.400000
2011-09-28,2.400000
2011-12-28,2.400000
2012-03-28,2.400000
2012-06-27,2.400000
2012-09-26,2.400000
2012-12-27,1.800000
2013-03-26,1.875000
2013-06-26,1.875000
2013-09-26,1.875000
2013-12-27,1.875000
2014-03-20,0.150000
2014-03-26,83.925003
2014-06-19,0.657000
2014-09-19,0.657000
2014-12-18,0.657000
2015-03-18,0.657000
2015-06-18,0.657000
2015-09-22,0.657000
2015-12-17,0.657000
2016-03-17,0.657000
2016-06-17,0.657000
2016-09-20,0.657000
2016-12-14,0.657000
2017-03-16,0.657000
2017-04-12,0.840000
2017-06-16,6.315000
2017-09-15,0.375000
2017-12-20,0.375000
2017-12-28,2.190000
2018-03-15,0.375000
2018-06-14,0.375000
2018-09-04,0.375000
2018-12-13,0.375000
2019-03-05,0.375000
2019-06-13,0.375000
2019-09-03,14.000000
2019-09-05,0.075000
2019-12-12,0.075000
2020-03-12,0.075000
2020-06-12,0.075000
2020-09-11,0.075000
2020-12-11,0.075000
2021-03-12,0.075000
2021-06-16,0.075000
2021-09-16,0.075000
2021-12-17,0.075000
2022-03-17,0.085000
2022-06-16,0.085000
2022-09-30,0.085000
2022-12-23,0.085000
2023-03-29,0.085000
2023-07-07,0.085000
2023-10-05,0.085000
2023-12-29,0.085000
2024-04-05,0.085000
2024-07-08,0.085000
