Date,Dividends
2000-05-11,5.673605
2001-05-07,5.870535
2002-05-06,6.064602
2003-05-05,6.792354
2004-05-10,7.034938
2005-05-09,7.083455
2006-05-08,7.131972
2007-05-08,7.180489
2008-05-06,7.520106
2009-04-28,7.568623
2010-05-03,6.307186
2011-05-04,6.307186
2012-05-02,6.307186
2013-05-15,6.307186
2014-05-19,5.822018
2015-04-22,5.336849
2016-05-13,3.508393
2017-05-12,5.450893
2018-05-11,5.450893
2018-06-20,2.715536
2019-05-13,2.760000
2020-05-18,5.600000
2021-05-17,5.800000
2022-05-16,6.000000
2023-05-15,6.200000
2024-05-13,6.200000
