Date,Dividends
2000-05-29,0.943675
2001-04-04,0.988613
2002-04-12,1.088673
2003-06-13,1.194789
2004-05-12,2.593950
2005-04-14,2.593950
2006-04-13,3.930227
2006-10-25,1.965113
2007-05-07,7.369175
2008-05-20,5.207550
2009-04-30,5.207550
2010-06-10,3.242437
2011-05-11,2.111603
2012-05-03,4.126738
2013-04-29,4.126738
2014-05-14,1.251021
2015-04-24,1.303900
2016-05-16,1.201000
2017-05-17,3.370300
2018-05-15,4.500000
2019-05-13,4.600000
2020-04-27,4.800000
2021-04-26,3.599999
2022-04-25,3.750000
2023-04-24,3.750000
2024-04-19,3.300000
