Date,Dividends
1997-12-30,1.050000
1998-03-06,1.080000
1998-06-09,1.100000
1998-09-10,1.150000
1998-12-30,1.200000
1999-03-11,1.220000
1999-06-11,1.220000
1999-09-13,1.260000
1999-12-30,1.280000
2000-03-15,1.300000
2000-06-14,1.330000
2000-09-13,1.350000
2000-12-28,1.400000
2001-03-14,1.430000
2001-06-13,1.450000
2001-12-28,1.500000
2002-03-13,1.520000
2002-06-12,1.540000
2002-09-11,1.560000
2002-12-30,1.570000
2003-03-12,1.580000
2003-06-13,1.590000
2003-08-26,1.590000
2004-01-08,1.600000
2004-03-11,1.600000
2004-06-16,1.610000
2004-09-15,1.610000
2005-01-11,1.610000
2005-03-16,1.620000
2005-06-15,1.630000
2005-09-15,1.630000
2006-03-15,1.640000
2006-06-14,1.650000
2006-09-13,1.650000
2006-12-28,1.660000
2007-03-13,1.660000
2007-06-13,1.670000
2007-09-12,1.670000
2007-12-28,1.680000
2008-03-12,1.680000
2008-06-12,1.690000
2008-09-11,1.690000
2008-12-30,1.700000
2009-03-12,1.700000
2009-06-11,1.710000
2009-09-11,1.710000
2009-12-30,1.720000
2010-03-11,1.720000
2010-06-11,1.720000
2010-09-13,1.720000
2010-12-30,1.720000
2011-03-17,1.720000
2011-06-13,1.720000
2011-09-08,1.300000
2011-12-29,1.300000
2012-03-15,1.300000
2012-06-13,1.300000
2012-09-13,1.300000
2012-12-28,1.300000
2013-03-14,1.300000
2013-06-12,1.300000
2013-09-12,1.300000
2013-12-30,1.300000
2014-03-13,1.300000
2014-06-12,1.300000
2014-09-11,1.300000
2014-12-30,1.300000
2015-03-12,1.300000
2015-06-11,1.300000
2015-09-11,1.300000
2015-12-30,1.300000
2016-03-17,1.300000
2016-06-13,1.300000
2016-09-13,1.300000
2016-12-29,1.300000
2017-03-16,0.700000
2017-06-13,0.700000
2017-09-14,0.700000
2017-12-29,0.700000
2018-03-14,0.700000
2018-06-14,0.700000
2018-09-14,0.700000
2018-12-31,0.700000
2019-03-14,0.700000
2019-06-14,0.700000
2019-09-13,0.700000
2019-12-31,0.700000
2020-03-30,0.700000
2020-06-29,0.700000
2020-09-29,0.700000
2020-12-31,0.700000
2021-03-30,0.700000
2021-06-29,0.700000
2021-09-29,0.720000
2021-12-31,0.720000
2022-03-30,0.730000
2022-06-29,0.730000
2022-09-29,0.730000
2022-12-29,0.730000
2023-03-30,0.730000
2023-06-29,0.730000
2023-09-28,0.730000
2023-12-28,0.730000
2024-03-27,0.750000
2024-06-28,0.750000
