Date,Dividends
2005-01-06,0.201000
2005-04-07,0.280000
2005-10-05,0.280000
2006-01-05,0.290000
2006-04-06,0.290000
2006-07-06,0.290000
2006-10-05,0.290000
2007-01-04,0.290000
2007-04-04,0.290000
2007-07-05,0.290000
2007-10-04,0.290000
2008-01-03,0.180000
2008-04-03,0.180000
2008-07-02,0.180000
2008-10-03,0.180000
2009-01-05,0.025000
2009-04-03,0.025000
2009-07-02,0.025000
2009-10-05,0.025000
2010-01-05,0.025000
2010-04-05,0.025000
2010-07-02,0.025000
2010-10-05,0.025000
2011-01-05,0.070000
2011-04-05,0.070000
2011-07-05,0.070000
2011-10-05,0.070000
2012-01-03,0.080000
2012-04-03,0.080000
2012-06-28,0.080000
2012-09-27,0.080000
2012-12-28,0.110000
2013-03-27,0.110000
2013-06-27,0.110000
2013-09-27,0.110000
2013-12-30,0.130000
2014-03-28,0.130000
2014-06-27,0.130000
2014-09-29,0.130000
2014-12-30,0.160000
2015-03-30,0.160000
2015-06-29,0.160000
2015-09-29,0.160000
2015-12-30,0.210000
2016-03-30,0.210000
2016-06-29,0.210000
2016-09-29,0.210000
2016-12-29,0.270000
2017-03-30,0.270000
2017-06-29,0.270000
2017-09-29,0.270000
2017-12-29,0.300000
2018-03-29,0.300000
2018-06-29,0.300000
2018-09-28,0.300000
2018-12-31,0.320000
2019-03-29,0.320000
2019-06-28,0.320000
2019-09-30,0.320000
2019-12-31,0.330000
2020-03-31,0.330000
2020-06-30,0.330000
2020-09-30,0.330000
2020-12-31,0.340000
2021-03-31,0.340000
2021-06-30,0.340000
2021-09-30,0.340000
2021-12-31,0.430000
2022-03-31,0.430000
2022-06-30,0.430000
2022-09-30,0.430000
2022-12-30,0.490000
2023-03-31,0.490000
2023-06-30,0.490000
2023-09-29,0.490000
2023-12-29,0.510000
2024-03-28,0.510000
2024-07-01,0.510000
