Date,Dividends
1993-04-19,2.613215
1993-10-18,1.437413
1994-04-11,2.851261
1994-10-31,1.550030
1995-03-27,3.355129
1995-10-23,1.703091
1996-04-29,3.711361
1996-10-21,1.870447
1997-03-24,4.134672
1997-10-13,2.018114
1998-05-05,4.650000
1998-10-19,2.200000
1999-05-24,5.000000
1999-10-18,2.350000
2000-05-15,5.350000
2000-10-16,2.500000
2001-05-16,6.000000
2001-10-17,2.750000
2002-05-15,6.600000
2002-10-16,3.050000
2003-05-14,7.350000
2003-10-15,3.300000
2004-05-12,8.100000
2004-10-13,3.600000
2005-05-11,8.900000
2005-10-12,3.930000
2006-05-10,9.730000
2006-10-11,4.220000
2007-01-24,10.525000
2007-10-03,7.500000
2008-05-21,15.000000
2008-10-01,8.150000
2009-05-20,16.350000
2009-09-30,8.150000
2010-05-19,18.850000
2010-09-29,8.750000
2011-05-18,20.250000
2011-09-28,9.450000
2012-05-16,21.900000
2012-09-26,9.950000
2013-05-08,23.750000
2013-09-18,10.750000
2014-05-07,25.750000
2014-09-17,11.650000
2015-05-07,28.000000
2015-09-17,12.600000
2016-05-05,30.799999
2016-09-15,13.860000
2017-05-04,52.000000
2017-09-14,17.330000
2018-05-03,75.000000
2018-09-13,19.100000
2019-05-02,46.750000
2019-09-12,21.000000
2020-04-30,51.450001
2020-09-10,22.000000
2021-04-29,52.450001
2021-09-09,23.000000
2022-04-28,53.500000
2022-09-08,24.000000
2023-04-27,54.500000
2023-09-07,24.500000
2024-04-25,55.000000
