Date,Dividends
2014-10-23,7.570000
2015-03-09,1.690000
2015-05-22,1.690000
2015-08-24,1.690000
2015-10-06,10.950000
2015-12-07,1.690000
2016-03-07,1.750000
2016-05-23,1.750000
2016-08-22,1.750000
2016-11-14,1.750000
2017-02-23,2.000000
2017-05-22,2.000000
2017-08-21,2.000000
2017-11-14,2.000000
2018-02-23,2.280000
2018-05-22,2.280000
2018-08-21,2.280000
2018-11-13,2.280000
2019-02-26,2.460000
2019-05-21,2.460000
2019-08-20,2.460000
2019-11-19,2.460000
2020-02-25,2.660000
2020-05-19,2.660000
2020-08-18,2.660000
2020-11-17,2.660000
2021-02-23,2.870000
2021-05-18,2.870000
2021-08-17,2.870000
2021-11-16,2.870000
2022-03-04,3.100000
2022-05-17,3.100000
2022-08-16,3.100000
2022-11-15,3.100000
2023-03-06,3.410000
2023-05-23,3.410000
2023-08-22,3.410000
2023-11-14,4.260000
2024-02-27,4.260000
2024-05-21,4.260000
2024-08-21,4.260000
