Date,Dividends
1994-07-26,9.029764
1995-07-26,9.029764
1996-07-26,9.029764
1997-07-28,9.273812
1998-07-27,9.517859
1999-07-02,1.493572
2000-07-10,1.552143
2001-06-20,1.630238
2002-06-10,1.757143
2003-06-12,1.952381
2004-06-08,3.270239
2005-07-01,3.611906
2006-05-29,3.807144
2007-06-20,4.100001
2008-04-23,4.890715
2009-01-27,2.440477
2009-05-19,1.190953
2009-06-18,1.932858
2009-06-20,1.932858
2010-05-17,4.295239
2011-05-25,4.295239
2012-04-19,4.295239
2013-04-25,4.295239
2014-04-25,4.490477
2015-04-28,4.539287
2016-03-07,2.440477
2016-07-04,2.440477
2017-03-06,2.538096
2017-07-05,2.538096
2018-03-06,2.650000
2018-06-12,2.650000
2019-03-04,2.750000
2019-07-01,2.750000
2020-03-04,2.800000
2020-07-01,2.500000
2021-03-03,2.650000
2021-07-01,2.650000
2022-03-01,2.650000
2022-07-04,2.650000
2023-03-06,2.650000
2023-07-03,2.650000
2024-03-04,2.650000
2024-07-02,2.650000
