Date,Dividends
1992-11-30,5.139969
1993-06-21,9.977587
1993-11-15,4.206009
1994-06-20,8.256239
1994-11-21,4.517565
1995-06-19,9.113019
1995-11-20,4.517565
1996-06-17,9.502464
1996-11-25,4.517565
1997-06-16,9.620200
1997-11-24,4.573537
1998-06-15,9.620200
1998-11-23,4.731246
1999-06-14,9.856762
1999-11-22,4.936266
2000-06-12,10.046012
2000-11-27,3.075310
2001-06-13,6.150619
2001-11-28,3.151010
2002-06-12,6.311482
2002-11-27,3.236172
2003-06-11,6.462882
2003-11-26,3.311872
2004-06-02,6.623744
2004-12-01,2.710058
2005-06-01,5.427685
2005-11-30,2.778187
2006-05-31,5.548805
2006-11-22,2.838747
2007-05-30,5.715345
2007-11-21,2.952297
2008-06-11,6.055994
2008-11-19,3.027997
2009-05-27,6.055994
2009-11-18,3.041729
2010-03-10,5.069549
2010-11-17,3.143120
2011-06-01,5.170940
2011-11-16,3.244511
2012-05-30,5.272331
2012-11-21,3.345902
2013-05-29,5.373722
2013-11-20,3.447293
2014-05-28,5.475113
2014-11-20,3.548684
2015-05-28,5.576504
2015-11-19,3.650075
2016-06-02,5.677895
2016-11-24,3.751466
2017-05-18,30.967339
2017-06-01,6.164571
2017-11-23,3.852857
2018-05-31,6.061607
2018-11-22,3.570536
2019-05-30,6.559821
2019-11-21,3.902679
2020-05-28,6.559821
2020-11-19,3.902679
2021-05-27,6.559821
2021-12-02,3.902679
2022-05-26,6.559821
2022-11-24,3.902679
2023-06-01,6.559821
2023-11-23,3.902679
2024-05-30,7.900000
