Date,Dividends
2008-01-30,0.011855
2008-07-30,0.014796
2009-02-02,0.039334
2009-07-29,0.046962
2010-01-27,0.034647
2010-07-29,0.032441
2010-09-17,0.015457
2011-01-27,0.021040
2011-07-28,0.041394
2012-01-27,0.037659
2012-08-02,0.041867
2013-02-01,0.045000
2013-07-29,0.037826
2014-01-27,0.035458
2014-07-29,0.037749
2015-01-28,0.040885
2015-07-28,0.036886
2016-02-01,0.039677
2016-03-18,0.015198
2016-07-26,0.021957
2017-01-31,0.042112
2017-07-26,0.033560
2018-02-01,0.037300
2018-07-30,0.031920
2019-02-07,0.039660
2019-08-06,0.034310
2019-12-27,0.041800
2020-08-05,0.010470
2021-02-03,0.019860
2021-08-03,0.020450
2021-09-16,0.005450
2022-02-08,0.017260
2022-08-05,0.023320
2022-08-22,0.010780
2023-02-06,0.022550
2023-08-03,0.027780
2023-08-10,0.007010
2024-02-05,0.028390
2024-08-02,0.025470
