Date,Dividends
2000-06-30,6.710000
2001-07-02,7.400000
2002-07-01,7.770000
2003-06-30,7.770000
2004-06-30,12.000000
2005-05-04,13.200000
2006-03-27,0.970000
2007-04-12,0.970000
2008-04-24,1.200000
2008-04-25,3.250000
2009-04-27,3.250000
2010-04-27,3.250000
2010-09-23,4.000000
2011-04-18,3.300000
2012-06-26,3.720000
2013-04-16,3.640000
2014-05-02,3.670000
2015-05-05,3.730000
2016-05-27,3.730000
2017-04-25,4.000000
2018-05-02,4.300000
2019-03-19,2.300000
2019-07-02,2.300000
2020-03-04,2.410000
2020-07-06,1.600000
2021-03-03,2.010000
2021-04-28,2.000000
2022-02-28,2.100000
2022-07-04,2.100000
2023-02-28,2.160000
2023-07-04,2.170000
2024-03-04,2.420000
2024-07-02,2.420000
