Date,Dividends
2008-02-05,0.040606
2008-08-05,0.033293
2009-02-05,0.042146
2009-08-05,0.003849
2010-02-01,0.045321
2010-06-28,0.088622
2011-02-01,0.051095
2011-08-02,0.051383
2012-02-03,0.054944
2012-08-02,0.054847
2013-02-04,0.054078
2013-08-01,0.052057
2014-02-04,0.053500
2014-08-01,0.050517
2015-02-03,0.055232
2015-08-04,0.036661
2016-02-03,0.051672
2016-08-04,0.042820
2017-02-02,0.053404
2017-08-03,0.041000
2018-02-01,0.051200
2018-08-02,0.043100
2019-02-08,0.049500
2019-08-06,0.041600
2020-02-06,0.048600
2020-08-06,0.015100
2021-02-05,0.034400
2021-08-06,0.012200
2022-02-09,0.030600
2022-08-05,0.020400
2023-02-06,0.035900
2023-08-04,0.025100
2024-02-06,0.031900
2024-08-06,0.025100
