Date,Dividends
2008-01-29,0.038359
2008-05-05,0.034924
2008-08-01,0.015376
2009-01-23,0.041467
2009-07-27,0.040812
2010-01-26,0.025527
2010-07-26,0.027370
2011-01-26,0.031149
2011-07-25,0.034282
2012-01-25,0.024500
2012-07-20,0.038400
2012-10-19,0.019600
2013-01-25,0.019700
2013-02-27,0.013500
2013-04-19,0.006200
2013-07-19,0.019700
2013-08-01,0.007300
2013-10-21,0.012400
2014-01-24,0.019700
2014-04-21,0.011700
2014-07-25,0.019000
2014-09-24,0.011700
2014-10-22,0.005000
2014-12-02,0.012500
2015-01-23,0.002600
2015-04-17,0.017000
2015-07-24,0.017200
2015-10-23,0.017000
2016-01-22,0.016800
2016-04-20,0.016800
2016-07-25,0.016100
2016-10-24,0.019000
2017-01-31,0.010000
2017-04-25,0.010500
2017-07-24,0.009800
2017-10-24,0.014000
2018-01-29,0.014300
2018-04-24,0.014200
2018-07-20,0.014200
2018-10-19,0.013600
2019-01-28,0.013600
2019-04-25,0.013900
2019-07-22,0.013900
2019-10-23,0.014000
2020-01-30,0.014000
2020-04-29,0.014000
2020-07-27,0.014000
2021-02-01,0.029300
2021-02-25,0.009400
2021-08-03,0.020000
2022-02-03,0.028800
2022-08-02,0.029700
2023-02-03,0.029500
2023-08-01,0.029000
2024-02-06,0.029000
2024-08-06,0.028000
