Date,Dividends
2007-03-20,3.250000
2014-05-28,0.830000
2014-09-18,0.830000
2014-12-18,0.840000
2015-03-13,0.680000
2015-06-12,0.690000
2015-09-14,0.690000
2015-12-17,0.690000
2016-03-14,0.750000
2016-06-14,0.750000
2016-09-14,0.760000
2016-12-15,0.760000
2017-03-13,0.830000
2017-06-13,0.830000
2017-09-14,0.830000
2017-12-15,0.830000
2018-03-16,0.910000
2018-06-14,0.910000
2018-09-13,0.910000
2018-12-14,0.920000
2019-03-14,0.960000
2019-06-13,0.960000
2019-09-13,0.960000
2019-12-13,0.960000
2020-03-13,1.000000
2020-06-19,0.500000
2020-09-18,0.500000
2020-12-18,0.500000
2021-03-19,0.750000
2021-06-18,0.750000
2021-09-17,1.000000
2021-12-17,1.500000
2022-03-18,1.100000
2022-06-16,1.200000
2022-09-16,1.200000
2022-12-16,1.500000
2023-03-16,1.250000
2023-06-15,1.250000
2023-09-15,1.250000
2023-12-15,1.250000
2024-03-14,1.300000
2024-06-17,1.300000
