Date,Dividends
1996-03-29,4.337995
1997-04-03,4.554325
1998-03-23,4.554325
1999-04-30,0.371948
2000-04-28,0.406636
2001-04-20,0.447300
2002-04-19,0.504229
2003-04-15,0.569291
2004-04-16,0.878334
2005-04-15,0.748211
2006-04-13,0.878334
2007-04-13,1.040989
2008-04-14,1.219909
2009-04-20,1.250000
2010-04-19,1.250000
2011-04-11,1.350000
2012-04-20,1.450000
2013-04-15,1.500000
2014-04-14,1.550000
2015-01-08,0.910000
2015-04-17,0.690000
2016-04-22,1.700000
2017-04-21,1.820000
2018-04-26,1.960000
2019-03-07,1.050000
2019-07-08,1.050000
2020-03-09,1.100000
2020-07-07,1.100000
2021-06-21,1.000000
2022-05-12,1.700000
2023-03-28,0.870000
2023-07-07,0.880000
2024-03-22,0.900000
2024-07-09,0.900000
