Date,Dividends
2008-01-29,0.002664
2008-04-30,0.013025
2008-08-05,0.014011
2008-10-30,0.018156
2009-04-29,0.009078
2009-07-30,0.014603
2009-10-28,0.014603
2010-01-27,0.008288
2010-04-28,0.014801
2010-07-29,0.014801
2010-09-27,0.017564
2011-01-26,0.012997
2011-04-28,0.015378
2011-07-27,0.015874
2011-10-27,0.016767
2012-01-27,0.016866
2012-04-25,0.016866
2012-07-25,0.016866
2012-10-24,0.016966
2013-01-23,0.017065
2013-04-23,0.017164
2013-07-24,0.017859
2013-10-23,0.015428
2014-01-24,0.018255
2014-04-25,0.018752
2014-07-25,0.018851
2014-10-27,0.015835
2015-01-23,0.018553
2015-04-24,0.002550
2015-07-24,0.010219
2015-10-23,0.018454
2016-01-29,0.018553
2016-05-06,0.017859
2016-07-29,0.018355
2016-10-28,0.018454
2017-01-27,0.018553
2017-05-04,0.018454
2017-07-28,0.010457
2017-09-19,0.017033
2018-01-26,0.020847
2018-05-03,0.019339
2018-05-31,0.013958
2018-07-27,0.005581
2018-09-25,0.018900
2019-01-28,0.020637
2019-05-06,0.020208
2019-07-29,0.020218
2019-10-30,0.027007
2020-01-28,0.013618
2020-04-30,0.020448
2020-07-27,0.020418
2020-10-27,0.026745
2021-02-01,0.014401
2021-04-28,0.021582
2021-07-27,0.021582
2021-11-01,0.021702
2021-11-30,0.014610
2022-02-08,0.007240
2022-05-09,0.022680
2022-07-28,0.022680
2022-11-01,0.022480
2023-01-30,0.022270
2023-04-06,0.025020
2023-08-01,0.020370
2023-10-31,0.022680
2024-01-31,0.022530
2024-05-07,0.022110
2024-07-31,0.020680
