Date,Dividends
2006-05-05,0.480000
2006-10-13,0.330000
2007-05-03,0.380000
2007-10-04,0.360000
2008-05-08,0.450000
2008-10-01,0.400000
2009-05-27,0.480000
2009-09-18,0.440000
2010-05-11,0.560000
2010-10-04,0.500000
2011-05-02,0.760000
2011-09-26,0.540000
2012-04-17,10.870000
2012-10-10,0.250000
2013-06-25,0.340000
2014-05-06,0.820000
2014-10-10,0.360000
2015-05-07,0.880000
2015-12-21,0.760000
2016-04-22,0.570000
2016-10-11,0.430000
2017-05-02,0.630000
2017-10-19,0.410000
2018-04-30,0.680000
2018-10-19,0.500000
2019-04-29,0.620000
2019-10-21,0.470000
2020-04-27,0.480000
2021-04-29,0.430000
2022-05-03,0.920000
2023-05-02,0.960000
2024-04-29,0.990000
