Date,Dividends
2005-09-13,0.170000
2005-12-13,0.180000
2006-03-13,0.210000
2006-06-13,0.250000
2006-09-12,0.260000
2006-12-12,0.270000
2007-03-27,0.270000
2007-06-12,0.270000
2007-09-12,0.270000
2007-12-11,0.270000
2008-03-11,0.270000
2008-06-11,0.270000
2008-09-16,0.270000
2008-12-19,0.200000
2009-03-17,0.200000
2009-06-09,0.200000
2009-09-15,0.200000
2009-12-15,0.200000
2010-03-16,0.200000
2010-06-15,0.200000
2010-09-10,0.200000
2010-12-07,0.200000
2011-03-15,0.200000
2011-06-14,0.200000
2011-09-13,0.200000
2011-12-06,0.200000
2012-03-13,0.200000
2012-06-12,0.200000
2012-09-11,0.200000
2012-11-20,0.200000
2013-03-12,0.200000
2013-06-11,0.200000
2013-09-10,0.200000
2013-11-29,0.210000
2014-03-12,0.210000
2014-06-10,0.210000
2014-09-16,0.210000
2014-12-02,0.210000
2015-03-10,0.220000
2015-06-09,0.220000
2015-09-15,0.220000
2015-12-08,0.220000
2016-03-15,0.220000
2016-06-14,0.230000
2016-09-13,0.230000
2016-12-06,0.230000
2017-03-14,0.240000
2017-06-13,0.240000
2017-09-13,0.240000
2017-12-06,0.240000
2018-03-14,0.250000
2018-06-13,0.250000
2018-09-12,0.250000
2018-12-12,0.250000
2019-03-13,0.250000
2019-06-12,0.250000
2019-09-11,0.260000
2019-12-11,0.260000
2020-03-11,0.270000
2020-06-17,0.270000
2020-09-09,0.270000
2020-12-09,0.270000
2021-03-17,0.280000
2021-06-16,0.280000
2021-09-15,0.280000
2021-12-08,0.280000
2022-03-16,0.290000
2022-06-15,0.290000
2022-09-14,0.290000
2022-12-07,0.290000
2023-03-15,0.290000
2023-06-14,0.290000
2023-09-13,0.150000
2023-12-06,0.150000
2024-04-19,0.150000
2024-06-10,0.150000
