Date,Dividends
2008-02-04,0.011656
2008-05-06,0.012203
2008-08-05,0.013924
2008-11-04,0.013924
2009-02-05,0.013533
2009-05-04,0.014628
2009-08-04,0.018500
2009-11-03,0.009500
2010-02-02,0.009700
2010-05-03,0.009500
2010-07-30,0.009100
2010-11-01,0.010000
2011-02-01,0.010400
2011-05-03,0.010700
2011-07-29,0.010400
2011-11-03,0.010000
2012-02-03,0.010100
2012-05-03,0.010700
2012-07-30,0.010800
2012-11-02,0.011100
2013-02-04,0.011300
2013-05-03,0.013700
2013-07-29,0.011900
2013-10-31,0.012100
2014-01-30,0.010000
2014-05-06,0.009500
2014-08-04,0.012500
2014-11-05,0.012700
2015-02-02,0.012900
2015-05-06,0.015000
2015-08-04,0.009900
2015-11-02,0.013100
2016-02-01,0.013200
2016-04-28,0.012600
2016-08-04,0.009600
2016-11-03,0.013100
2017-02-02,0.012600
2017-05-04,0.011800
2017-08-03,0.011800
2017-11-02,0.012000
2018-02-02,0.011700
2018-05-03,0.010900
2018-08-02,0.010900
2018-11-05,0.011500
2019-02-07,0.011300
2019-05-03,0.011000
2019-08-06,0.011000
2019-11-05,0.011300
2020-02-05,0.011300
2020-08-05,0.007000
2021-02-04,0.018800
2021-08-05,0.020700
2022-02-03,0.017800
2022-08-04,0.020200
2023-02-03,0.018200
2023-08-03,0.019800
2024-02-05,0.017800
2024-08-05,0.018500
