Date,Dividends
1997-03-10,0.300000
1997-10-27,0.500000
1998-03-23,0.625000
1998-12-14,0.775000
1999-04-06,0.650000
1999-10-11,0.850000
2000-03-27,0.850000
2000-10-02,0.900000
2001-03-28,0.937500
2001-10-31,1.062500
2002-04-03,1.125000
2002-10-30,1.125000
2003-03-26,1.250000
2003-09-24,1.250000
2004-03-24,1.375000
2004-09-22,1.375000
2005-03-16,1.500000
2005-09-28,1.500000
2006-04-12,1.687500
2006-10-04,1.687500
2007-03-21,1.875000
2007-09-26,1.875000
2008-02-20,2.062500
2008-10-15,2.062500
2009-03-11,2.125000
2009-10-07,2.125000
2010-02-17,2.187500
2010-09-22,2.187500
2011-03-02,2.250000
2011-10-05,2.250000
2012-03-07,2.312500
2012-09-26,2.312500
2013-03-06,2.375000
2013-09-18,2.375000
2014-03-12,2.437500
2014-09-17,2.437500
2015-02-26,2.500000
2015-09-17,2.500000
2016-01-14,1.281300
2016-04-07,1.281300
2016-07-14,1.281300
2016-10-13,1.281300
2017-01-12,1.310000
2017-04-06,1.310000
2017-07-13,1.310000
2017-10-12,1.320000
2018-01-11,1.350000
2018-04-05,1.350000
2018-07-12,1.350000
2018-10-11,1.350000
2019-01-10,1.400000
2019-04-04,1.400000
2019-07-11,1.400000
2019-10-10,1.400000
2020-01-09,1.475000
2020-04-02,1.475000
2020-07-02,1.475000
2020-10-08,1.475000
2021-01-14,1.550000
2021-04-01,1.550000
2021-07-08,1.550000
2021-10-14,1.550000
2022-01-13,1.625000
2022-03-31,1.625000
2022-07-07,1.625000
2022-10-13,1.625000
2023-01-12,1.675000
2023-03-30,1.675000
2023-07-06,1.675000
2023-10-12,1.675000
2024-01-11,1.725000
2024-03-28,1.725000
2024-07-04,1.725000
