Date,Dividends
2000-06-14,1.979738
2001-07-02,2.062429
2002-07-02,2.091615
2003-06-27,2.169442
2003-12-31,0.972844
2004-07-02,0.943659
2005-07-05,2.179171
2006-07-04,2.237541
2007-07-03,2.315369
2008-07-01,2.393196
2009-07-02,2.471024
2010-07-01,2.548851
2011-06-30,2.626679
2012-06-28,2.723963
2013-06-28,2.821248
2014-07-08,2.918532
2015-05-07,3.015816
2016-07-06,3.200000
2017-07-28,3.300000
2018-07-27,3.600000
2019-05-31,4.250000
2020-07-22,4.400000
2021-07-22,4.500000
2022-06-09,4.600000
2022-06-10,4.600000
2023-05-31,4.900000
2024-05-28,5.000000
