Date,Dividends
1993-04-19,7.485471
1993-09-06,4.640992
1994-04-11,7.485471
1994-09-05,4.640992
1995-04-10,7.485471
1995-09-11,4.640992
1996-04-22,8.084309
1996-09-09,4.865556
1997-04-21,8.608292
1997-09-08,5.090120
1998-02-09,6.182999
1998-04-27,2.994188
1998-08-10,6.182999
1999-04-26,9.401752
1999-09-13,6.587215
2000-04-25,10.180241
2000-09-11,7.036343
2001-04-25,11.078497
2001-09-12,7.635181
2002-04-24,11.976754
2002-09-04,8.159164
2003-04-23,12.800156
2003-09-03,8.683147
2004-04-21,13.773267
2004-09-08,9.207130
2005-04-20,14.746378
2005-09-07,9.731113
2006-04-19,16.468037
2006-09-06,10.329950
2007-04-18,18.114840
2007-08-20,73.242462
2007-09-05,11.470046
2008-04-16,20.314419
2008-09-03,11.470046
2009-04-01,5.162613
2009-08-19,4.397781
2010-03-31,8.986770
2010-09-08,4.493385
2011-04-13,9.177978
2011-09-21,4.684593
2012-03-21,9.464790
2012-09-05,4.684593
2013-03-20,9.464790
2013-09-04,4.684593
2014-03-26,9.464790
2014-08-27,4.684593
2015-03-26,9.751602
2015-08-20,4.780197
2016-03-24,10.134018
2016-08-18,4.971405
2017-03-23,11.200000
2017-08-17,5.250000
2018-03-22,11.350000
2018-08-16,5.550000
2019-03-21,13.250000
2019-08-15,6.300000
2020-03-18,14.400000
2020-03-19,14.400000
2020-08-13,6.900000
2021-03-18,15.200000
2021-08-12,7.400000
2022-03-17,16.900000
2022-08-11,8.100000
2023-03-16,18.200001
2023-08-10,8.700000
2024-03-14,19.100000
2024-08-08,9.100000
