Date,Dividends
2007-11-05,0.028268
2008-02-04,0.014127
2008-05-07,0.023876
2008-08-05,0.027930
2008-11-05,0.028540
2009-01-30,0.000810
2009-05-05,0.003360
2009-08-03,0.029770
2009-11-02,0.029210
2009-12-17,0.025680
2010-05-03,0.025130
2010-07-30,0.025280
2010-11-01,0.025020
2010-12-06,0.016770
2011-01-27,0.005930
2011-04-28,0.023880
2011-07-27,0.025320
2011-11-01,0.025330
2012-01-31,0.024790
2012-04-30,0.024530
2012-07-26,0.023610
2012-11-01,0.023500
2013-01-30,0.023260
2013-05-02,0.022280
2013-07-25,0.022490
2013-10-30,0.022890
2014-01-29,0.020890
2014-03-24,0.020960
2014-04-30,0.001240
2014-07-29,0.022660
2014-10-28,0.018480
2015-01-28,0.025800
2015-04-29,0.022300
2015-07-29,0.022610
2015-10-28,0.020750
2016-02-01,0.027500
2016-04-27,0.020800
2016-07-27,0.025010
2016-10-26,0.025350
2017-02-01,0.025960
2017-05-03,0.024250
2017-08-01,0.024930
2017-11-02,0.024830
2018-01-30,0.026040
2018-05-02,0.024330
2018-07-31,0.024740
2018-10-30,0.024910
2019-01-30,0.025900
2019-05-02,0.032300
2019-05-07,0.025900
2019-08-02,0.015650
2019-10-31,0.023650
2020-01-30,0.023470
2020-04-29,0.017600
2020-07-30,0.015330
2020-10-29,0.018480
2021-02-02,0.022610
2021-04-30,0.020450
2021-07-29,0.021090
2021-10-29,0.022320
2022-02-04,0.022800
2022-05-05,0.023910
2022-08-03,0.024190
2022-11-03,0.020840
2023-01-31,0.019900
2023-05-04,0.017370
2023-08-02,0.017390
2023-10-27,0.017930
2024-01-31,0.018660
2024-05-03,0.015110
2024-08-01,0.015310
