Date,Dividends
2002-04-29,0.300597
2003-05-06,0.333209
2003-09-10,0.177239
2004-05-05,0.172985
2005-05-04,0.350224
2005-09-14,0.158466
2006-05-03,0.191418
2006-08-24,0.233530
2007-05-02,0.116765
2007-09-05,0.183492
2008-05-07,0.201840
2008-09-03,0.199925
2009-02-12,0.216855
2009-06-11,0.117687
2009-06-30,0.208518
2010-04-30,0.208518
2011-05-02,0.417036
2012-04-30,0.416399
2013-04-29,0.440970
2014-05-06,0.461293
2015-05-05,0.482089
2016-04-28,0.567164
2017-04-27,0.608571
2018-04-26,0.642857
2019-04-25,0.685714
2020-05-04,0.740000
2021-04-29,0.800000
2022-04-28,0.880000
2023-04-27,1.000000
2024-04-25,1.120000
