Date,Open,High,Low,Close,Adj Close,Volume
2005-10-01,149200.000000,149200.000000,141000.000000,146000.000000,61570.187500,56570
2005-11-01,145600.000000,149000.000000,145400.000000,148400.000000,62582.300781,47275
2005-12-01,148000.000000,155000.000000,145000.000000,154200.000000,65028.234375,41265
2006-01-01,154200.000000,161600.000000,154000.000000,160400.000000,67642.882813,55245
2006-02-01,159600.000000,165600.000000,153200.000000,153600.000000,64775.210938,70185
2006-03-01,152000.000000,160000.000000,145000.000000,159400.000000,68555.078125,81345
2006-04-01,160000.000000,160000.000000,153200.000000,158600.000000,68210.968750,43400
2006-05-01,157000.000000,162000.000000,154400.000000,157200.000000,67608.882813,34655
2006-06-01,155800.000000,158000.000000,126400.000000,136000.000000,58491.117188,140850
2006-07-01,135600.000000,137400.000000,122200.000000,132000.000000,56770.800781,66565
2006-08-01,132000.000000,150600.000000,130600.000000,146000.000000,62791.945313,66260
2006-09-01,144200.000000,157400.000000,144000.000000,149200.000000,65650.914063,67700
2006-10-01,150800.000000,155400.000000,150200.000000,153000.000000,67322.984375,23535
2006-11-01,153000.000000,155400.000000,143600.000000,144000.000000,63362.812500,49070
2006-12-01,144000.000000,161000.000000,142600.000000,159400.000000,70139.125000,80245
2007-01-01,159400.000000,190000.000000,157000.000000,188200.000000,82811.695313,106435
2007-02-01,190000.000000,220000.000000,189600.000000,206000.000000,90644.031250,163595
2007-03-01,206000.000000,220000.000000,182000.000000,220000.000000,98206.554688,111745
2007-04-01,216000.000000,224000.000000,202000.000000,222000.000000,99099.367188,78460
2007-05-01,230000.000000,250000.000000,220000.000000,234000.000000,104456.093750,124660
2007-06-01,234000.000000,234000.000000,186400.000000,196400.000000,87671.679688,158220
2007-07-01,194400.000000,202000.000000,169200.000000,186800.000000,83386.289063,89595
2007-08-01,186800.000000,204000.000000,147600.000000,159200.000000,71065.851563,117745
2007-09-01,161200.000000,161200.000000,131000.000000,156800.000000,71179.921875,128480
2007-10-01,155200.000000,156400.000000,132000.000000,152000.000000,69000.937500,184175
2007-11-01,152000.000000,160600.000000,144200.000000,158800.000000,72087.835938,114625
2007-12-01,159006.406250,164600.000000,136400.000000,147000.000000,66731.171875,71240
2008-01-01,147000.000000,147000.000000,116000.000000,126200.000000,57288.933594,186330
2008-02-01,127400.000000,133400.000000,118200.000000,120400.000000,54656.011719,135185
2008-03-01,120400.000000,120600.000000,99429.796875,116000.000000,54093.417969,73205
2008-04-01,116104.398438,128400.000000,116104.398438,123800.000000,57730.730469,70000
