Date,Open,High,Low,Close,Adj Close,Volume
2005-10-01,2.134689,2.144484,1.948638,1.968227,0.651678,70204886
2005-11-01,1.968227,1.997602,1.743006,1.909468,0.632222,98321700
2005-12-01,1.899683,1.919263,1.850719,1.909468,0.632222,42466512
2006-01-01,1.909468,2.134689,1.870299,2.134689,0.706793,53967115
2006-02-01,2.193448,2.213028,2.066145,2.115109,0.710081,36743543
2006-03-01,2.124904,2.134689,1.978012,2.124904,0.713369,69628464
2006-04-01,2.124904,2.261991,2.066145,2.232617,0.749530,45309439
2006-05-01,2.232617,2.232617,1.948638,1.978012,0.672859,40985758
2006-06-01,1.987807,2.075940,1.782176,1.880094,0.639551,60548013
2006-07-01,1.899683,1.968227,1.791970,1.899683,0.646214,35486548
2006-08-01,1.909468,2.017181,1.840925,2.017181,0.697239,43725567
2006-09-01,2.007396,2.164064,1.997602,2.105315,0.727702,55365374
2006-10-01,2.144484,2.183653,2.075940,2.124904,0.734473,43881275
2006-11-01,2.134689,2.428453,2.124904,2.340330,0.820609,46685011
2006-12-01,2.340330,2.614505,2.291366,2.614505,0.916745,62655719
2007-01-01,2.614505,2.692843,2.389284,2.428453,0.851508,64671648
2007-02-01,2.428453,2.614505,2.340330,2.369704,0.841043,60830555
2007-03-01,2.369704,2.399079,2.115109,2.340330,0.830618,102603101
2007-04-01,2.340330,2.663469,2.281571,2.545961,0.903599,99383803
2007-05-01,2.545961,2.751602,2.477417,2.751602,0.988550,72500265
2007-06-01,2.761387,2.878895,2.624300,2.878895,1.034282,73287044
2007-07-01,2.888690,3.250998,2.575336,2.653674,0.953368,100698538
2007-08-01,2.634094,2.643879,2.242402,2.301161,0.836589,114075858
2007-09-01,2.301161,2.722218,2.271786,2.673264,0.971868,77455020
2007-10-01,2.663469,2.702638,2.252197,2.536166,0.922025,124306061
2007-11-01,2.565551,2.575336,2.094715,2.259577,0.832647,85664131
2007-12-01,2.317763,2.424439,2.143204,2.385648,0.879103,73770663
2008-01-01,2.385648,2.385648,1.784387,2.104413,0.775469,163821386
2008-02-01,2.104413,2.269274,2.007435,2.181995,0.816013,87062396
2008-03-01,2.065622,2.327461,1.842573,2.308066,0.863160,148209529
2008-04-01,2.259577,2.492323,2.249879,2.492323,0.932068,78918243
2008-05-01,2.492323,2.637789,2.288670,2.375950,0.902481,95232327
2008-06-01,2.424439,2.453532,2.094715,2.143204,0.814075,66846380
2008-07-01,2.162599,2.414741,1.920155,2.230483,0.847227,86921124
2008-08-01,2.211088,2.472927,2.172297,2.230483,0.861244,84796921
2008-09-01,2.220786,2.288670,1.677711,1.813480,0.700229,101906035
2008-10-01,1.813480,1.968644,1.299499,1.532245,0.591638,106375110
2008-11-01,1.629223,1.774689,1.124939,1.435267,0.569519,98956900
2008-12-01,1.357685,1.415872,1.057055,1.328592,0.527190,95132303
2009-01-01,1.328592,1.629223,1.181379,1.425466,0.565630,133628106
2009-02-01,1.386412,1.396175,1.122798,1.230197,0.503953,114840327
2009-03-01,1.200906,1.327831,0.995873,1.191143,0.487955,178330057
2009-04-01,1.200906,1.464520,1.191143,1.308304,0.535950,120381388
2009-05-01,1.308304,1.591445,1.259487,1.484047,0.619501,221654827
2009-06-01,1.513337,1.610972,1.376649,1.552391,0.648031,129879041
2009-07-01,1.532864,1.698843,1.444993,1.659789,0.692863,140349704
2009-08-01,1.679316,1.835532,1.542628,1.610972,0.687385,175273770
2009-09-01,1.620735,1.894112,1.620735,1.884349,0.813540,170128055
2009-10-01,1.903876,1.903876,1.708606,1.816005,0.784034,173104458
2009-11-01,1.767187,1.894112,1.767187,1.894112,0.824772,99635690
2009-12-01,1.884349,2.187016,1.825768,2.167489,0.943812,86692542
2010-01-01,2.167489,2.167489,1.806241,1.894112,0.824772,138887113
2010-02-01,1.894112,1.972220,1.855058,1.884349,0.834160,94705066
2010-03-01,1.903876,1.962457,1.864822,1.874585,0.829838,166927348
2010-04-01,1.903876,1.972220,1.825768,1.894112,0.838482,134047639
2010-05-01,1.874585,1.903876,1.767187,1.835532,0.823852,130697397
2010-06-01,1.825768,1.874585,1.767187,1.776951,0.797559,102685832
2010-07-01,1.786714,2.069855,1.767187,2.069855,0.929025,142491359
2010-08-01,2.079618,2.157726,1.972220,2.021037,0.922427,166763472
2010-09-01,2.030801,2.235834,2.030801,2.138199,0.975900,144037941
2010-10-01,2.118672,2.138199,1.962457,2.011274,0.917971,191444249
2010-11-01,2.021037,2.128436,1.972220,2.030801,0.941681,141482498
2010-12-01,2.030801,2.099145,1.962457,2.021037,0.937153,79897826
2011-01-01,2.030801,2.147963,2.021037,2.040564,0.946208,90313184
2011-02-01,2.050328,2.108909,1.952693,1.952693,0.919735,87936979
2011-03-01,1.952693,2.021037,1.835532,1.991747,0.938130,103231746
2011-04-01,1.952693,1.991747,1.903876,1.981984,0.933532,190719097
2011-05-01,1.981984,2.011274,1.923403,2.011274,0.964954,117006566
2011-06-01,2.001511,2.021037,1.884349,1.991747,0.955586,108561822
2011-07-01,1.991747,2.108909,1.972220,1.991747,0.955586,117460295
2011-08-01,2.001511,2.069855,1.874585,2.069855,1.006273,182776225
2011-09-01,2.069855,2.099145,1.962457,1.981984,0.963554,125002699
2011-10-01,1.962457,2.001511,1.898994,2.001511,0.973047,99459524
2011-11-01,1.981984,2.001511,1.894112,1.991747,0.984947,66568548
2011-12-01,1.981984,1.991747,1.772069,1.786714,0.883555,100788967
2012-01-01,1.772069,1.972220,1.772069,1.820886,0.900453,129958928
2012-02-01,1.825768,2.011274,1.816005,2.011274,1.012914,122767836
2012-03-01,1.981984,2.030801,1.923403,1.972220,0.993245,98757926
2012-04-01,1.962457,2.030801,1.933166,2.030801,1.022748,78014274
2012-05-01,2.030801,2.040564,1.928285,2.001511,1.025334,157038444
2012-06-01,1.962457,2.099145,1.938048,2.099145,1.084733,111149015
2012-07-01,2.108909,2.245597,2.040564,2.216307,1.145276,136678877
2012-08-01,2.187016,2.362759,2.167489,2.304178,1.200461,107751656
2012-09-01,2.304178,2.392049,2.245597,2.352995,1.225894,122433940
2012-10-01,2.343232,2.450630,2.284651,2.304178,1.200461,137503377
2012-11-01,2.284651,2.372522,2.226070,2.343232,1.238508,126786901
2012-12-01,2.343232,2.372522,2.255361,2.313942,1.223027,115379068
2013-01-01,2.313942,2.499447,2.304178,2.470157,1.305594,132876950
2013-02-01,2.489684,2.655663,2.450630,2.509211,1.345643,106183569
2013-03-01,2.528738,2.587319,2.460394,2.538501,1.361351,189734819
2013-04-01,2.548265,2.792351,2.509211,2.684953,1.455000,210696630
2013-05-01,2.684953,2.714244,2.245597,2.265124,1.229175,204381251
2013-06-01,2.255361,2.382286,2.021037,2.177253,1.181491,289024327
2013-07-01,2.177253,2.323705,2.089382,2.245597,1.218578,202418834
2013-08-01,2.274888,2.352995,2.069855,2.128436,1.172871,155368957
2013-09-01,2.118672,2.372522,2.089382,2.226070,1.226671,172853519
2013-10-01,2.235834,2.313942,2.187016,2.313942,1.275093,157778829
2013-11-01,2.304178,2.304178,2.157726,2.167489,1.213134,125163500
2013-12-01,2.157726,2.216307,2.030801,2.147963,1.202205,151559859
2014-01-01,2.147963,2.196780,2.030801,2.079618,1.163953,137728711
2014-02-01,2.069855,2.128436,2.011274,2.108909,1.199718,147040974
2014-03-01,2.089382,2.226070,2.079618,2.206543,1.255260,139600994
2014-04-01,2.196780,2.323705,2.177253,2.235834,1.271923,140348680
2014-05-01,2.235834,2.440867,2.235834,2.401813,1.387303,132905630
2014-06-01,2.401813,2.411576,2.206543,2.245597,1.297072,167177260
2014-07-01,2.235834,2.304178,2.226070,2.274888,1.313990,108507535
2014-08-01,2.255361,2.304178,2.226070,2.294415,1.325269,92779519
2014-09-01,2.294415,2.323705,2.177253,2.196780,1.268874,138252089
2014-10-01,2.196780,2.284651,2.138199,2.177253,1.257595,195461266
2014-11-01,2.187016,2.294415,2.167489,2.284651,1.362692,162606140
2014-12-01,2.274888,2.411576,2.216307,2.323705,1.385986,157042543
2015-01-01,2.323705,2.567792,2.304178,2.401813,1.432575,218555621
2015-02-01,2.421340,2.538501,2.294415,2.411576,1.438398,175036560
2015-03-01,2.411576,2.538501,2.382286,2.528738,1.508280,214207372
2015-04-01,2.528738,2.645899,2.382286,2.411576,1.438398,251122941
2015-05-01,2.411576,2.489684,2.343232,2.343232,1.437585,194441753
2015-06-01,2.343232,2.450630,2.313942,2.401813,1.473525,226469510
2015-07-01,2.382286,2.440867,2.313942,2.362759,1.449565,185090668
2015-08-01,2.362759,2.392049,2.089382,2.177253,1.335756,239765228
2015-09-01,2.187016,2.333468,2.079618,2.284651,1.401645,212286025
2015-10-01,2.265124,2.460394,2.235834,2.333468,1.431595,212228872
2015-11-01,2.294415,2.333468,2.147963,2.333468,1.478527,212827914
2015-12-01,2.313942,2.392049,2.157726,2.228261,1.411866,182621006
2016-01-01,2.228261,2.296672,2.042572,2.267353,1.456623,241821202
2016-02-01,2.267353,2.384630,2.208715,2.365084,1.519408,220726615
2016-03-01,2.355311,2.433495,2.286899,2.335765,1.500572,225174956
2016-04-01,2.325992,2.472588,2.286899,2.404176,1.544522,191320107
2016-05-01,2.404176,2.413949,2.189168,2.238034,1.437788,258097141
2016-06-01,2.238034,2.472588,2.208715,2.423722,1.584985,208885884
2016-07-01,2.413949,2.511680,2.365084,2.394403,1.565812,213742939
2016-08-01,2.404176,2.462815,2.355311,2.394403,1.565812,219543399
2016-09-01,2.413949,2.462815,2.316218,2.462815,1.648492,263537292
2016-10-01,2.462815,2.472588,2.296672,2.316218,1.550366,255823038
2016-11-01,2.316218,2.345538,2.150076,2.296672,1.551674,339547576
2016-12-01,2.306445,2.365084,2.179395,2.218488,1.498852,235312691
2017-01-01,2.218488,2.413949,2.218488,2.404176,1.624306,217570689
2017-02-01,2.384630,2.443268,2.345538,2.443268,1.650717,194350067
2017-03-01,2.433495,2.482361,2.365084,2.462815,1.704375,194803398
2017-04-01,2.472588,2.550772,2.443268,2.501907,1.731428,158275290
2017-05-01,2.501907,2.580091,2.462815,2.560545,1.772008,212845084
2017-06-01,2.550772,2.697368,2.531226,2.550772,1.778857,233917371
2017-07-01,2.560545,2.677822,2.492134,2.638730,1.840197,215178158
2017-08-01,2.638730,2.638730,2.540999,2.599638,1.812935,177060322
2017-09-01,2.599638,2.677822,2.580091,2.599638,1.812935,183400597
2017-10-01,2.599638,2.697368,2.580091,2.677822,1.867459,168740082
2017-11-01,2.668049,2.697368,2.550772,2.580091,1.799303,196611028
2017-12-01,2.580091,2.668049,2.570318,2.658276,1.910146,124070245
2018-01-01,2.658276,2.795099,2.648503,2.697368,1.938236,213640000
2018-02-01,2.677822,2.707141,2.482361,2.589865,1.860988,236563951
2018-03-01,2.580091,2.648503,2.511680,2.570318,1.846942,204496613
2018-04-01,2.589865,2.677822,2.560545,2.609411,1.875033,189400755
2018-05-01,2.609411,2.628957,2.560545,2.589865,1.916934,155522748
2018-06-01,2.580091,2.638730,2.511680,2.580091,1.909700,165099091
2018-07-01,2.580091,2.707141,2.540999,2.687595,1.989271,171488432
2018-08-01,2.697368,2.716915,2.638730,2.677822,1.982037,171815809
2018-09-01,2.668049,2.677822,2.492134,2.580091,1.909700,287581359
2018-10-01,2.560545,2.580091,2.394403,2.462815,1.874979,270290235
2018-11-01,2.462815,2.560545,2.453041,2.511680,1.917003,219022412
2018-12-01,2.521453,2.570318,2.472588,2.511680,1.917003,223073165
2019-01-01,2.511680,2.707141,2.482361,2.677822,2.043809,309484344
2019-02-01,2.687595,2.775553,2.638730,2.736461,2.088564,195681698
2019-03-01,2.746234,2.863511,2.716915,2.843965,2.170615,201704559
2019-04-01,2.863511,2.971014,2.804872,2.931922,2.237747,240354313
2019-05-01,2.931922,2.990561,2.804872,2.853738,2.178074,277502106
2019-06-01,2.843965,3.068745,2.814645,3.049199,2.390905,242847277
