Date,Open,High,Low,Close,Adj Close,Volume
2007-05-01,16.100000,16.200001,14.610000,16.000000,3.743370,1116277
2007-06-01,16.000000,16.700001,14.400000,14.960000,3.500051,1384456
2007-07-01,14.870000,15.950000,12.940000,13.500000,3.158468,1374048
2007-08-01,13.450000,14.500000,11.500000,13.790000,3.226317,1064519
2007-09-01,13.790000,14.100000,12.350000,13.000000,3.041488,1165984
2007-10-01,13.200000,13.300000,11.930000,12.210000,2.856659,1838709
2007-11-01,12.200000,12.250000,9.510000,11.350000,2.655453,1499560
2007-12-01,11.340000,11.440000,9.850000,10.250000,2.398096,1140669
2008-01-01,10.250000,12.000000,9.290000,11.200000,2.620359,2155192
2008-02-01,11.250000,12.100000,10.500000,11.680000,2.732660,1300876
2008-03-01,11.530000,13.380000,11.020000,13.380000,3.130393,1275844
2008-04-01,13.380000,13.690000,11.110000,12.550000,2.936206,1380583
2008-05-01,12.550000,13.130000,11.000000,11.500000,2.690547,983234
2008-06-01,11.450000,11.540000,9.240000,10.500000,2.456586,1858090
2008-07-01,10.500000,11.250000,9.210000,10.850000,2.658692,2009494
2008-08-01,10.760000,11.140000,10.000000,10.230000,2.506766,1808342
2008-09-01,10.330000,10.990000,8.750000,8.750000,2.144106,2007322
2008-10-01,8.840000,8.980000,4.500000,5.090000,1.247257,2890194
2008-11-01,5.100000,5.250000,2.500000,4.000000,0.980163,2497137
2008-12-01,4.100000,5.240000,3.210000,4.950000,1.212952,1700937
2009-01-01,4.950000,6.170000,3.780000,5.080000,1.244807,1611766
2009-02-01,4.970000,6.150000,3.870000,4.650000,1.139439,1913504
2009-03-01,4.450000,4.450000,2.880000,3.750000,0.918903,1856221
2009-04-01,3.760000,5.500000,3.760000,4.700000,1.151691,1470030
2009-05-01,4.700000,6.890000,4.600000,6.240000,1.529054,1667165
2009-06-01,6.390000,6.750000,5.110000,5.600000,1.372228,2613205
2009-07-01,5.650000,5.740000,4.540000,5.610000,1.493817,1664333
2009-08-01,5.550000,7.290000,5.500000,6.610000,1.760095,1457622
2009-09-01,6.700000,8.500000,6.330000,7.880000,2.098267,2418354
2009-10-01,8.030000,8.200000,7.070000,7.520000,2.002408,1991998
2009-11-01,7.270000,8.500000,7.100000,7.680000,2.045012,1514487
2009-12-01,7.700000,8.340000,7.500000,7.500000,1.997082,564344
2010-01-01,7.500000,8.427000,7.500000,8.155000,2.171494,765856
2010-02-01,8.027000,8.500000,7.950000,8.100000,2.156848,510683
2010-03-01,8.100000,8.500000,7.801000,8.400000,2.236732,1067052
2010-04-01,8.269000,8.843000,8.100000,8.500000,2.263359,782281
2010-05-01,8.637000,8.660000,6.920000,7.400000,1.970454,1298411
2010-06-01,7.522000,9.055000,7.284000,7.800000,2.076965,904897
2010-07-01,7.785000,8.900000,7.713000,8.880000,2.508496,602537
2010-08-01,8.800000,9.087000,8.499000,8.520000,2.406801,538236
2010-09-01,8.680000,10.190000,8.665000,10.190000,2.878556,1011480
2010-10-01,10.190000,10.250000,9.420000,10.010000,2.827708,1035562
2010-11-01,10.210000,10.300000,9.130000,9.705000,2.741549,870240
2010-12-01,10.000000,10.500000,9.566000,10.500000,2.966128,643356
2011-01-01,10.500000,10.750000,9.960000,10.300000,2.909629,666905
2011-02-01,10.480000,11.250000,10.300000,11.100000,3.135620,651345
2011-03-01,11.100000,11.215000,9.425000,9.810000,2.771210,3032517
2011-04-01,9.899000,10.700000,9.899000,10.700000,3.022625,4469822
2011-05-01,10.610000,10.965000,10.220000,10.890000,3.076298,1581516
2011-06-01,10.950000,10.950000,10.145000,10.400000,2.937878,1630389
2011-07-01,10.445000,10.955000,9.811000,10.140000,2.987874,1560705
2011-08-01,10.245000,10.470000,7.289000,9.350000,2.755091,2222664
2011-09-01,9.402000,9.489000,7.900000,8.803000,2.593911,1796801
2011-10-01,8.490000,9.967000,8.407000,9.290000,2.737411,1075380
2011-11-01,9.180000,9.314000,7.729000,8.366000,2.465143,1475356
2011-12-01,8.490000,9.378000,7.850000,9.196000,2.709713,1134557
2012-01-01,9.000000,9.250000,8.276000,9.133000,2.691149,1119231
2012-02-01,9.098000,9.230000,8.250000,8.420000,2.481055,2766098
2012-03-01,8.431000,8.847000,8.141000,8.429000,2.483707,3058374
