"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2024","45.85","45.50","47.50","45.05","44.68K","1.66%"
"06/01/2024","45.10","49.30","49.75","44.60","89.87K","-7.68%"
"05/01/2024","48.85","48.60","49.40","47.60","80.66K","0.51%"
"04/01/2024","48.60","47.95","49.25","46.25","122.76K","2.10%"
"03/01/2024","47.60","42.70","48.00","42.30","182.99K","12.40%"
"02/01/2024","42.35","49.85","49.90","42.35","272.38K","-14.79%"
"01/01/2024","49.70","50.00","50.30","47.80","136.94K","0.00%"
"12/01/2023","49.70","46.75","49.70","46.70","265.69K","8.16%"
"11/01/2023","45.95","43.00","48.25","42.00","137.58K","7.49%"
"10/01/2023","42.75","41.20","43.65","38.60","132.12K","3.51%"
"09/01/2023","41.30","45.00","46.95","39.80","110.63K","-6.88%"
"08/01/2023","44.35","46.65","46.65","44.10","49.04K","-4.93%"
"07/01/2023","46.65","44.30","46.65","43.55","78.46K","6.02%"
"06/01/2023","44.00","49.20","49.40","43.75","68.61K","-9.84%"
"05/01/2023","48.80","50.30","50.90","48.20","45.67K","-3.17%"
"04/01/2023","50.40","49.00","50.50","47.80","51.90K","3.49%"
"03/01/2023","48.70","50.30","50.50","47.70","89.17K","-3.37%"
"02/01/2023","50.40","54.90","55.30","49.50","100.07K","-7.18%"
"01/01/2023","54.30","52.70","55.60","52.70","77.88K","3.43%"
"12/01/2022","52.50","51.80","52.80","51.20","64.09K","0.96%"
"11/01/2022","52.00","51.70","52.30","50.00","69.02K","1.17%"
"10/01/2022","51.40","49.75","52.70","47.75","110.57K","1.38%"
"09/01/2022","50.70","51.20","51.90","45.40","117.94K","-0.59%"
"08/01/2022","51.00","53.10","53.50","50.70","64.83K","-4.14%"
"07/01/2022","53.20","52.00","53.80","51.50","77.12K","1.92%"
"06/01/2022","52.20","53.20","53.30","49.75","70.92K","-1.32%"
"05/01/2022","52.90","51.80","53.20","50.40","86.55K","2.12%"
"04/01/2022","51.80","51.50","52.30","50.00","72.79K","0.58%"
"03/01/2022","51.50","48.50","51.50","44.65","163.82K","7.29%"
"02/01/2022","48.00","53.40","53.60","45.25","323.56K","-9.77%"
"01/01/2022","53.20","53.20","56.50","52.00","188.07K","-0.93%"
"12/01/2021","53.70","49.60","53.70","48.65","197.99K","8.27%"
"11/01/2021","49.60","50.00","50.30","49.45","158.31K","-0.40%"
"10/01/2021","49.80","49.50","50.30","48.55","72.07K","1.43%"
"09/01/2021","49.10","50.70","50.80","49.10","82.29K","-2.96%"
"08/01/2021","50.60","50.00","50.80","49.55","56.51K","1.20%"
"07/01/2021","50.00","48.60","51.50","48.20","133.21K","3.84%"
"06/01/2021","48.15","47.30","49.00","47.25","94.90K","2.34%"
"05/01/2021","47.05","46.15","47.40","46.00","71.98K","1.62%"
"04/01/2021","46.30","46.80","47.70","46.15","58.55K","-2.22%"
"03/01/2021","47.35","47.50","47.50","45.10","90.21K","0.96%"
"02/01/2021","46.90","50.00","50.10","46.00","126.80K","-5.35%"
"01/01/2021","49.55","48.00","51.30","47.75","165.87K","3.34%"
"12/01/2020","47.95","48.70","49.00","46.45","104.71K","-1.24%"
"11/01/2020","48.55","41.25","49.50","41.10","63.73K","17.70%"
"10/01/2020","41.25","42.00","44.00","40.45","80.57K","-1.32%"
"09/01/2020","41.80","46.80","47.30","41.60","94.81K","-10.40%"
"08/01/2020","46.65","45.20","46.65","42.20","64.48K","2.75%"
"07/01/2020","45.40","47.00","47.50","45.10","42.81K","-3.61%"
"06/01/2020","47.10","46.85","53.40","45.95","74.61K","1.29%"
"05/01/2020","46.50","44.30","46.50","42.25","53.25K","4.97%"
"04/01/2020","44.30","41.00","45.00","37.80","115.97K","5.48%"
"03/01/2020","42.00","48.00","52.60","38.10","207.03K","-15.15%"
"02/01/2020","49.50","55.00","55.00","48.80","131.54K","-10.33%"
"01/01/2020","55.20","55.60","57.40","55.20","97.88K","0.00%"
"12/01/2019","55.20","59.20","59.20","55.20","226.47K","-6.44%"
"11/01/2019","59.00","59.60","60.00","58.00","60.83K","-1.01%"
"10/01/2019","59.60","57.00","60.00","55.80","94.75K","5.30%"
"09/01/2019","56.60","56.80","57.60","56.00","101.44K","-0.35%"
"08/01/2019","56.80","56.20","57.00","56.20","66.91K","0.71%"
"07/01/2019","56.40","56.60","57.20","55.40","66.10K","-1.05%"
"06/01/2019","57.00","55.80","57.80","55.40","90.75K","2.15%"
"05/01/2019","55.80","53.80","56.80","53.20","62.46K","3.72%"
"04/01/2019","53.80","55.80","56.80","51.40","99.48K","-4.27%"
"03/01/2019","56.20","51.60","57.80","51.20","461.10K","8.91%"
"02/01/2019","51.60","52.60","53.00","48.00","93.54K","-1.15%"
"01/01/2019","52.20","50.00","52.60","49.90","78.49K","4.61%"
"12/01/2018","49.90","46.80","50.00","46.40","70.52K","6.62%"
"11/01/2018","46.80","49.10","50.00","46.30","73.65K","-4.88%"
"10/01/2018","49.20","51.40","52.40","45.40","73.88K","-3.53%"
"09/01/2018","51.00","53.20","53.20","50.80","50.84K","-2.67%"
"08/01/2018","52.40","53.20","54.00","52.40","100.75K","-1.50%"
"07/01/2018","53.20","53.40","54.40","52.60","46.22K","-0.37%"
"06/01/2018","53.40","52.00","53.60","50.80","70.28K","3.49%"
"05/01/2018","51.60","50.40","52.00","49.40","79.95K","2.38%"
"04/01/2018","50.40","52.00","52.00","49.80","54.59K","-2.70%"
"03/01/2018","51.80","52.20","53.60","51.60","58.46K","-0.77%"
"02/01/2018","52.20","55.40","56.80","51.40","58.52K","-5.78%"
"01/01/2018","55.40","57.00","58.40","55.40","71.82K","-1.12%"
"12/01/2017","56.03","58.00","58.72","54.80","77.47K","-3.10%"
"11/01/2017","57.82","57.90","59.49","57.65","60.02K","0.17%"
"10/01/2017","57.72","61.25","61.25","57.55","76.92K","-5.76%"
