Date,Open,High,Low,Close,Adj Close,Volume
1986-08-01,29.250000,29.250000,28.500000,29.250000,3.493528,21169
1986-09-01,29.250000,30.750000,28.875000,30.000000,3.583106,11998
1986-10-01,30.000000,30.000000,28.125000,29.250000,3.493528,15167
1986-11-01,28.875000,30.750000,28.500000,30.750000,3.672686,18465
1986-12-01,30.750000,31.125000,29.625000,30.375000,3.627897,31932
1987-01-01,30.750000,33.375000,30.375000,31.125000,3.717474,38134
1987-02-01,31.125000,33.000000,30.750000,31.125000,3.717474,20067
1987-03-01,31.125000,32.250000,28.500000,28.875000,3.448740,9201
1987-04-01,28.500000,28.500000,24.375000,24.375000,2.911275,12202
1987-05-01,24.375000,25.875000,22.500000,24.000000,2.866486,9199
1987-06-01,23.625000,24.750000,19.125000,24.375000,2.911275,22167
1987-07-01,24.375000,24.375000,21.000000,21.750000,2.597754,10533
1987-08-01,21.750000,22.125000,18.000000,18.000000,2.149865,15534
1987-09-01,18.375000,18.750000,15.375000,16.125000,1.925919,23268
1987-10-01,16.500000,16.500000,12.375000,15.000000,1.791553,20264
1987-11-01,15.000000,15.000000,9.000000,11.625000,1.388454,43799
1987-12-01,11.625000,12.375000,9.000000,9.375000,1.119721,64734
1988-01-01,9.375000,11.625000,9.000000,10.875000,1.298877,24635
1988-02-01,10.875000,14.250000,10.875000,14.250000,1.701976,32197
1988-03-01,14.250000,14.250000,12.000000,12.375000,1.478031,16670
1988-04-01,12.000000,12.375000,10.875000,11.625000,1.388454,18134
1988-05-01,11.250000,11.250000,8.625000,9.000000,1.074933,32666
1988-06-01,9.000000,9.750000,8.250000,8.250000,0.985354,30299
1988-07-01,8.250000,9.000000,8.250000,8.625000,1.030143,12167
1988-08-01,8.625000,9.000000,7.875000,8.250000,0.985354,24367
1988-09-01,7.875000,7.875000,6.375000,6.750000,0.806199,29468
1988-10-01,6.750000,7.875000,6.750000,7.500000,0.895777,12202
1988-11-01,7.500000,7.875000,7.125000,7.125000,0.850988,9665
