Date,Open,High,Low,Close,Adj Close,Volume
2007-12-01,1.140000,1.170000,1.090000,1.130000,0.523738,29755000
2008-01-01,1.130000,1.140000,0.995000,1.120000,0.519103,18514000
2008-02-01,1.100000,1.230000,1.100000,1.230000,0.570086,19729000
2008-03-01,1.200000,1.220000,1.140000,1.190000,0.562182,7991000
2008-04-01,1.200000,1.260000,1.180000,1.240000,0.585803,8494000
2008-05-01,1.240000,1.260000,1.220000,1.240000,0.585803,8790000
2008-06-01,1.240000,1.240000,1.120000,1.130000,0.540961,5424000
2008-07-01,1.130000,1.190000,1.080000,1.190000,0.569685,11025000
2008-08-01,1.160000,1.200000,1.060000,1.080000,0.524339,7971000
2008-09-01,1.060000,1.100000,0.855000,0.975000,0.473362,19291000
2008-10-01,0.975000,1.050000,0.645000,0.740000,0.359269,11980000
2008-11-01,0.745000,0.850000,0.740000,0.830000,0.402964,13783000
2008-12-01,0.810000,0.810000,0.690000,0.760000,0.377143,19089000
2009-01-01,0.760000,0.840000,0.750000,0.790000,0.392030,13131000
2009-02-01,0.780000,0.900000,0.765000,0.770000,0.382105,13552000
2009-03-01,0.765000,0.815000,0.680000,0.760000,0.385693,19441000
2009-04-01,0.765000,0.770000,0.710000,0.760000,0.385693,24541000
2009-05-01,0.760000,0.945000,0.760000,0.940000,0.477041,35179000
2009-06-01,0.940000,1.000000,0.915000,0.925000,0.479386,12341000
2009-07-01,0.925000,1.050000,0.920000,1.020000,0.528620,17750000
2009-08-01,1.010000,1.100000,1.000000,1.060000,0.549350,11235000
2009-09-01,1.070000,1.190000,1.040000,1.160000,0.611883,12576000
2009-10-01,1.170000,1.240000,1.110000,1.230000,0.648807,9179000
2009-11-01,1.180000,1.250000,1.150000,1.210000,0.638258,16055000
2009-12-01,1.230000,1.260000,1.190000,1.220000,0.653768,11932000
2010-01-01,1.220000,1.400000,1.220000,1.300000,0.696638,21265000
2010-02-01,1.300000,1.300000,1.240000,1.290000,0.702019,7811000
2010-03-01,1.300000,1.400000,1.290000,1.360000,0.740113,15078000
2010-04-01,1.360000,1.380000,1.310000,1.330000,0.723787,24302000
2010-05-01,1.330000,1.360000,1.270000,1.340000,0.729229,17664000
2010-06-01,1.340000,1.390000,1.330000,1.360000,0.751726,13045000
2010-07-01,1.350000,1.500000,1.330000,1.490000,0.823582,22743000
2010-08-01,1.480000,1.580000,1.420000,1.580000,0.873328,17866000
2010-09-01,1.550000,1.680000,1.530000,1.600000,0.897227,96580000
2010-10-01,1.600000,1.700000,1.600000,1.670000,0.936480,17718000
2010-11-01,1.670000,1.710000,1.580000,1.620000,0.908442,24077000
2010-12-01,1.610000,1.660000,1.610000,1.650000,0.937750,8125000
2011-01-01,1.660000,1.800000,1.660000,1.790000,1.017317,11935000
2011-02-01,1.780000,1.810000,1.660000,1.740000,1.002226,12723000
2011-03-01,1.730000,1.780000,1.560000,1.710000,0.984946,19578000
2011-04-01,1.720000,1.760000,1.710000,1.730000,0.996466,8534000
2011-05-01,1.730000,1.830000,1.710000,1.830000,1.054065,7087000
2011-06-01,1.830000,1.850000,1.780000,1.840000,1.074147,4495000
2011-07-01,1.840000,1.870000,1.810000,1.860000,1.085822,5336000
2011-08-01,1.860000,1.900000,1.710000,1.885000,1.100417,16602000
2011-09-01,1.900000,1.975000,1.800000,1.830000,1.082210,19029000
2011-10-01,1.830000,1.870000,1.770000,1.795000,1.061512,10048000
2011-11-01,1.790000,1.840000,1.780000,1.815000,1.073340,6503000
2011-12-01,1.815000,1.815000,1.690000,1.790000,1.072545,8171000
2012-01-01,1.790000,1.795000,1.750000,1.775000,1.063557,10823000
2012-02-01,1.780000,1.795000,1.700000,1.790000,1.072545,22271000
2012-03-01,1.790000,1.850000,1.770000,1.795000,1.090719,5882000
2012-04-01,1.790000,1.865000,1.780000,1.850000,1.124140,7659000
2012-05-01,1.850000,1.910000,1.790000,1.810000,1.099834,8797000
2012-06-01,1.825000,1.880000,1.790000,1.880000,1.157929,9882000
2012-07-01,1.880000,2.030000,1.860000,1.960000,1.207203,9778000
2012-08-01,1.965000,2.040000,1.900000,1.920000,1.182566,11019000
2012-09-01,1.925000,2.030000,1.925000,1.985000,1.237722,17670000
2012-10-01,2.020000,2.200000,1.990000,2.040000,1.272017,14083000
2012-11-01,2.060000,2.200000,2.060000,2.140000,1.334370,8459000
2012-12-01,2.140000,2.160000,2.080000,2.150000,1.353062,5380000
2013-01-01,2.150000,2.380000,2.150000,2.330000,1.466341,7125000
2013-02-01,2.350000,2.480000,2.300000,2.420000,1.540465,6261000
2013-03-01,2.430000,2.540000,2.330000,2.530000,1.610486,6512000
2013-04-01,2.520000,2.820000,2.480000,2.670000,1.699604,14340000
2013-05-01,2.670000,2.810000,2.490000,2.490000,1.585024,12991000
2013-06-01,2.480000,2.560000,2.210000,2.360000,1.516727,15036000
2013-07-01,2.380000,2.550000,2.320000,2.500000,1.606703,7416000
2013-08-01,2.500000,2.510000,2.170000,2.210000,1.420325,7314000
2013-09-01,2.250000,2.590000,2.210000,2.350000,1.526757,7289000
2013-10-01,2.320000,2.590000,2.250000,2.430000,1.578732,36925000
2013-11-01,2.420000,2.460000,2.220000,2.220000,1.442298,7388000
2013-12-01,2.220000,2.380000,2.120000,2.350000,1.542049,4842000
2014-01-01,2.350000,2.370000,2.240000,2.260000,1.482992,3540000
2014-02-01,2.260000,2.380000,2.200000,2.290000,1.516795,3868000
2014-03-01,2.340000,2.440000,2.250000,2.440000,1.616149,3824000
2014-04-01,2.430000,2.540000,2.340000,2.510000,1.662513,3446000
2014-05-01,2.510000,2.520000,2.350000,2.370000,1.569784,4270000
2014-06-01,2.380000,2.460000,2.310000,2.360000,1.580994,6235000
2014-07-01,2.360000,2.440000,2.320000,2.390000,1.601091,3611000
2014-08-01,2.370000,2.450000,2.340000,2.350000,1.574295,4994000
2014-09-01,2.360000,2.430000,2.300000,2.310000,1.566112,4968000
2014-10-01,2.340000,2.400000,2.280000,2.390000,1.620349,4175000
2014-11-01,2.400000,2.420000,2.310000,2.350000,1.593230,3213000
2014-12-01,2.360000,2.440000,2.320000,2.380000,1.628237,4441000
2015-01-01,2.380000,2.440000,2.310000,2.430000,1.662444,7678100
2015-02-01,2.420000,2.460000,2.380000,2.440000,1.669286,4434200
2015-03-01,2.440000,2.450000,2.300000,2.360000,1.634056,25947400
2015-04-01,2.370000,2.460000,2.360000,2.450000,1.696371,7885000
2015-05-01,2.450000,2.450000,2.320000,2.350000,1.627132,14295300
2015-06-01,2.350000,2.380000,2.260000,2.300000,1.607062,16411800
2015-07-01,2.310000,2.440000,2.300000,2.430000,1.697896,14767800
2015-08-01,2.380000,2.460000,2.180000,2.280000,1.593087,16464478
