Date,Open,High,Low,Close,Adj Close,Volume
2007-12-01,2.628105,2.872960,2.530164,2.823989,1.214201,116731316
2008-01-01,2.823989,2.823989,2.040454,2.415898,1.038738,174305486
2008-02-01,2.440384,2.775018,2.326118,2.668914,1.155922,131283216
2008-03-01,2.587296,2.815827,2.301633,2.815827,1.219550,144722621
2008-04-01,2.807665,2.979064,2.726047,2.840313,1.230155,107490727
2008-05-01,2.840313,3.060682,2.611782,2.701562,1.181443,133015673
2008-06-01,2.726047,2.783180,2.342442,2.440384,1.067226,110362634
2008-07-01,2.448545,2.636267,2.399574,2.448545,1.070794,113015229
2008-08-01,2.432222,2.513840,2.195529,2.244500,0.992533,136223292
2008-09-01,2.244500,2.358765,1.730305,1.836409,0.812073,166058549
2008-10-01,1.836409,1.926189,1.191625,1.550745,0.685750,174028586
2008-11-01,1.624202,1.787438,1.183463,1.387509,0.627493,143796358
2008-12-01,1.346700,1.428318,1.126331,1.297729,0.586891,144699342
2009-01-01,1.297729,1.518098,1.142654,1.305891,0.590582,179227182
2009-02-01,1.273243,1.281405,1.028389,1.167140,0.540562,170934916
2009-03-01,1.126331,1.440000,0.935000,1.320000,0.611359,377599843
2009-04-01,1.290000,1.390000,1.100000,1.250000,0.578939,266967000
2009-05-01,1.250000,1.560000,1.250000,1.330000,0.625759,288253000
2009-06-01,1.340000,1.480000,1.280000,1.400000,0.658694,233838000
2009-07-01,1.390000,1.670000,1.350000,1.580000,0.743383,207065000
2009-08-01,1.600000,1.730000,1.440000,1.630000,0.777255,168330000
2009-09-01,1.630000,1.890000,1.610000,1.850000,0.882160,183555000
2009-10-01,1.850000,1.870000,1.540000,1.600000,0.762950,261287000
2009-11-01,1.580000,1.760000,1.560000,1.720000,0.831736,159469000
2009-12-01,1.750000,1.810000,1.690000,1.800000,0.870422,101491000
2010-01-01,1.800000,1.890000,1.640000,1.690000,0.817229,123249000
2010-02-01,1.700000,1.830000,1.680000,1.770000,0.868395,106305000
2010-03-01,1.780000,1.890000,1.760000,1.770000,0.868395,121497000
2010-04-01,1.800000,1.990000,1.780000,1.960000,0.961612,141793000
2010-05-01,1.920000,2.020000,1.790000,1.820000,0.903530,157695000
2010-06-01,1.810000,1.920000,1.800000,1.840000,0.913459,80368000
2010-07-01,1.860000,2.010000,1.850000,1.910000,0.948210,124366000
2010-08-01,1.930000,1.990000,1.880000,1.940000,0.974373,92513000
2010-09-01,1.950000,2.150000,1.940000,2.150000,1.079846,99474000
2010-10-01,2.100000,2.160000,1.930000,1.980000,0.994463,147589000
2010-11-01,1.990000,2.020000,1.820000,1.840000,0.935239,127747000
2010-12-01,1.840000,1.980000,1.820000,1.950000,0.991149,104034000
2011-01-01,1.960000,1.990000,1.870000,1.900000,0.965736,136668000
2011-02-01,1.910000,1.920000,1.750000,1.810000,0.931320,132016000
2011-03-01,1.800000,1.930000,1.710000,1.880000,0.967338,179040000
2011-04-01,1.890000,1.920000,1.840000,1.890000,0.972483,124524000
2011-05-01,1.890000,2.000000,1.830000,2.000000,1.041637,152149000
2011-06-01,2.000000,2.020000,1.860000,1.870000,0.973930,159230000
2011-07-01,1.880000,1.970000,1.870000,1.885000,0.981743,106384000
2011-08-01,1.900000,1.905000,1.680000,1.870000,0.985862,175135000
2011-09-01,1.885000,1.935000,1.775000,1.830000,0.964774,133220000
2011-10-01,1.790000,1.925000,1.775000,1.875000,0.988498,90262000
2011-11-01,1.800000,1.820000,1.725000,1.745000,0.932089,169744000
2011-12-01,1.775000,1.810000,1.615000,1.700000,0.913271,109894000
2012-01-01,1.715000,1.760000,1.685000,1.710000,0.918643,122732000
2012-02-01,1.700000,1.800000,1.700000,1.800000,0.974244,164352000
2012-03-01,1.800000,1.845000,1.745000,1.805000,0.976950,165276000
2012-04-01,1.800000,1.890000,1.780000,1.800000,0.974244,98738000
2012-05-01,1.800000,1.825000,1.745000,1.815000,0.994628,190590000
2012-06-01,1.795000,1.910000,1.770000,1.910000,1.046689,154816000
2012-07-01,1.920000,1.980000,1.890000,1.960000,1.074089,145841000
2012-08-01,1.960000,2.010000,1.910000,1.980000,1.098597,139404000
2012-09-01,1.965000,2.070000,1.950000,2.020000,1.120790,174547000
2012-10-01,2.010000,2.250000,1.990000,2.110000,1.170726,183614000
2012-11-01,2.130000,2.180000,2.020000,2.070000,1.161607,194762000
2012-12-01,2.080000,2.170000,2.030000,2.130000,1.204166,142479000
2013-01-01,2.130000,2.200000,2.080000,2.120000,1.198512,193664000
2013-02-01,2.130000,2.200000,2.090000,2.150000,1.219984,151211000
2013-03-01,2.150000,2.150000,2.050000,2.090000,1.185938,198167000
2013-04-01,2.100000,2.450000,2.090000,2.320000,1.316448,205695000
2013-05-01,2.320000,2.410000,2.080000,2.150000,1.233232,200738000
2013-06-01,2.130000,2.220000,1.890000,1.995000,1.144325,259277000
2013-07-01,1.995000,2.080000,1.905000,2.030000,1.164401,199407000
2013-08-01,2.050000,2.060000,1.815000,1.860000,1.080221,154018000
2013-09-01,1.850000,2.030000,1.835000,1.960000,1.138297,151765000
2013-10-01,1.970000,2.030000,1.935000,2.020000,1.173143,157838863
2013-11-01,2.010000,2.030000,1.920000,1.945000,1.144232,126557000
2013-12-01,1.935000,1.955000,1.810000,1.905000,1.120700,139130000
2014-01-01,1.905000,1.920000,1.845000,1.870000,1.100110,145271000
2014-02-01,1.880000,1.920000,1.800000,1.900000,1.133821,188179000
2014-03-01,1.890000,1.960000,1.865000,1.890000,1.127853,179118000
2014-04-01,1.900000,2.020000,1.895000,1.995000,1.190512,187014000
2014-05-01,1.995000,2.090000,1.990000,2.070000,1.251471,179140000
2014-06-01,2.070000,2.080000,1.945000,1.975000,1.194036,155259000
2014-07-01,1.965000,2.020000,1.925000,1.970000,1.191013,203630000
2014-08-01,1.965000,2.020000,1.950000,2.000000,1.225552,128707000
2014-09-01,1.995000,2.020000,1.895000,1.910000,1.170402,161909000
2014-10-01,1.910000,1.990000,1.885000,1.970000,1.207169,175054000
2014-11-01,1.980000,2.010000,1.940000,1.980000,1.230283,125722000
2014-12-01,1.985000,2.050000,1.965000,2.040000,1.267565,162471000
2015-01-01,2.040000,2.260000,2.010000,2.090000,1.298633,310522700
2015-02-01,2.060000,2.200000,2.050000,2.110000,1.328735,211337200
2015-03-01,2.120000,2.210000,2.050000,2.200000,1.385411,228270700
2015-04-01,2.170000,2.280000,2.150000,2.190000,1.379113,173441000
2015-05-01,2.190000,2.240000,2.090000,2.170000,1.382845,155429600
2015-06-01,2.170000,2.200000,2.070000,2.150000,1.370100,190451682
2015-07-01,2.140000,2.200000,2.000000,2.000000,1.274511,190175224
2015-08-01,2.010000,2.090000,1.845000,1.920000,1.239224,203638300
2015-09-01,1.920000,1.980000,1.850000,1.900000,1.226315,160891900
2015-10-01,1.910000,2.080000,1.885000,1.980000,1.277949,172432700
