Date,Open,High,Low,Close,Adj Close,Volume
1988-07-01,275.075195,284.244385,270.490692,284.244385,159.176056,0
1988-08-01,284.244385,293.413605,279.659790,279.659790,156.608643,0
1988-09-01,277.367493,279.659790,277.367493,277.367493,155.324997,0
1988-10-01,277.367493,291.121307,277.367493,291.121307,163.027130,0
1988-11-01,291.121307,293.413605,291.121307,293.413605,164.310822,0
1988-12-01,293.413605,293.413605,291.121307,291.121307,163.027130,0
1989-01-01,291.121307,302.582794,291.121307,302.582794,169.445496,0
1989-02-01,302.582794,323.213409,302.582794,323.213409,180.998566,0
1989-03-01,327.798004,359.890106,327.798004,359.890106,201.537430,0
1989-04-01,357.597809,362.182404,346.136414,362.182404,202.821121,0
1989-05-01,362.182404,373.643890,359.890106,369.059296,206.672195,0
1989-06-01,369.059296,373.643890,369.059296,369.059296,206.672195,0
1989-07-01,369.059296,373.643890,369.059296,369.059296,206.672195,0
1989-08-01,373.643890,378.228485,373.643890,373.643890,209.239532,0
1989-09-01,373.643890,378.228485,373.643890,373.643890,209.239532,0
1989-10-01,375.936188,375.936188,320.921112,320.921112,179.714905,0
1989-11-01,325.505707,325.505707,320.921112,320.921112,179.714905,0
1989-12-01,318.628815,330.090302,309.459686,330.090302,184.849625,0
1990-01-01,330.090302,336.967194,327.798004,336.967194,188.700714,0
1990-02-01,336.967194,341.551788,336.967194,339.259491,189.984406,0
1990-03-01,338.800995,339.259491,332.382599,336.967194,188.700714,0
1990-04-01,336.967194,336.967194,332.382599,332.382599,186.133301,0
1990-05-01,332.382599,336.967194,332.382599,332.382599,186.133301,0
1990-06-01,336.967194,336.967194,332.382599,332.382599,186.133301,0
1990-07-01,336.967194,336.967194,332.382599,332.382599,186.133301,0
1990-08-01,332.382599,332.382599,314.044189,314.044189,175.863846,0
1990-09-01,318.628815,318.628815,304.875092,309.459686,173.296478,0
1990-10-01,304.875092,304.875092,300.290497,304.875092,170.729202,0
1990-11-01,300.290497,304.875092,300.290497,300.290497,168.161835,0
1990-12-01,295.705902,295.705902,295.705902,295.705902,165.594452,0
1991-01-01,295.705902,295.705902,291.121307,292.496704,163.797363,0
1991-02-01,292.496704,292.496704,291.121307,291.121307,163.027130,0
1991-03-01,295.705902,323.213409,295.705902,320.004211,179.201523,0
1991-04-01,320.004211,325.505707,320.004211,322.296509,180.485184,0
1991-05-01,322.296509,322.296509,322.296509,322.296509,180.485184,0
1991-06-01,322.296509,322.296509,303.958099,303.958099,170.215683,0
1991-07-01,303.958099,303.958099,288.829010,288.829010,161.743484,0
1991-08-01,288.829010,288.829010,272.782898,272.782898,152.757614,0
1991-09-01,272.782898,283.327515,272.782898,283.327515,158.662643,0
1991-10-01,283.327515,283.327515,279.659790,279.659790,156.608643,0
1991-11-01,279.659790,279.659790,260.404602,260.404602,145.825867,0
1991-12-01,260.404602,260.404602,245.275406,245.275406,137.353516,0
1992-01-01,245.275406,247.567703,233.813904,233.813904,130.935165,0
1992-02-01,233.813904,233.813904,201.721802,201.721802,112.963615,0
1992-03-01,199.429504,199.429504,153.583694,155.875900,87.290092,0
1992-04-01,155.875900,166.420502,153.583694,164.128204,91.911346,0
1992-05-01,164.128204,191.635696,164.128204,191.635696,107.315437,0
1992-06-01,192.552704,192.552704,185.675797,185.675797,103.977905,0
1992-07-01,185.675797,185.675797,167.337402,167.337402,93.708488,0
1992-08-01,162.752808,162.752808,158.168198,158.168198,88.573730,0
1992-09-01,158.168198,158.168198,153.583694,155.875900,87.290092,0
1992-10-01,155.875900,155.875900,146.706802,146.706802,82.155411,0
1992-11-01,146.706802,146.706802,138.912994,138.912994,77.790894,0
1992-12-01,138.912994,138.912994,122.866898,122.866898,68.805099,0
1993-01-01,122.866898,138.912994,122.866898,138.912994,77.790894,0
1993-02-01,139.829895,150.374405,139.829895,148.082108,82.925560,0
1993-03-01,148.082108,192.552704,148.082108,187.968094,105.261581,0
1993-04-01,187.968094,187.968094,184.758896,186.134201,104.234657,363264
1993-05-01,186.134201,214.558701,184.758896,214.558701,121.854691,2215972
1993-06-01,214.558701,230.928497,214.558701,222.916702,126.601463,0
1993-07-01,222.916702,222.916702,213.491104,222.916702,126.601463,262676
1993-08-01,222.916702,256.849091,222.916702,256.849091,145.872711,827558
1993-09-01,256.849091,265.332214,256.849091,265.332214,150.690536,0
1993-10-01,265.332214,299.264496,265.332214,298.321991,169.426498,0
1993-11-01,298.321991,298.321991,286.539886,289.838898,165.452499,0
1993-12-01,303.977386,319.529694,303.977386,319.529694,182.401352,1753909
1994-01-01,319.529694,328.955414,319.529694,328.955414,187.781860,0
1994-02-01,331.311798,340.737396,331.311798,340.737396,194.507538,140268
1994-03-01,340.737396,340.737396,294.551697,294.551697,168.142746,8286503
1994-04-01,294.551697,294.551697,277.114288,282.769592,161.417084,0
1994-05-01,282.769592,282.769592,262.425903,262.425903,151.285034,2912589
1994-06-01,262.425903,264.878510,239.879898,239.879898,138.287552,0
1994-07-01,239.879898,242.615997,239.879898,242.615997,139.864838,6240
1994-08-01,242.615997,245.352097,239.879898,244.440704,140.916824,988200
1994-09-01,244.440704,244.440704,235.319107,235.319107,135.658264,31205
1994-10-01,235.319107,235.319107,222.549896,222.549896,128.297028,31205
1994-11-01,222.549896,223.462296,218.901505,218.901505,127.075226,420243
1994-12-01,218.901505,220.726196,218.901505,220.726196,128.134537,0
1995-01-01,220.726196,221.637604,211.605606,211.605606,122.839867,312063
1995-02-01,212.516907,213.429306,210.692200,213.429306,123.898598,0
1995-03-01,213.429306,217.077805,206.132401,217.077805,126.016548,97779
1995-04-01,221.637604,232.582993,221.637604,232.582993,137.137085,188900
1995-05-01,232.582993,254.472702,232.582993,253.561295,149.506485,0
1995-06-01,253.561295,261.769592,253.561295,261.769592,154.346298,529464
1995-07-01,261.769592,267.241791,261.769592,267.241791,157.572830,1223288
1995-08-01,268.154205,269.066589,268.154205,269.066589,158.648788,37515
1995-09-01,270.890289,274.538696,270.890289,274.538696,161.875275,137307
1995-10-01,274.538696,281.901886,266.341705,266.341705,157.042160,328564
1995-11-01,265.427185,288.924896,263.596100,288.924896,171.421051,1662258
1995-12-01,293.585297,293.585297,289.857208,289.857208,171.974197,228052
1996-01-01,289.857208,294.516602,287.061401,294.516602,174.738617,103660
1996-02-01,294.516602,302.904999,294.516602,302.904999,179.715515,1088434
1996-03-01,302.904999,329.933014,302.904999,329.933014,195.751389,38974
1996-04-01,329.933014,352.302612,329.001709,352.302612,209.023392,310142
1996-05-01,352.302612,352.302612,342.982788,342.982788,205.660446,423804
1996-06-01,342.982788,342.982788,324.341400,324.341400,194.482681,960323
1996-07-01,324.341400,333.661102,324.341400,333.661102,200.070969,539032
1996-08-01,333.661102,363.020203,333.661102,363.020203,217.675385,292319
1996-09-01,363.020203,374.204498,363.020203,373.272186,223.822815,1610835
1996-10-01,373.272186,382.592010,371.408691,382.592010,229.411057,52866
1996-11-01,382.592010,409.155304,382.592010,409.155304,246.577759,390994
1996-12-01,409.155304,437.582214,407.756409,437.115509,263.428009,283094
1997-01-01,437.115509,443.173798,435.717590,440.377991,265.394135,344784
1997-02-01,440.377991,479.522491,440.377991,479.522491,288.984589,265885
1997-03-01,479.522491,486.978699,468.893402,468.893402,282.578888,12438
1997-04-01,466.083801,466.083801,459.056885,459.056885,279.042999,789470
1997-05-01,459.056885,502.620514,459.056885,502.620514,305.523743,699705
1997-06-01,502.620514,502.620514,484.819794,484.819794,294.703369,359285
1997-07-01,482.478790,483.415009,479.199585,479.199585,291.286957,31096
1997-08-01,479.199585,502.152893,479.199585,502.152893,305.239410,259150
1997-09-01,502.152893,506.835907,501.215698,505.899689,307.517090,4175
1997-10-01,510.583710,537.284790,510.583710,527.447327,320.615021,268276
1997-11-01,527.447327,531.663696,520.888916,529.320679,322.984070,304005
1997-12-01,528.383484,534.941895,528.383484,534.941895,326.414063,53127
1998-01-01,534.941895,576.500000,534.941895,562.500000,343.229645,632664
1998-02-01,562.500000,562.500000,552.500000,552.500000,337.127716,643600
1998-03-01,555.000000,573.500000,555.000000,571.500000,348.721283,825149
1998-04-01,566.500000,596.500000,565.500000,590.000000,360.009827,202800
1998-05-01,590.000000,590.000000,574.500000,574.500000,350.551910,127050
1998-06-01,574.500000,574.500000,566.500000,566.500000,348.416260,500053
1998-07-01,564.000000,564.000000,494.500000,494.500000,304.133942,284633
1998-08-01,494.000000,494.000000,428.500000,428.500000,263.541718,1364530
1998-09-01,415.500000,442.500000,406.000000,442.500000,272.152191,2330916
1998-10-01,437.500000,460.000000,397.500000,460.000000,282.915253,830174
1998-11-01,460.000000,476.500000,460.000000,473.000000,292.433441,1295215
1998-12-01,471.500000,471.500000,454.000000,454.000000,280.686646,681064
1999-01-01,454.000000,454.000000,415.000000,415.000000,256.574799,2045920
1999-02-01,415.000000,483.000000,415.000000,483.000000,298.615936,2612631
1999-03-01,483.000000,577.500000,483.000000,577.500000,357.040802,3653176
1999-04-01,577.500000,577.500000,531.000000,547.000000,338.184235,1942878
1999-05-01,547.000000,573.000000,547.000000,565.000000,349.312714,1327204
1999-06-01,566.500000,584.000000,565.000000,584.000000,364.237762,1088912
1999-07-01,584.000000,600.000000,584.000000,593.500000,370.162994,2703539
