"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"01.07.2024","59,40","57,15","61,40","56,40","836,92K","5,41%"
"01.06.2024","56,35","61,20","62,15","55,95","1,73M","-7,32%"
"01.05.2024","60,80","62,50","67,10","58,40","1,85M","-2,41%"
"01.04.2024","62,30","61,05","63,95","60,30","1,55M","2,72%"
"01.03.2024","60,65","57,95","61,10","55,90","2,70M","5,11%"
"01.02.2024","57,70","66,45","67,30","57,70","1,70M","-14,52%"
"01.01.2024","67,50","71,70","72,50","64,55","1,15M","-5,46%"
"01.12.2023","71,40","64,00","73,05","63,65","1,23M","10,53%"
"01.11.2023","64,60","58,90","66,75","58,70","1,49M","10,05%"
"01.10.2023","58,70","65,50","66,60","53,55","2,32M","-9,55%"
"01.09.2023","64,90","71,10","72,25","62,70","1,19M","-9,74%"
"01.08.2023","71,90","71,00","72,95","66,45","981,33K","0,98%"
"01.07.2023","71,20","69,00","74,20","68,40","1,24M","3,49%"
"01.06.2023","68,80","72,95","76,90","66,80","1,34M","-5,23%"
"01.05.2023","72,60","86,20","87,40","72,10","1,16M","-16,21%"
"01.04.2023","86,65","82,70","88,25","80,50","945,96K","6,25%"
"01.03.2023","81,55","87,25","87,25","76,95","2,79M","-6,75%"
"01.02.2023","87,45","84,05","89,05","84,05","991,81K","4,79%"
"01.01.2023","83,45","84,30","90,70","82,30","996,27K","-0,30%"
"01.12.2022","83,70","82,70","87,75","78,75","1,31M","0,97%"
"01.11.2022","82,90","85,25","92,95","82,45","1,17M","-1,25%"
"01.10.2022","83,95","84,10","86,55","76,85","1,22M","-1,00%"
"01.09.2022","84,80","100,60","102,70","77,95","1,66M","-16,21%"
"01.08.2022","101,20","108,50","111,70","101,20","1,04M","-7,83%"
"01.07.2022","109,80","103,80","115,20","100,90","991,74K","5,98%"
"01.06.2022","103,60","122,10","122,10","103,60","1,15M","-14,94%"
"01.05.2022","121,80","126,70","130,80","118,90","980,26K","-5,07%"
"01.04.2022","128,30","132,70","135,90","128,30","669,81K","-2,80%"
"01.03.2022","132,00","113,70","133,60","111,20","1,41M","12,72%"
"01.02.2022","117,10","131,00","131,20","110,70","1,51M","-10,54%"
"01.01.2022","130,90","140,80","143,30","128,40","875,07K","-6,83%"
"01.12.2021","140,50","138,60","141,90","135,90","904,72K","1,37%"
"01.11.2021","138,60","139,50","144,20","135,90","954,59K","-0,65%"
"01.10.2021","139,50","130,20","143,40","128,60","993,60K","6,49%"
"01.09.2021","131,00","140,70","142,20","130,50","1,24M","-6,50%"
"01.08.2021","140,10","137,00","142,40","134,90","1,05M","2,79%"
"01.07.2021","136,30","128,90","137,90","128,10","1,21M","6,15%"
"01.06.2021","128,40","129,00","132,40","128,00","1,26M","-0,39%"
"01.05.2021","128,90","127,90","131,50","125,70","838,78K","1,10%"
"01.04.2021","127,50","124,70","129,80","124,00","762,29K","2,66%"
"01.03.2021","124,20","129,00","130,20","120,80","1,34M","-3,27%"
"01.02.2021","128,40","123,60","133,00","123,40","798,63K","4,05%"
"01.01.2021","123,40","122,60","126,80","121,60","799,50K","1,31%"
"01.12.2020","121,80","124,80","125,60","117,40","925,05K","-2,40%"
"01.11.2020","124,80","117,40","130,40","116,80","1,27M","7,03%"
