"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"01.07.2024","618,00","595,15","648,00","576,00","144,27K","4,04%"
"01.06.2024","594,00","540,00","600,51","540,00","311,81K","11,03%"
"01.05.2024","535,00","490,00","568,00","490,00","4,87M","7,54%"
"01.04.2024","497,50","500,00","514,00","473,00","5,35M","-2,93%"
"01.03.2024","512,50","480,80","514,50","480,80","4,41M","5,11%"
"01.02.2024","487,60","529,50","529,50","475,00","5,90M","-6,68%"
"01.01.2024","522,50","562,00","574,00","499,20","7,91M","-8,01%"
"01.12.2023","568,00","540,50","586,00","518,00","7,80M","7,58%"
"01.11.2023","528,00","484,60","617,00","475,00","5,65M","9,50%"
"01.10.2023","482,20","498,60","498,60","449,20","5,33M","-1,71%"
"01.09.2023","490,60","500,00","518,00","472,00","5,52M","-2,27%"
"01.08.2023","502,00","502,50","515,50","474,20","4,74M","1,09%"
"01.07.2023","496,60","475,00","557,50","457,80","5,77M","5,03%"
"01.06.2023","472,80","508,50","540,50","450,80","6,02M","-6,00%"
"01.05.2023","503,00","489,00","514,50","463,00","4,27M","5,36%"
"01.04.2023","477,40","431,20","495,00","426,80","3,09M","9,29%"
"01.03.2023","436,80","515,07","515,07","414,40","6,82M","-14,60%"
"01.02.2023","511,50","494,80","542,50","494,80","6,51M","1,29%"
"01.01.2023","505,00","440,40","520,00","440,40","9,15M","13,59%"
"01.12.2022","444,60","415,00","455,20","404,20","5,52M","4,91%"
"01.11.2022","423,80","416,40","498,20","407,00","6,26M","3,52%"
"01.10.2022","409,40","392,00","436,20","335,20","8,82M","2,71%"
"01.09.2022","398,60","521,50","539,00","376,80","8,54M","-23,57%"
"01.08.2022","521,50","601,50","611,50","511,50","4,17M","-11,23%"
"01.07.2022","587,50","555,00","593,00","518,50","8,54M","5,67%"
"01.06.2022","556,00","727,00","735,59","554,00","8,88M","-22,02%"
"01.05.2022","713,00","663,00","732,50","614,00","9,00M","6,90%"
"01.04.2022","667,00","698,50","716,00","648,00","6,96M","-2,63%"
"01.03.2022","685,00","792,50","792,50","592,50","12,15M","-11,44%"
"01.02.2022","773,50","847,50","851,00","722,50","3,72M","-8,41%"
"01.01.2022","844,50","824,50","893,00","812,00","5,31M","4,45%"
"01.12.2021","808,50","804,50","872,50","779,00","3,44M","1,63%"
"01.11.2021","795,50","815,50","877,00","790,00","4,24M","-3,22%"
"01.10.2021","822,00","815,50","887,00","790,50","4,06M","-0,36%"
"01.09.2021","825,00","952,50","964,50","825,00","5,54M","-11,34%"
"01.08.2021","930,50","881,00","979,00","854,00","2,86M","7,76%"
"01.07.2021","863,50","826,00","884,00","798,00","3,01M","3,54%"
"01.06.2021","834,00","894,00","927,50","824,00","4,46M","-7,95%"
"01.05.2021","906,00","821,00","917,00","821,00","3,46M","10,49%"
"01.04.2021","820,00","816,00","851,00","778,50","3,70M","2,50%"
"01.03.2021","800,00","782,50","824,50","756,50","4,45M","4,58%"
"01.02.2021","765,00","718,50","851,50","698,00","4,33M","6,92%"
"01.01.2021","715,50","783,50","796,50","699,00","3,57M","-6,96%"
"01.12.2020","769,00","689,00","803,00","683,50","4,93M","12,51%"
"01.11.2020","683,50","603,00","772,00","593,00","6,29M","10,78%"
"01.10.2020","617,00","529,50","640,00","529,50","4,96M","14,58%"
"01.09.2020","538,50","568,50","568,50","472,40","5,44M","-4,44%"
"01.08.2020","563,50","601,50","614,50","521,00","4,46M","-8,37%"
"01.07.2020","615,00","658,50","682,00","532,50","5,15M","-5,89%"
"01.06.2020","653,50","736,50","823,50","648,00","7,86M","-10,66%"
"01.05.2020","731,50","762,00","773,00","609,50","5,37M","-6,34%"
