Date,Open,High,Low,Close,Adj Close,Volume
2000-02-01,36.159325,37.025887,35.922989,36.868332,24.909399,61362
2000-03-01,36.789555,37.341003,36.553219,37.025887,25.015850,69591
2000-04-01,36.631996,37.262222,36.474438,36.868332,24.909399,53526
2000-05-01,36.868332,38.128788,36.316883,37.971230,25.654554,88565
2000-06-01,37.971230,38.759014,37.419781,38.680237,26.133579,84112
2000-07-01,38.050011,39.074127,38.050011,38.837795,26.240032,80592
2000-08-01,38.995350,39.152908,38.365124,38.837795,26.240032,83102
2000-09-01,38.443901,40.019470,38.128788,39.783134,26.878731,63540
2000-10-01,39.389244,40.334583,38.286343,40.098248,27.091633,96026
2000-11-01,40.098248,40.570919,39.389244,40.255806,27.198082,72646
2000-12-01,39.546799,40.570919,38.995350,39.940693,26.985182,59904
2001-01-01,39.940693,40.728477,39.389244,40.570919,27.410984,84536
2001-02-01,40.334583,41.437485,40.334583,40.964813,27.677109,91326
2001-03-01,41.043591,41.752598,40.649700,40.964813,27.677109,95721
2001-04-01,41.122372,41.831375,40.413364,40.649700,27.464209,88189
2001-05-01,40.649700,41.122372,39.783134,40.570919,27.410984,75377
2001-06-01,40.570919,42.934277,40.570919,41.437485,27.996464,116109
2001-07-01,41.358704,42.934277,41.043591,41.595039,28.102909,101482
2001-08-01,41.910156,42.855495,40.964813,41.516262,28.049690,172923
2001-09-01,42.146488,42.304047,41.201149,41.910156,28.315815,88465
2001-10-01,42.067711,42.146488,40.964813,41.752598,28.209364,137062
2001-11-01,41.752598,42.067711,41.279926,42.067711,28.422266,185350
2001-12-01,41.988934,43.249390,41.752598,43.249390,29.220640,129062
2002-01-01,43.249390,43.643280,42.382828,43.406944,29.327091,216402
2002-02-01,43.249390,43.722061,43.091831,43.485725,29.380320,159765
2002-03-01,43.249390,44.037174,43.091831,43.564503,29.433540,109338
2002-04-01,43.564503,43.722061,43.013054,43.485725,29.380320,86716
2002-05-01,43.485725,44.273510,43.091831,44.037174,29.752890,176855
2002-06-01,43.958393,44.115952,42.934277,43.485725,29.380320,224535
2002-07-01,43.485725,44.746181,43.170609,44.588623,30.125467,387829
2002-08-01,44.588623,45.061295,43.800838,45.061295,30.444824,417085
2002-09-01,44.903736,45.297630,43.958393,44.509846,30.072248,411969
2002-10-01,44.509846,44.588623,43.643280,44.431065,30.019018,606546
2002-11-01,44.431065,45.455189,43.800838,45.376408,30.657722,632357
2002-12-01,45.376408,46.085415,44.982517,46.085415,31.136751,415628
2003-01-01,46.085415,46.951977,45.691521,46.794422,31.615774,444092
2003-02-01,46.794422,46.951977,46.242970,46.636864,31.509321,399477
2003-03-01,46.479305,46.951977,46.400528,46.794422,31.615774,367086
2003-04-01,46.636864,47.660984,46.558086,47.345871,31.988354,347691
2003-05-01,47.345871,49.630447,47.345871,48.763882,32.946407,1293714
2003-06-01,48.527550,49.709225,47.818542,49.394112,33.372211,687193
2003-07-01,49.472889,50.181896,49.157776,49.472889,33.425438,629192
2003-08-01,49.709225,50.339455,49.236553,49.551666,33.478657,337666
2003-09-01,49.788002,50.103119,49.157776,49.315331,33.318981,340046
2003-10-01,49.000217,49.394112,48.291210,49.000217,33.106079,539813
2003-11-01,48.921440,50.103119,48.921440,49.472889,33.425438,493582
2003-12-01,49.709225,50.339455,49.236553,49.630447,33.531883,477349
2004-01-01,49.630447,50.575787,49.630447,50.024338,33.798004,443192
2004-02-01,50.339455,50.497009,49.630447,50.024338,33.798004,689212
2004-03-01,50.181896,51.206017,50.024338,51.127239,34.543167,549715
2004-04-01,50.890903,51.599911,50.418232,51.127239,34.543167,677564
2004-05-01,51.284794,51.284794,49.472889,50.969681,34.436710,879585
2004-06-01,51.048458,52.466473,50.260674,52.387691,35.394764,813807
2004-07-01,52.230137,52.624027,51.836243,52.624027,35.554440,825729
2004-08-01,52.624027,53.096699,51.993801,52.466473,35.447990,651615
2004-09-01,52.860363,53.411816,52.387691,52.624027,35.554440,726979
2004-10-01,52.781586,53.490593,52.387691,53.254257,35.980244,569578
2004-11-01,53.254257,54.908604,53.175480,54.514713,36.831848,658772
2004-12-01,54.751049,56.641731,54.357155,55.460052,37.470551,816157
2005-01-01,56.169060,56.720509,55.617611,55.932724,37.789898,732830
2005-02-01,56.326618,56.878067,55.775169,56.011505,37.843124,1080970
2005-03-01,56.247841,56.247841,53.569370,55.381275,37.417324,966008
2005-04-01,55.538834,56.092976,53.569370,55.934521,37.791111,828271
2005-05-01,56.013748,59.262070,54.983791,58.152885,39.289913,2207544
2005-06-01,58.152885,60.133572,58.152885,59.975117,40.521065,1589655
2005-07-01,60.133572,60.608936,59.420525,60.054344,40.574593,908307
2005-08-01,60.133572,62.272709,59.816662,62.193481,42.019863,936780
2005-09-01,62.193481,64.411850,61.797344,63.857258,43.143963,1558098
2005-10-01,64.094940,64.570305,62.193481,63.936485,43.197495,1233240
2005-11-01,63.936485,64.332619,62.985756,63.619576,42.983379,1233577
2005-12-01,63.778030,65.441803,63.381893,64.253395,43.411606,1120811
2006-01-01,64.807983,67.343262,64.649529,67.184807,45.392162,2067891
2006-02-01,67.184807,69.086266,67.184807,67.818626,45.820385,2124482
2006-03-01,67.977081,69.561630,67.501717,67.818626,45.820385,1486527
2006-04-01,68.056305,70.572647,67.739395,69.689491,47.084404,1058209
2006-05-01,69.689491,70.652939,65.996269,68.645752,46.379223,5713021
2006-06-01,68.806328,69.850060,65.434258,69.689491,47.084404,3813352
2006-07-01,69.769775,72.660126,69.127480,72.178398,48.765987,2061558
2006-08-01,72.178398,73.222137,71.696671,72.660126,49.091457,1717874
2006-09-01,72.419258,76.273056,72.419258,76.273056,51.532467,2226468
2006-10-01,75.951904,76.433632,75.149033,76.273056,51.532467,2747336
2006-11-01,76.273056,80.287430,75.149033,79.725418,53.864994,2718392
2006-12-01,79.885994,87.673874,79.323982,86.710426,58.584282,3506747
2007-01-01,86.710426,99.154976,85.586395,93.534851,63.195076,6234311
2007-02-01,93.534851,97.950661,89.600769,92.250252,62.327164,4024846
2007-03-01,92.330544,96.344917,86.630135,96.344917,65.093643,4639266
2007-04-01,96.344917,101.483307,95.140602,96.023766,64.876656,3642785
2007-05-01,96.023766,97.549225,89.921921,96.344917,65.093643,4114370
2007-06-01,96.344917,98.673248,84.301804,86.790710,58.638527,4411906
2007-07-01,86.630135,87.754158,68.726036,74.667305,50.447563,5338153
2007-08-01,73.864433,76.112480,62.945343,72.900986,49.254181,5279089
2007-09-01,73.864433,76.273056,66.959717,70.251503,47.464119,3071256
2007-10-01,70.171211,72.660126,61.741032,65.835693,44.480663,3993654
2007-11-01,65.835693,65.996269,48.975330,57.485798,40.719742,8977298
2007-12-01,58.047810,58.288673,50.581081,55.799763,39.525444,4747151
2008-01-01,55.799763,56.120911,45.522972,50.821941,35.999439,8355552
2008-02-01,50.821941,58.208385,49.457054,57.646374,40.833485,4620199
2008-03-01,55.880051,60.054996,52.186829,55.077175,39.013607,4033201
2008-04-01,54.756027,57.806950,54.033440,56.923786,40.321640,3291556
2008-05-01,56.923786,61.660744,56.442062,60.777584,43.051460,2992865
2008-06-01,59.573273,61.098732,49.938782,52.588264,37.250603,3653938
2008-07-01,51.865681,54.194016,42.953773,46.727283,33.099007,4590143
2008-08-01,46.165272,51.624817,46.084984,49.778206,35.260117,2967807
2008-09-01,48.814754,50.259930,16.218060,19.590132,13.876560,8262901
