Date,Open,High,Low,Close,Adj Close,Volume
2007-12-01,2.107297,2.376723,2.107297,2.261254,0.866189,20361941
2008-01-01,2.261254,2.463324,1.876360,2.011073,0.770355,32516956
2008-02-01,2.030318,2.251632,1.991828,2.232387,0.855131,15471245
2008-03-01,2.203520,2.203520,1.732024,1.991828,0.778044,32243634
2008-04-01,1.972583,2.039940,1.741647,1.847493,0.721664,60699232
2008-05-01,1.847493,2.001451,1.847493,1.876360,0.732941,22948620
2008-06-01,1.885982,1.924472,1.616556,1.693535,0.661526,24977227
2008-07-01,1.703157,1.712780,1.366375,1.375997,0.537489,31361314
2008-08-01,1.385619,1.385619,1.077704,1.106571,0.432247,24875384
2008-09-01,1.096949,1.173928,0.769788,0.827523,0.331437,28535604
2008-10-01,0.827523,0.885257,0.553285,0.635075,0.254358,32949284
2008-11-01,0.649509,0.745732,0.572530,0.586964,0.235089,29324395
2008-12-01,0.582152,0.707243,0.572530,0.702432,0.281336,24783930
2009-01-01,0.702432,0.764977,0.586964,0.625453,0.250504,115469575
2009-02-01,0.625453,0.630264,0.447439,0.490740,0.196549,43327197
2009-03-01,0.461873,0.538852,0.399327,0.500362,0.216622,46501051
2009-04-01,0.500362,0.582152,0.495551,0.558096,0.241617,50018900
2009-05-01,0.558096,0.808278,0.558096,0.760166,0.329099,133315504
2009-06-01,0.769788,0.817900,0.692809,0.798655,0.345762,117857762
2009-07-01,0.798655,1.202795,0.779411,1.164305,0.504064,106439566
2009-08-01,1.173928,1.356752,1.019970,1.356752,0.587380,91472345
2009-09-01,1.327885,1.472221,1.289396,1.385619,0.601819,42208966
2009-10-01,1.385619,1.568444,1.279773,1.529955,0.664508,47409352
2009-11-01,1.510710,1.529955,1.385619,1.433731,0.622715,40730118
2009-12-01,1.443354,1.683913,1.414487,1.683913,0.731377,37034562
2010-01-01,1.683913,1.828248,1.539577,1.732024,0.752274,45918035
2010-02-01,1.712780,1.722402,1.597311,1.626178,0.706301,19070155
2010-03-01,1.626178,1.732024,1.578067,1.732024,0.772487,34556997
2010-04-01,1.732024,1.876360,1.722402,1.857115,0.828278,24744435
2010-05-01,1.876360,1.914849,1.606934,1.635801,0.729571,31347804
2010-06-01,1.645423,1.866738,1.578067,1.683913,0.751029,56540170
2010-07-01,1.664668,1.972583,1.664668,1.924472,0.905432,53037906
2010-08-01,1.934094,2.020695,1.857115,1.924472,0.905432,33460593
2010-09-01,1.953339,2.155408,1.934094,2.049562,0.964285,55718123
2010-10-01,2.030318,2.145786,1.962961,2.059185,0.968812,44096236
2010-11-01,2.068807,2.136164,1.943716,1.982206,0.932595,33367062
2010-12-01,1.982206,2.049562,1.914849,2.001451,0.941650,36591841
2011-01-01,2.011073,2.039940,1.962961,2.020695,0.950704,45245642
2011-02-01,1.991828,1.991828,1.866738,1.866738,0.878269,40279085
2011-03-01,1.876360,1.982206,1.799381,1.934094,0.933565,53478548
2011-04-01,1.934094,2.020695,1.895605,1.943716,0.938210,31370668
2011-05-01,1.943716,2.020695,1.914849,2.001451,0.966078,27820604
2011-06-01,1.991828,2.011073,1.934094,1.982206,0.956788,23247923
2011-07-01,1.982206,2.039940,1.982206,2.001451,0.966078,19266570
2011-08-01,2.011073,2.030318,1.563633,1.746458,0.842995,93479127
2011-09-01,1.751269,1.794570,1.452976,1.452976,0.719634,54782804
2011-10-01,1.433731,1.578067,1.294207,1.568444,0.776823,61420468
2011-11-01,1.544388,1.597311,1.400053,1.424109,0.705337,18312544
2011-12-01,1.462598,1.558822,1.395242,1.486654,0.736314,20881558
2012-01-01,1.486654,1.717591,1.486654,1.707969,0.845928,28994954
2012-02-01,1.703157,1.703157,1.582878,1.650234,0.817333,44795648
2012-03-01,1.635801,1.751269,1.616556,1.669479,0.855257,31128524
2012-04-01,1.679101,1.823437,1.674290,1.818626,0.931664,31608659
2012-05-01,1.818626,1.895605,1.645423,1.765703,0.904551,37977157
2012-06-01,1.780136,1.876360,1.698346,1.876360,0.961240,24002416
2012-07-01,1.866738,2.011073,1.799381,1.972583,1.010534,36280066
2012-08-01,1.953339,1.953339,1.837870,1.953339,1.000675,51455136
2012-09-01,1.914849,1.962961,1.876360,1.953339,1.029732,40819494
2012-10-01,1.953339,2.039940,1.847493,1.861926,0.981542,52310436
2012-11-01,1.876360,1.895605,1.765703,1.852304,0.976470,41658164
2012-12-01,1.866738,1.881171,1.809003,1.809003,0.953643,43892546
2013-01-01,1.809003,1.953339,1.809003,1.943716,1.024659,46777493
2013-02-01,1.943716,1.991828,1.900416,1.991828,1.050022,38049906
2013-03-01,1.953339,2.049562,1.919660,1.972583,1.069336,55166286
2013-04-01,1.962961,2.049562,1.914849,1.924472,1.043255,41075151
2013-05-01,1.924472,1.934094,1.751269,1.770514,0.959795,75073044
2013-06-01,1.746458,1.852304,1.587689,1.635801,0.886767,55444804
2013-07-01,1.635801,1.688724,1.573255,1.602123,0.868510,50999947
2013-08-01,1.558822,1.582878,1.481843,1.501088,0.813739,31897570
2013-09-01,1.491465,1.597311,1.443354,1.568444,0.878808,50425246
2013-10-01,1.563633,1.630990,1.549200,1.602123,0.897678,23805997
2013-11-01,1.597311,1.616556,1.558822,1.563633,0.876112,16614413
2013-12-01,1.558822,1.587689,1.477032,1.578067,0.884199,20468978
2014-01-01,1.578067,1.602123,1.520333,1.544388,0.865329,19207334
2014-02-01,1.549200,1.578067,1.467410,1.568444,0.878808,17806433
2014-03-01,1.549200,1.592500,1.539577,1.592500,0.924203,16850323
2014-04-01,1.592500,1.765703,1.592500,1.727213,1.002383,33891882
2014-05-01,1.727213,1.732024,1.640612,1.669479,0.968877,26482057
2014-06-01,1.693535,1.703157,1.621367,1.693535,0.982838,37342174
2014-07-01,1.693535,1.732024,1.669479,1.683913,0.977254,21177745
2014-08-01,1.626178,1.630990,1.563633,1.587689,0.921411,29791017
2014-09-01,1.592500,1.635801,1.568444,1.606934,0.961422,34809533
2014-10-01,1.611745,1.664668,1.587689,1.659857,0.993085,23669187
2014-11-01,1.655046,1.669479,1.597311,1.669479,0.998842,22096438
2014-12-01,1.674290,1.693535,1.645423,1.674290,1.001721,24911756
2015-01-01,1.674290,1.746458,1.655046,1.732024,1.036262,29529020
2015-02-01,1.741647,1.741647,1.659857,1.703157,1.018992,22414345
2015-03-01,1.707969,1.732024,1.640612,1.688724,1.043636,37999500
2015-04-01,1.683913,1.712780,1.645423,1.650234,1.019849,22089577
2015-05-01,1.650234,1.679101,1.621367,1.650234,1.019849,28523032
2015-06-01,1.650234,1.650234,1.539577,1.568444,0.969303,35462493
2015-07-01,1.578067,1.602123,1.491465,1.501088,0.927677,34122072
2015-08-01,1.510710,1.515521,1.169116,1.270151,0.784957,36247647
2015-09-01,1.255718,1.337508,1.231662,1.250906,0.792354,27041485
2015-10-01,1.260529,1.356752,1.246095,1.303829,0.825876,26618199
2015-11-01,1.308641,1.342319,1.236473,1.270151,0.804544,20163443
2015-12-01,1.289396,1.294207,1.222039,1.274962,0.807591,19158904
2016-01-01,1.274962,1.299018,1.207606,1.255718,0.795401,19517031
2016-02-01,1.255718,1.274962,1.202795,1.231662,0.780164,18214856
2016-03-01,1.231662,1.279773,1.217228,1.265340,0.835352,30041888
2016-04-01,1.270151,1.438542,1.250906,1.342319,0.886172,42528639
2016-05-01,1.342319,1.380808,1.303829,1.337508,0.882996,27327065
2016-06-01,1.337508,1.400053,1.323074,1.356752,0.895700,30495936
2016-07-01,1.371186,1.481843,1.366375,1.414487,0.933815,37886533
2016-08-01,1.409675,1.424109,1.318263,1.332696,0.879819,39872950
2016-09-01,1.337508,1.351941,1.308641,1.347130,0.917307,32273255
2016-10-01,1.347130,1.361564,1.255718,1.289396,0.877994,40915623
2016-11-01,1.289396,1.303829,1.231662,1.274962,0.868165,33444484
2016-12-01,1.279773,1.308641,1.250906,1.289396,0.877994,22345233
2017-01-01,1.289396,1.371186,1.284585,1.361564,0.927135,32117578
2017-02-01,1.366375,1.380808,1.318263,1.361564,0.927135,25713121
2017-03-01,1.356752,1.380808,1.299018,1.380808,0.978205,22160558
2017-04-01,1.366375,1.491465,1.366375,1.491465,1.056597,25941442
2017-05-01,1.491465,1.568444,1.452976,1.563633,1.107724,31956180
