Date,Open,High,Low,Close,Adj Close,Volume
1996-09-01,18.000000,27.666668,18.000000,27.666668,16.079527,3340500
1996-10-01,27.166668,28.333332,17.000000,18.333332,10.655103,6331650
1996-11-01,18.000000,18.666668,15.250000,15.500000,9.008408,5167950
1996-12-01,15.500000,18.166668,15.000000,16.166668,9.395868,3394050
1997-01-01,16.166668,17.083332,14.500000,16.333332,9.492728,2383500
1997-02-01,16.333332,16.833332,12.000000,12.333333,7.167978,2061300
1997-03-01,12.000000,15.333333,11.833333,13.500000,7.846032,1390500
1997-04-01,13.333333,14.250000,10.666667,13.166667,7.652302,2575950
1997-05-01,13.083333,16.833332,13.000000,16.833332,9.783322,3584850
1997-06-01,16.416668,19.083332,14.500000,17.000000,9.880188,4224300
1997-07-01,17.000000,20.833332,16.916668,18.625000,10.824622,2533800
1997-08-01,18.666668,19.166668,15.833333,17.833332,10.364511,1994850
1997-09-01,17.750000,21.333332,17.416668,20.416668,11.865915,7944150
1997-10-01,20.333332,23.000000,17.666668,22.583332,13.125152,3759900
1997-11-01,22.666668,23.000000,19.666668,20.500000,11.914349,6553500
1997-12-01,20.666668,27.166668,20.166668,26.500000,15.401474,4150800
1998-01-01,26.500000,29.083332,24.416668,27.375000,15.910010,3777150
1998-02-01,27.500000,35.333332,27.166668,33.625000,19.542427,6456000
1998-03-01,33.750000,38.500000,31.875000,35.000000,20.341570,2821000
1998-04-01,34.562500,36.750000,30.375000,34.500000,20.050970,3308000
1998-05-01,35.000000,36.500000,30.500000,31.750000,18.452702,2006700
1998-06-01,31.500000,36.500000,29.250000,35.875000,20.850107,9480000
1998-07-01,35.625000,41.500000,35.500000,38.062500,22.121454,4637700
1998-08-01,37.625000,38.500000,31.625000,32.500000,18.888592,4768400
1998-09-01,32.875000,32.875000,24.500000,28.000000,16.273256,5215200
1998-10-01,26.937500,32.500000,19.250000,31.218750,18.143951,5610700
1998-11-01,31.375000,38.250000,31.375000,34.250000,19.905672,3413700
1998-12-01,34.750000,39.250000,29.625000,37.250000,21.649244,6420700
1999-01-01,37.312500,40.375000,34.500000,39.250000,22.811615,5107800
1999-02-01,39.375000,41.000000,32.875000,38.625000,22.448374,3090000
1999-03-01,38.625000,41.625000,32.250000,33.937500,19.724054,5206200
1999-04-01,34.125000,35.375000,29.687500,33.625000,19.542427,5484500
1999-05-01,34.062500,36.500000,27.750000,34.125000,19.833025,8297400
1999-06-01,34.000000,43.000000,34.000000,40.937500,23.792372,6450700
1999-07-01,40.875000,46.500000,40.000000,40.625000,23.610741,4574000
1999-08-01,40.750000,45.375000,35.250000,41.750000,24.264582,6295400
1999-09-01,42.125000,50.687500,40.812500,49.500000,28.768785,5419800
1999-10-01,49.000000,54.125000,44.625000,54.000000,31.384129,7387800
1999-11-01,54.125000,60.625000,53.375000,57.375000,33.345634,5755700
1999-12-01,56.625000,64.500000,56.250000,60.562500,35.198177,4231000
2000-01-01,60.562500,68.875000,54.750000,58.625000,34.072121,5561400
2000-02-01,60.250000,70.250000,40.125000,43.562500,25.317987,9629900
2000-03-01,42.812500,67.750000,42.750000,45.500000,26.444033,14603900
2000-04-01,45.500000,50.375000,36.500000,44.062500,25.608580,9208800
2000-05-01,43.000000,46.937500,38.093750,40.125000,23.320154,5550500
2000-06-01,40.250000,45.312500,40.062500,43.312500,25.172682,8846600
2000-07-01,43.125000,48.125000,41.750000,45.625000,26.516682,9856500
2000-08-01,45.718750,50.750000,45.718750,46.437500,26.988899,5609900
2000-09-01,47.000000,47.000000,37.625000,37.875000,22.012480,7187400
2000-10-01,38.000000,48.000000,36.000000,48.000000,27.897003,6920800
2000-11-01,47.250000,49.000000,35.250000,39.000000,22.666313,9596300
2000-12-01,39.062500,41.125000,36.000000,38.593750,22.430210,7266900
2001-01-01,38.125000,48.125000,36.250000,47.312500,27.497442,17232800
2001-02-01,47.359375,49.375000,41.000000,41.250000,23.973995,8719200
2001-03-01,41.625000,42.906250,32.125000,36.750000,21.358646,16748400
2001-04-01,36.312500,40.389999,34.125000,38.650002,22.462898,8248200
2001-05-01,38.730000,43.750000,36.830002,41.500000,24.119284,11363900
2001-06-01,41.689999,46.779999,40.610001,44.000000,25.572254,17003600
2001-07-01,45.000000,46.119999,42.320000,43.980000,25.560631,7791100
2001-08-01,44.090000,45.700001,31.549999,32.099998,18.656120,21695600
2001-09-01,32.099998,32.660000,24.650000,30.320000,17.621607,20353700
2001-10-01,30.610001,34.950001,28.700001,31.400000,18.249292,15258800
2001-11-01,31.500000,37.360001,31.150000,37.049999,21.533003,16200300
2001-12-01,36.939999,42.549999,36.439999,42.340000,24.607492,13391200
2002-01-01,42.299999,42.720001,33.349998,36.270000,21.079679,20394700
2002-02-01,36.730000,42.000000,35.330002,39.889999,23.183577,13695700
2002-03-01,39.950001,43.500000,38.400002,40.619999,23.607845,10005900
2002-04-01,40.549999,43.900002,38.849998,42.930000,24.950384,13083400
2002-05-01,42.990002,45.660000,39.880001,43.009998,24.996880,14592000
2002-06-01,43.139999,43.500000,32.900002,37.209999,21.625992,17734500
