Date,Open,High,Low,Close,Adj Close,Volume
1992-08-01,11.434609,11.824979,11.402078,11.402078,1.478353,1411879
1992-09-01,11.402078,12.020165,11.402078,11.434609,1.482571,350426
1992-10-01,11.597263,12.410535,11.402078,11.402078,1.478353,2259676
1992-11-01,11.402078,12.654517,11.402078,12.443066,1.613324,1745718
1992-12-01,12.524394,12.573190,11.678590,11.824979,1.533185,1445080
1993-01-01,11.824979,12.101492,11.694856,12.020165,1.558492,1051300
1993-02-01,12.150288,13.825629,11.857510,13.093684,1.697681,1349169
1993-03-01,13.093684,15.029272,13.093684,14.020815,1.817890,2674371
1993-04-01,14.216000,14.573840,14.020815,14.134673,1.832651,1553898
1993-05-01,14.183469,14.508778,13.256339,13.858160,1.796800,654754
1993-06-01,13.858160,14.752760,13.630444,14.362389,1.862177,2662937
1993-07-01,14.378655,15.631094,14.378655,15.631094,2.026672,1019943
1993-08-01,15.370847,17.404028,15.370847,17.111250,2.218584,2007622
1993-09-01,17.355230,17.485355,15.875076,16.964861,2.199604,1688538
1993-10-01,16.964861,17.696806,16.363039,17.696806,2.294506,1838860
1993-11-01,17.696806,17.696806,17.143782,17.436560,2.260764,2320248
1993-12-01,17.452824,19.307085,17.355230,18.900450,2.450566,2940887
1994-01-01,18.802856,20.022764,18.770325,19.860109,2.574991,6177810
1994-02-01,19.941437,21.031221,19.518536,20.331808,2.636151,3094895
1994-03-01,20.331808,20.461931,18.428751,18.428751,2.389407,2696505
1994-04-01,18.428751,18.428751,15.631094,15.663625,2.030890,2500999
1994-05-01,16.021465,16.021465,14.622636,15.273254,1.980276,1917244
1994-06-01,15.273254,16.460632,15.143131,15.631094,2.026672,1257871
1994-07-01,15.647359,17.192577,15.419643,16.232916,2.104703,337518
1994-08-01,16.346773,16.363039,15.403378,15.875076,2.058306,515504
1994-09-01,15.826279,15.875076,14.134673,14.427451,1.870613,3192649
1994-10-01,14.134673,14.378655,12.768375,12.914764,1.674483,963691
1994-11-01,12.914764,14.476247,12.410535,14.476247,1.876939,1002422
1994-12-01,14.216000,14.362389,13.435259,13.695506,1.775711,582821
1995-01-01,13.695506,13.890691,13.386462,13.516586,1.752513,894525
1995-02-01,13.581648,14.866618,13.581648,14.622636,1.895919,1361162
1995-03-01,14.752760,15.094334,13.939487,14.134673,1.832651,2655005
1995-04-01,14.134673,14.622636,13.939487,14.622636,1.895919,687030
1995-05-01,14.622636,15.175661,14.281062,14.996742,1.944425,1703298
1995-06-01,14.801556,14.996742,14.264796,14.573840,1.889593,703631
1995-07-01,14.508778,15.500970,14.329858,14.866618,1.927553,758042
1995-08-01,14.622636,14.850353,14.020815,14.264796,1.849523,1068809
1995-09-01,14.378655,14.622636,14.085877,14.378655,1.864286,1904003
1995-10-01,14.264796,14.427451,13.516586,13.630444,1.767275,599273
1995-11-01,13.858160,14.378655,13.516586,13.890691,1.801018,1333448
1995-12-01,13.532851,14.264796,12.768375,14.264796,1.849523,774455
1996-01-01,14.264796,15.452174,14.020815,15.126865,1.961296,1219175
1996-02-01,15.126865,15.224458,14.866618,15.094334,1.957078,1324009
1996-03-01,15.224458,16.314243,15.143131,15.988934,2.073069,1266648
1996-04-01,15.029272,15.500970,14.508778,14.915414,2.661027,858558
1996-05-01,14.915414,15.793748,14.899149,15.631094,2.788711,617237
1996-06-01,15.631094,15.875076,15.126865,15.631094,2.788711,577583
1996-07-01,15.598563,15.875076,14.866618,15.744952,2.809024,1056682
1996-08-01,15.728687,15.728687,14.720229,15.631094,2.788711,377614
1996-09-01,15.631094,15.842545,15.500970,15.793748,2.817730,1105781
1996-10-01,15.793748,16.737144,15.500970,16.363039,2.919295,2022632
1996-11-01,16.363039,16.476896,15.744952,15.988934,2.852552,1142375
1996-12-01,16.086527,17.306435,15.744952,17.208841,3.070193,1041747
1997-01-01,17.208841,19.095634,16.623285,18.721529,3.340069,4469525
1997-02-01,18.721529,20.283012,18.233564,19.941437,3.557710,2509999
1997-03-01,20.087826,21.307735,19.681190,20.657118,3.685394,2420289
1997-04-01,20.494463,20.494463,19.193228,20.169153,3.598338,2454959
1997-05-01,20.169153,20.657118,18.542608,20.006498,4.589123,588279
1997-06-01,19.843845,20.819773,19.843845,20.819773,4.775672,1789686
1997-07-01,20.819773,21.470388,19.193228,19.518536,4.477193,3760647
1997-08-01,19.355881,19.681190,18.542608,19.518536,4.477193,1437774
1997-09-01,19.518536,20.331808,19.030573,19.518536,4.477193,1684035
1997-10-01,19.518536,20.006498,17.891991,19.518536,4.477193,870029
1997-11-01,19.355881,19.518536,18.217300,19.193228,4.402573,906514
1997-12-01,19.030573,19.518536,18.542608,18.705263,4.290643,1357284
1998-01-01,18.705263,21.307735,18.705263,21.307735,4.887602,1810673
1998-02-01,21.633043,23.259588,21.633043,23.096933,5.298010,1471564
1998-03-01,23.096933,24.723478,22.608971,24.723478,5.671110,1229690
1998-04-01,24.072861,27.976568,24.072861,26.512678,7.488815,1784115
1998-05-01,26.512678,29.765766,25.862061,28.464533,8.040137,2356104
1998-06-01,28.464533,30.579041,28.464533,29.115149,8.223913,2461083
1998-07-01,28.952496,30.904348,28.464533,30.416386,8.591459,1356621
1998-08-01,29.765766,30.416386,22.934280,24.723478,6.983434,1517046
1998-09-01,24.560823,25.211443,23.584896,24.398170,6.891546,3666068
1998-10-01,24.235516,29.765766,24.235516,27.976568,7.902308,2456769
1998-11-01,27.976568,28.464533,14.150938,14.476247,4.088984,3679753
1998-12-01,14.638902,14.638902,12.849703,14.150938,3.997097,2141338
1999-01-01,14.150938,15.614829,13.337666,13.337666,3.767378,3562469
1999-02-01,13.662975,14.313593,13.175011,13.175011,3.721435,2523756
1999-03-01,13.988284,14.150938,12.687048,13.825629,3.905210,2557639
1999-04-01,13.988284,14.313593,13.012357,13.337666,3.767378,2698350
1999-05-01,13.500320,14.150938,13.337666,13.662975,3.967268,3598031
1999-06-01,13.500320,15.289520,13.500320,14.801556,4.297873,2745510
1999-07-01,14.801556,15.126865,14.313593,15.126865,4.392332,1759640
1999-08-01,15.126865,16.265446,14.150938,16.102793,4.675708,2387381
1999-09-01,16.102793,16.590755,15.126865,15.614829,4.534020,3037274
1999-10-01,15.452174,16.102793,14.801556,15.940137,4.628479,1454630
1999-11-01,15.940137,16.428101,14.801556,15.289520,4.439561,2933453
1999-12-01,15.452174,15.940137,14.964211,15.614829,4.534020,3775569
2000-01-01,15.777483,16.265446,14.964211,15.940137,4.628479,2553433
2000-02-01,15.452174,15.940137,14.964211,15.126865,4.392332,2029513
2000-03-01,15.126865,15.614829,14.801556,15.126865,4.392332,3437713
2000-04-01,14.801556,15.126865,14.313593,14.801556,4.297873,2687028
2000-05-01,14.801556,15.289520,13.825629,14.801556,4.417926,3076153
2000-06-01,14.964211,15.777483,14.638902,15.614829,4.660667,2721957
2000-07-01,15.940137,16.916063,15.614829,16.428101,4.903412,4859413
2000-08-01,16.428101,16.916063,15.940137,16.428101,4.903412,3963586
2000-09-01,16.428101,17.078718,16.428101,16.916063,5.049057,3180528
2000-10-01,16.916063,16.916063,15.452174,15.452174,4.612120,2681967
2000-11-01,16.428101,16.590755,15.452174,16.265446,4.854863,3707418
2000-12-01,16.265446,16.428101,15.777483,16.265446,4.854863,2505683
2001-01-01,16.265446,16.916063,16.265446,16.590755,4.951960,4923966
2001-02-01,16.590755,17.404028,16.428101,17.241373,5.146154,2653953
2001-03-01,17.241373,17.404028,16.265446,16.265446,4.854863,2665442
2001-04-01,16.590755,16.753410,16.265446,16.428101,4.903412,1343653
2001-05-01,16.428101,17.078718,16.428101,17.078718,5.238849,2824873
2001-06-01,17.078718,17.241373,16.916063,17.078718,5.238849,1756229
2001-07-01,17.078718,17.078718,16.590755,17.078718,5.238849,2382640
2001-08-01,17.078718,17.078718,16.590755,16.753410,5.139062,1435689
2001-09-01,16.753410,16.916063,15.452174,15.614829,4.789805,5276046
2001-10-01,16.102793,17.078718,15.614829,16.753410,5.139062,3731855
2001-11-01,16.753410,17.729338,16.590755,17.404028,5.338638,4014843
2001-12-01,17.404028,18.054646,16.916063,17.404028,5.338638,4773061
2002-01-01,17.404028,18.217300,17.404028,18.217300,5.588105,4112985
2002-02-01,18.217300,19.030573,18.217300,18.867918,5.787681,2405477
2002-03-01,18.705263,19.355881,17.891991,19.030573,5.837574,3755338
2002-04-01,19.030573,20.006498,19.030573,19.355881,5.937362,3439431
2002-05-01,19.355881,21.958353,19.355881,21.470388,6.756262,3504983
2002-06-01,21.633043,21.633043,19.843845,20.169153,6.346794,5347608
2002-07-01,20.169153,21.145081,18.542608,19.843845,6.244423,4696714
2002-08-01,19.843845,20.169153,18.379953,19.355881,6.090873,2394647
2002-09-01,19.518536,19.843845,18.705263,18.867918,5.937321,5499365
2002-10-01,18.705263,19.030573,17.566683,18.542608,5.834954,8202573
2002-11-01,18.542608,21.307735,18.217300,20.982426,6.602711,6383274
2002-12-01,20.982426,21.633043,20.494463,20.982426,6.602711,5222136
2003-01-01,20.982426,21.470388,19.518536,20.169153,6.346794,5003165
2003-02-01,20.169153,20.169153,18.705263,20.169153,6.346794,4376199
2003-03-01,20.169153,20.169153,19.030573,19.355881,6.090873,3529324
2003-04-01,19.355881,20.819773,13.012357,13.337666,4.197071,20870983
2003-05-01,13.337666,14.313593,13.337666,14.313593,4.632866,3838126
2003-06-01,14.313593,14.313593,13.662975,13.988284,4.527573,2714856
2003-07-01,13.988284,14.313593,13.988284,14.313593,4.632866,2464305
2003-08-01,14.313593,14.638902,14.313593,14.638902,4.738158,1646709
2003-09-01,14.638902,15.289520,14.313593,15.289520,4.948743,3007473
2003-10-01,15.289520,15.614829,14.638902,14.964211,4.843451,2505442
2003-11-01,14.964211,15.614829,14.964211,15.614829,5.054035,1840724
2003-12-01,15.614829,15.940137,15.289520,15.614829,5.054035,1673518
2004-01-01,15.614829,16.265446,15.289520,15.940137,5.159327,2157433
2004-02-01,15.940137,17.891991,15.940137,17.891991,5.791080,2494172
2004-03-01,17.891991,18.867918,17.891991,18.217300,5.896374,3859822
2004-04-01,18.217300,18.542608,16.590755,16.590755,5.369912,9809878
2004-05-01,16.590755,18.542608,16.265446,18.542608,6.323824,3159001
2004-06-01,18.542608,18.867918,17.566683,18.217300,6.212879,2815611
2004-07-01,18.217300,18.542608,17.566683,17.891991,6.101934,2264978
2004-08-01,18.217300,19.193228,17.891991,19.193228,6.545712,2025784
2004-09-01,19.193228,20.819773,18.217300,18.867918,6.434768,3029053
2004-10-01,18.867918,19.843845,18.542608,19.518536,6.656656,2674466
2004-11-01,19.518536,20.819773,19.193228,20.819773,7.100435,2325458
2004-12-01,21.145081,21.470388,20.494463,21.145081,7.211378,3143061
2005-01-01,21.470388,22.121008,19.843845,21.795698,7.433266,4345371
2005-02-01,21.795698,24.398170,21.470388,23.096933,7.877041,4777244
2005-03-01,23.096933,23.096933,21.470388,22.446316,7.655153,4781692
2005-04-01,22.771626,24.398170,22.446316,24.072861,8.209875,5652139
2005-05-01,24.072861,25.048788,23.747553,25.048788,8.824606,4848185
2005-06-01,25.048788,26.350023,24.723478,25.699406,9.053816,4176399
2005-07-01,25.699406,26.350023,25.048788,25.699406,9.053816,3800320
2005-08-01,26.024715,26.675331,25.374098,26.024715,9.168422,3557840
2005-09-01,26.024715,27.651258,25.699406,27.325951,9.626843,3872770
2005-10-01,27.325951,27.651258,25.048788,25.374098,8.939213,3455703
2005-11-01,25.374098,26.024715,24.723478,25.374098,8.939213,5732325
2005-12-01,25.374098,25.699406,24.398170,25.699406,9.053816,5227183
2006-01-01,25.699406,27.000641,25.699406,26.350023,9.283026,6886393
2006-02-01,26.675331,31.880276,26.675331,31.554966,11.116712,11796710
2006-03-01,31.554966,33.506821,31.229658,33.506821,11.804345,8957060
2006-04-01,33.506821,34.808056,29.928423,30.253731,10.658292,6014643
2006-05-01,30.253731,32.205585,26.675331,27.651258,10.020368,11187241
2006-06-01,27.651258,29.928423,26.024715,29.603113,10.727686,8820087
2006-07-01,29.277803,33.181511,28.952496,32.205585,11.670778,7027790
2006-08-01,32.530891,35.783981,32.205585,35.783981,12.967537,5677426
2006-09-01,35.783981,38.711761,34.482746,38.386456,13.910629,5073078
2006-10-01,38.711761,40.013000,37.085217,38.386456,13.910629,7161694
2006-11-01,38.386456,40.988926,38.061146,40.013000,14.500061,4564281
2006-12-01,40.013000,46.519176,39.362381,46.519176,16.857792,4650818
2007-01-01,46.519176,47.169796,42.615471,44.242016,16.032583,8806204
2007-02-01,44.567326,53.675976,44.242016,48.471031,17.565113,10070309
2007-03-01,48.471031,49.446957,41.314236,47.169796,17.093569,15496219
2007-04-01,47.495106,51.073502,45.217941,46.193871,16.739906,8857565
