Date,Open,High,Low,Close,Adj Close,Volume
2007-12-01,1.045919,1.144591,1.036052,1.075521,0.404048,40654003
2008-01-01,1.075521,1.075521,0.616698,0.907779,0.341031,75034686
2008-02-01,0.907779,0.957115,0.833775,0.942314,0.355065,58281146
2008-03-01,0.932447,0.981783,0.833775,0.981783,0.369937,54265812
2008-04-01,1.006451,1.055787,0.952181,1.016318,0.382950,69340042
2008-05-01,1.016318,1.045919,0.966982,0.986716,0.376622,23933907
2008-06-01,0.986716,0.986716,0.799240,0.838709,0.320129,36262668
2008-07-01,0.828842,0.828842,0.675901,0.720303,0.274935,97246726
2008-08-01,0.720303,0.740037,0.656166,0.661100,0.252337,36108625
2008-09-01,0.666033,0.725236,0.493358,0.720303,0.280277,63503513
2008-10-01,0.720303,0.720303,0.360151,0.409487,0.159335,51799043
2008-11-01,0.409487,0.444022,0.305882,0.330550,0.134301,88650546
2008-12-01,0.325616,0.360151,0.300948,0.345350,0.140314,53655707
2009-01-01,0.345350,0.404553,0.345350,0.379885,0.154346,52619949
2009-02-01,0.374952,0.404553,0.355218,0.384819,0.156350,30932874
2009-03-01,0.370018,0.404553,0.315749,0.370018,0.150337,41533686
2009-04-01,0.370018,0.458823,0.370018,0.424288,0.172386,33583080
2009-05-01,0.424288,0.621631,0.424288,0.596963,0.247493,58299390
2009-06-01,0.601897,0.611764,0.547627,0.547627,0.227039,38289595
2009-07-01,0.547627,0.626565,0.537760,0.587096,0.243403,64251454
2009-08-01,0.592030,0.651233,0.557495,0.651233,0.276595,51286232
2009-09-01,0.646299,0.769639,0.626565,0.759771,0.322694,46828012
2009-10-01,0.759771,0.759771,0.680834,0.740037,0.314313,29290055
2009-11-01,0.730170,0.744971,0.685768,0.720303,0.311966,53685096
2009-12-01,0.715369,0.774572,0.700568,0.774572,0.335471,47010437
2010-01-01,0.774572,0.814041,0.749904,0.769639,0.333334,58876049
2010-02-01,0.774572,0.784439,0.754838,0.779506,0.341283,33979344
2010-03-01,0.779506,0.868310,0.769639,0.838709,0.367203,52628056
2010-04-01,0.843642,0.902845,0.814041,0.868310,0.380163,52846962
2010-05-01,0.868310,0.873244,0.744971,0.809107,0.360316,39082123
2010-06-01,0.804174,0.853510,0.794307,0.823908,0.366907,26280070
2010-07-01,0.828842,0.878178,0.814041,0.868310,0.386680,44954123
2010-08-01,0.873244,0.873244,0.823908,0.828842,0.375468,35370826
2010-09-01,0.823908,0.883007,0.818975,0.863165,0.391016,100751530
2010-10-01,0.863165,0.937575,0.853243,0.892929,0.412850,180983831
2010-11-01,0.897890,0.937575,0.883007,0.932615,0.431199,70283148
2010-12-01,0.922693,0.957418,0.902850,0.957418,0.442667,33505212
2011-01-01,0.942536,0.987183,0.927654,0.927654,0.428906,44698147
2011-02-01,0.947497,0.952458,0.878047,0.892929,0.418502,51583237
2011-03-01,0.892929,0.932615,0.828440,0.897890,0.420827,53804688
2011-04-01,0.897890,0.922693,0.883007,0.897890,0.420827,41312548
2011-05-01,0.897890,0.907811,0.868125,0.907811,0.432809,44696130
2011-06-01,0.902850,0.917733,0.883007,0.912772,0.435174,29438262
2011-07-01,0.912772,0.947497,0.907811,0.912772,0.435174,40027450
2011-08-01,0.917733,0.927654,0.803636,0.883007,0.428234,61027431
2011-09-01,0.897890,0.902850,0.803636,0.843322,0.408988,53773443
