Date,Open,High,Low,Close,Adj Close,Volume
2005-11-01,20.549999,21.299999,19.350000,19.900000,3.848747,1233359
2005-12-01,19.799999,20.250000,19.000000,19.430000,3.757846,643168
2006-01-01,19.379999,20.100000,19.120001,20.000000,3.868088,511209
2006-02-01,20.000000,22.799999,19.500000,22.000000,4.254896,520828
2006-03-01,22.000000,22.750000,20.059999,21.100000,4.080833,1050276
2006-04-01,21.200001,21.400000,19.450001,19.570000,3.784923,565564
2006-05-01,19.570000,20.780001,19.200001,20.530001,3.970593,1461252
2006-06-01,20.500000,24.500000,20.490000,23.299999,4.616230,1494093
2006-07-01,22.850000,24.150000,21.650000,23.650000,4.685574,451074
2006-08-01,23.650000,23.850000,22.299999,22.850000,4.527076,260315
2006-09-01,22.850000,26.590000,22.830000,26.530001,5.256165,820017
2006-10-01,26.000000,27.490000,25.549999,27.490000,5.446362,427849
2006-11-01,27.000000,34.950001,26.600000,31.629999,6.346061,492019
2006-12-01,31.600000,33.990002,28.760000,30.200001,6.059155,696820
2007-01-01,30.200001,31.049999,28.360001,31.000000,6.219661,658517
2007-02-01,31.200001,33.000000,29.500000,31.180000,6.255774,545242
2007-03-01,30.799999,32.000000,27.900000,30.650000,6.149439,1094904
2007-04-01,30.190001,30.190001,28.100000,28.459999,5.710049,487125
2007-05-01,28.459999,30.070000,25.549999,29.400000,5.898645,1518756
2007-06-01,29.600000,29.799999,24.040001,25.559999,5.200574,1186382
2007-07-01,25.400000,29.160000,24.400000,25.840000,5.257545,1364684
2007-08-01,25.400000,27.200001,22.910000,25.540001,5.196504,1522064
2007-09-01,25.690001,27.200001,21.900000,27.139999,5.522049,1464049
2007-10-01,27.150000,28.600000,25.010000,26.990000,5.491528,850098
2007-11-01,26.990000,27.299999,23.370001,26.809999,5.525954,1061778
2007-12-01,26.809999,28.309999,24.230000,26.170000,5.394038,717171
2008-01-01,26.170000,27.600000,22.750000,24.980000,5.148762,1250922
2008-02-01,25.000000,29.100000,23.900000,28.240000,5.820699,911273
