Date,Open,High,Low,Close,Adj Close,Volume
1997-12-01,23.062500,25.125000,22.875000,25.125000,8.676065,2484500
1998-01-01,25.000000,25.000000,23.750000,24.500000,8.509418,1275200
1998-02-01,24.500000,24.812500,23.500000,23.500000,8.162097,933900
1998-03-01,23.750000,24.937500,23.250000,24.125000,8.379174,1594600
1998-04-01,24.062500,24.562500,22.562500,23.000000,8.104526,1060700
1998-05-01,23.000000,25.000000,23.000000,23.812500,8.390825,936200
1998-06-01,23.937500,25.000000,22.312500,24.500000,8.633081,1988200
1998-07-01,24.500000,24.875000,23.500000,23.875000,8.534145,1203500
1998-08-01,24.000000,25.875000,22.750000,23.500000,8.400105,1842900
1998-09-01,23.625000,26.000000,22.125000,25.812500,9.226707,1339600
1998-10-01,25.687500,25.687500,22.625000,23.000000,8.344450,1248500
1998-11-01,23.000000,23.000000,22.187500,22.250000,8.072353,1184300
1998-12-01,22.125000,22.125000,20.750000,22.000000,7.981650,6735700
1999-01-01,21.875000,23.125000,21.500000,22.125000,8.155612,3849700
1999-02-01,22.000000,22.187500,20.750000,21.000000,7.740913,2731400
1999-03-01,21.125000,21.625000,20.375000,20.750000,7.648764,1806200
1999-04-01,20.750000,22.125000,20.312500,22.000000,8.248241,5106500
1999-05-01,22.000000,22.625000,21.875000,22.500000,8.435704,4325000
1999-06-01,22.500000,23.500000,22.375000,23.500000,8.810624,2067700
1999-07-01,23.000000,23.125000,22.250000,22.500000,8.435704,1282200
1999-08-01,22.500000,22.500000,21.000000,21.500000,8.182646,1988400
1999-09-01,21.375000,21.625000,19.812500,21.187500,8.063717,2370100
1999-10-01,20.750000,21.250000,19.812500,19.875000,7.564198,703200
1999-11-01,19.937500,21.000000,19.750000,20.000000,7.739620,1431600
1999-12-01,20.062500,20.125000,18.000000,19.937500,7.715433,4279800
2000-01-01,19.937500,20.687500,18.812500,20.437500,8.059367,3246800
2000-02-01,20.500000,20.687500,20.000000,20.187500,7.960783,3167500
2000-03-01,20.250000,21.500000,19.937500,21.500000,8.478354,4554200
2000-04-01,21.125000,22.125000,21.000000,22.062500,8.700169,3866500
2000-05-01,22.062500,23.125000,22.000000,22.500000,9.028063,4407400
2000-06-01,22.562500,23.625000,22.375000,22.828125,9.159719,3744500
2000-07-01,22.687500,24.000000,22.687500,23.875000,9.732195,4608200
2000-08-01,23.937500,24.437500,23.750000,24.187500,9.859583,4587600
2000-09-01,24.250000,25.000000,24.062500,24.562500,10.012445,2942600
2000-10-01,24.125000,24.375000,22.812500,23.500000,9.579336,2644900
2000-11-01,23.500000,23.812500,22.500000,23.812500,9.855176,4513600
2000-12-01,23.750000,26.062500,23.312500,25.812500,10.682904,4812400
2001-01-01,25.687500,25.875000,23.750000,24.650000,10.357416,4706700
2001-02-01,24.600000,24.709999,23.549999,24.709999,10.382622,2728300
2001-03-01,24.600000,25.150000,23.160000,24.600000,10.336402,3600200
2001-04-01,24.250000,25.049999,22.750000,24.900000,10.462459,4139200
2001-05-01,24.950001,25.150000,23.900000,24.700001,10.547790,3030400
2001-06-01,24.700001,25.799999,24.400000,25.760000,11.000445,3914900
2001-07-01,25.110001,25.969999,24.750000,25.000000,10.675900,3337600
2001-08-01,25.000000,26.690001,25.000000,25.629999,11.115369,4697400
2001-09-01,25.379999,25.700001,23.150000,24.500000,10.625307,5227700
2001-10-01,24.750000,24.969999,23.080000,24.309999,10.542906,6515600
2001-11-01,24.350000,25.730000,24.110001,25.500000,11.236745,3686100
2001-12-01,25.500000,26.389999,25.200001,26.000000,11.457073,5004200
2002-01-01,26.000000,26.430000,25.000000,25.610001,11.457891,2764200
2002-02-01,25.590000,26.450001,25.350000,26.049999,11.654753,3866700
2002-03-01,26.200001,27.650000,26.100000,27.500000,12.303477,4049200
2002-04-01,27.530001,29.400000,27.290001,28.040001,12.545078,5267600
2002-05-01,28.040001,29.500000,27.650000,29.150000,13.238785,5527900
2002-06-01,29.250000,31.100000,29.000000,31.000000,14.078977,5537000
2002-07-01,31.000000,31.000000,25.530001,29.549999,13.420444,10010500
2002-08-01,29.200001,29.959999,28.650000,29.750000,13.693380,4526200
2002-09-01,29.660000,29.740000,28.090000,28.900000,13.302143,4579700
2002-10-01,28.900000,28.950001,24.700001,26.799999,12.335549,10107500
2002-11-01,26.799999,28.200001,26.350000,27.650000,12.909814,7299100
2002-12-01,27.660000,28.450001,26.840000,27.360001,12.774414,5350600
2003-01-01,27.450001,28.049999,25.900000,27.650000,13.102149,16243500
2003-02-01,27.600000,28.150000,26.850000,28.000000,13.268000,4816500
2003-03-01,28.000000,28.799999,27.290001,28.250000,13.386463,6873700
2003-04-01,28.250000,28.799999,26.879999,27.299999,12.936291,8500500
2003-05-01,27.350000,28.559999,26.379999,27.410000,13.178720,6670000
2003-06-01,27.700001,29.139999,27.360001,28.170000,13.544122,7529100
2003-07-01,27.950001,28.700001,26.830000,28.100000,13.510476,8797900
2003-08-01,28.150000,28.580000,27.309999,28.500000,13.907675,5081100
2003-09-01,28.969999,31.000000,28.549999,30.809999,15.034935,8160300
2003-10-01,30.450001,31.680000,29.910000,29.990000,14.634783,6902000
2003-11-01,30.100000,32.060001,29.969999,31.459999,15.561737,4980400
2003-12-01,31.700001,33.599998,31.450001,32.880001,16.264147,4071700
2004-01-01,33.020000,35.529999,32.770000,34.950001,17.509611,4147700
2004-02-01,35.000000,36.250000,34.619999,35.419998,17.745075,5622600
2004-03-01,35.520000,37.209999,35.139999,37.169998,18.621809,6330900
2004-04-01,36.799999,37.299999,29.840000,30.299999,15.180001,10322200
2004-05-01,30.250000,33.049999,28.150000,33.049999,16.749239,6284600
2004-06-01,32.950001,36.590000,32.400002,34.630001,17.549961,7470400
2004-07-01,34.299999,36.750000,33.849998,35.139999,18.028021,6227600
2004-08-01,35.110001,37.459999,34.340000,37.349998,19.161827,8052200
2004-09-01,37.430000,38.150002,35.810001,37.020000,18.992525,5481400
2004-10-01,36.439999,37.950001,35.849998,37.500000,19.238775,5117100
2004-11-01,37.650002,40.650002,37.270000,39.950001,20.733736,5357500
2004-12-01,39.950001,41.349998,39.290001,40.389999,20.962105,7053300
2005-01-01,41.080002,41.450001,36.700001,37.230000,19.527502,9397200
2005-02-01,37.250000,39.900002,36.750000,38.820000,20.361486,7605900
2005-03-01,38.820000,40.349998,36.520000,37.799999,19.826481,7003900
2005-04-01,37.799999,39.160000,36.740002,38.990002,20.450659,6079800
2005-05-01,38.990002,41.299999,38.540001,40.310001,21.392023,5473400
2005-06-01,40.320000,44.000000,40.250000,43.430000,23.047747,7359300
2005-07-01,43.189999,46.459999,42.799999,45.990002,24.406319,8510500
2005-08-01,45.990002,46.250000,41.849998,44.330002,23.766153,7855300
2005-09-01,44.430000,45.750000,42.790001,44.900002,24.071730,6226400
2005-10-01,44.459999,44.930000,40.919998,44.180000,23.685728,8098900
2005-11-01,44.049999,46.919998,42.450001,46.759998,25.317013,7014300
2005-12-01,46.900002,50.250000,46.900002,49.169998,26.621845,12026600
2006-01-01,49.400002,52.240002,48.889999,52.200001,28.519312,9239100
2006-02-01,51.900002,54.090000,49.930000,53.650002,29.311502,9229600
2006-03-01,53.750000,56.529999,51.919998,54.270000,29.650215,10230100
2006-04-01,54.250000,54.250000,49.500000,49.990002,27.311874,8732500
2006-05-01,50.250000,51.919998,46.259998,49.430000,27.242895,11417800
2006-06-01,49.570000,51.680000,47.720001,50.549999,27.860188,8307800
2006-07-01,50.849998,53.049999,50.049999,52.430000,28.896330,8697700
2006-08-01,52.650002,56.029999,52.000000,55.830002,31.047417,6611600
2006-09-01,55.970001,58.650002,55.000000,55.110001,30.647013,7336500
2006-10-01,55.029999,58.630001,54.490002,58.410000,32.482162,11022700
2006-11-01,58.599998,62.230000,56.990002,61.270000,34.352711,9399400
2006-12-01,61.299999,63.020000,57.080002,58.610001,32.861309,7500400
2007-01-01,58.799999,60.980000,56.020000,60.849998,34.383499,11325000
2007-02-01,60.900002,65.379997,58.619999,58.799999,33.225151,12752900
2007-03-01,57.770000,60.869999,56.209999,58.790001,33.219498,22525100
2007-04-01,58.790001,62.830002,58.669998,60.910000,34.417408,13907400
2007-05-01,61.000000,61.709999,54.380001,57.849998,32.965488,14795300
2007-06-01,57.919998,59.779999,51.529999,53.220001,30.327127,15624000
2007-07-01,55.200001,57.209999,52.130001,53.279999,30.361303,20184500
2007-08-01,52.599998,55.549999,48.099998,54.980000,31.613317,26092200
2007-09-01,54.889999,60.000000,53.119999,59.810001,34.390556,13426500
2007-10-01,59.970001,66.860001,59.770000,65.349998,37.576023,18011600
2007-11-01,64.589996,64.849998,55.570000,61.160000,35.449169,24977200
2007-12-01,60.840000,64.320000,54.279999,57.560001,33.362564,14466600
2008-01-01,57.480000,57.919998,47.070000,50.570000,29.577566,31295000
2008-02-01,50.880001,52.790001,47.730000,50.180000,29.349466,22987600
2008-03-01,50.389999,56.980000,45.750000,54.419998,31.829386,24347400
2008-04-01,55.029999,59.759998,52.790001,57.750000,33.777031,21293200
2008-05-01,57.599998,60.169998,56.209999,58.939999,34.789207,15526000
2008-06-01,58.820000,59.049999,49.910000,50.380001,29.736675,19512800
2008-07-01,49.669998,54.070000,44.770000,48.959999,28.898520,34988500
2008-08-01,48.869999,51.500000,42.849998,45.389999,27.070747,26486200
2008-09-01,46.290001,57.130001,40.270000,45.299999,27.017076,40437700
2008-10-01,44.180000,44.180000,15.070000,24.030001,14.331583,57040700
2008-11-01,23.920000,26.410000,8.730000,17.219999,10.394558,69044200
2008-12-01,16.590000,23.700001,12.910000,23.420000,14.137074,75764100
2009-01-01,24.000000,26.030001,15.500000,16.120001,9.730560,62361800
2009-02-01,16.150000,18.190001,11.530000,11.910000,7.189265,64474000
2009-03-01,11.360000,15.090000,9.120000,14.400000,8.692310,144889800
2009-04-01,14.220000,19.910000,13.810000,19.090000,11.523350,111616100
2009-05-01,19.090000,20.000000,15.930000,17.850000,10.984795,82448600
2009-06-01,18.209999,20.750000,16.879999,18.809999,11.575569,61178200
