"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2021","121.20","121.20","121.20","121.20","","0.00%"
"04/01/2021","121.20","122.00","124.00","120.80","2.99M","-0.33%"
"03/01/2021","121.60","121.40","125.20","119.40","41.32M","-0.33%"
"02/01/2021","122.00","88.20","122.80","83.00","50.68M","33.92%"
"01/01/2021","91.10","95.00","96.60","84.50","7.67M","-4.11%"
"12/01/2020","95.00","93.00","95.00","81.40","6.32M","2.37%"
"11/01/2020","92.80","86.20","98.00","81.30","5.68M","4.50%"
"10/01/2020","88.80","90.00","95.90","85.70","3.96M","0.68%"
"09/01/2020","88.20","84.30","94.80","83.60","4.50M","3.52%"
"08/01/2020","85.20","86.10","91.00","80.70","5.72M","-4.80%"
"07/01/2020","89.50","81.21","93.40","78.10","8.27M","8.48%"
"06/01/2020","82.50","67.60","88.90","66.04","11.22M","20.09%"
"05/01/2020","68.70","61.00","73.40","41.55","14.86M","12.62%"
"04/01/2020","61.00","65.50","70.10","51.40","9.56M","-6.30%"
"03/01/2020","65.10","113.20","127.00","50.50","11.34M","-42.69%"
"02/01/2020","113.60","131.53","134.00","110.60","33.13M","-13.94%"
"01/01/2020","132.00","131.00","137.60","128.00","6.29M","0.76%"
"12/01/2019","131.00","126.10","143.22","120.64","4.89M","2.66%"
"11/01/2019","127.60","133.00","136.80","123.80","7.42M","-1.54%"
"10/01/2019","129.60","111.60","133.00","109.20","6.07M","18.68%"
"09/01/2019","109.20","101.60","119.00","101.14","5.65M","7.69%"
"08/01/2019","101.40","107.80","110.40","99.00","4.80M","-3.43%"
"07/01/2019","105.00","105.00","117.00","97.00","3.59M","-0.57%"
"06/01/2019","105.60","107.83","111.59","98.33","9.46M","-1.86%"
"05/01/2019","107.60","125.20","128.60","106.60","6.37M","-14.74%"
"04/01/2019","126.20","152.00","162.40","125.20","7.92M","-16.97%"
"03/01/2019","152.00","140.44","160.00","124.80","15.60M","10.55%"
"02/01/2019","137.50","159.00","166.00","131.40","8.55M","-11.43%"
"01/01/2019","155.25","138.75","158.50","138.75","6.43M","8.38%"
"12/01/2018","143.25","154.25","159.50","138.50","5.41M","-8.90%"
"11/01/2018","157.25","162.00","175.59","153.25","5.04M","-4.84%"
"10/01/2018","165.25","164.75","168.00","157.00","6.14M","0.15%"
"09/01/2018","165.00","172.21","172.21","157.00","11.11M","-2.37%"
"08/01/2018","169.00","175.75","178.00","163.50","4.81M","-5.06%"
"07/01/2018","178.00","173.50","181.25","173.00","4.79M","1.86%"
"06/01/2018","174.75","189.50","189.75","171.75","17.63M","-6.80%"
"05/01/2018","187.50","190.50","190.50","180.25","12.02M","1.08%"
"04/01/2018","185.50","163.00","189.63","158.50","10.87M","15.76%"
"03/01/2018","160.25","177.00","177.25","156.25","9.14M","-7.10%"
"02/01/2018","172.50","173.25","179.00","168.50","8.61M","-1.71%"
"01/01/2018","175.50","181.00","188.50","168.46","8.01M","-4.67%"
"12/01/2017","184.10","180.50","184.10","166.25","21.54M","2.14%"
"11/01/2017","180.25","183.75","194.95","176.75","14.96M","-3.12%"
"10/01/2017","186.05","189.25","193.15","183.65","8.38M","-2.08%"
"09/01/2017","190.00","196.50","200.10","185.00","8.56M","-3.80%"
"08/01/2017","197.50","187.70","199.30","185.50","5.23M","2.78%"
"07/01/2017","192.15","197.35","201.25","187.45","7.81M","-3.51%"
"06/01/2017","199.15","190.00","225.00","188.80","12.74M","3.62%"
"05/01/2017","192.20","193.04","195.40","182.50","11.07M","0.50%"
"04/01/2017","191.25","185.00","198.05","180.05","11.17M","3.86%"
"03/01/2017","184.15","181.25","188.85","175.45","8.31M","-0.81%"
