Date,Open,High,Low,Close,Adj Close,Volume
2000-02-01,26.996422,26.996422,25.293943,25.313400,5.364341,26042
2000-03-01,25.780367,26.266788,25.196659,25.780367,5.463299,20241
2000-04-01,25.323130,26.072220,24.418385,25.293943,5.360218,24145
2000-05-01,25.293943,26.850494,24.807522,26.266788,5.566379,14696
2000-06-01,26.266788,27.726053,23.931963,25.780367,5.463299,17279
2000-07-01,26.266788,26.266788,25.099377,25.293943,5.780000,16953
2000-08-01,25.148018,25.293943,23.931963,23.931963,5.468770,34764
2000-09-01,24.029247,24.321100,23.640108,24.223816,5.535462,57021
2000-10-01,25.099377,25.099377,22.861834,23.212057,5.304262,72281
2000-11-01,23.348255,24.126532,23.348255,24.029247,5.491001,20335
2000-12-01,24.126532,27.482843,24.126532,27.434200,6.269078,31817
2001-01-01,27.434200,27.580128,24.904806,26.558641,6.069000,31792
2001-02-01,26.500271,27.181261,26.266788,26.315432,6.013423,25831
2001-03-01,26.743483,27.239632,26.461357,26.655926,6.091232,9383
2001-04-01,27.190990,27.229904,26.315432,27.229904,6.222393,10874
2001-05-01,27.229904,27.239632,26.753210,27.239632,6.224616,16501
2001-06-01,27.239632,28.212477,26.461357,26.850494,6.135693,30877
2001-07-01,26.169504,26.169504,23.834679,25.284216,5.777778,16157
2001-08-01,25.050734,26.753210,25.050734,25.887379,6.407802,35124
2001-09-01,25.877651,26.558641,25.293943,25.323130,6.268134,26152
2001-10-01,25.974936,26.169504,25.313400,25.838737,6.395762,15127
2001-11-01,25.838737,28.115192,25.838737,28.115192,6.959244,21630
2001-12-01,28.017908,29.185320,27.823339,29.185320,7.224126,24838
2002-01-01,29.185320,30.547302,26.811581,28.212477,6.983323,29016
2002-02-01,28.212477,29.477175,28.212477,29.477175,7.296370,25481
2002-03-01,29.185320,29.477175,27.239632,28.163834,6.971283,44712
2002-04-01,28.163834,28.747541,27.142347,28.659985,7.094093,22694
2002-05-01,28.659985,29.769028,28.017908,29.185320,7.224126,19747
2002-06-01,29.185320,29.914953,28.504330,29.671741,7.344530,24453
2002-07-01,29.769028,29.769028,25.780367,27.550941,6.819578,108638
2002-08-01,27.599585,28.212477,27.336918,27.823339,7.421552,25674
2002-09-01,27.969265,28.115192,26.266788,26.266788,7.006360,32141
2002-10-01,26.266788,28.202747,26.266788,27.356375,7.296995,26505
2002-11-01,27.356375,29.671741,27.239632,28.747541,7.668074,16384
2002-12-01,28.747541,32.103851,28.552973,31.957926,8.524405,25114
2003-01-01,31.957926,32.103851,30.352734,30.401375,8.109213,61097
2003-02-01,30.401375,31.131008,30.401375,30.644587,8.174088,16433
2003-03-01,30.887798,31.714714,30.741871,31.714714,8.459531,18072
2003-04-01,31.811998,32.833485,31.811998,32.298420,8.615230,30214
2003-05-01,32.298420,32.882130,29.185320,31.724443,8.462126,37961
2003-06-01,31.714714,33.952255,31.131008,31.928741,8.516621,119354
2003-07-01,32.006569,32.055210,31.520145,32.055210,9.143058,62086
2003-08-01,32.055210,33.611759,31.919012,33.066967,9.431641,32546
2003-09-01,33.028053,33.076698,32.736202,33.057240,9.428868,27540
2003-10-01,33.028053,33.631218,33.028053,33.621490,9.589808,37801
2003-11-01,33.572845,36.238441,33.572845,36.238441,10.336236,56189
2003-12-01,36.257896,36.968075,34.652702,35.265594,10.058753,107049
2004-01-01,35.265594,35.265594,33.076698,34.039810,9.987641,64918
2004-02-01,33.854973,34.779175,33.806332,34.720802,10.187451,64759
2004-03-01,34.438679,34.905643,34.351124,34.497047,10.121800,42782
2004-04-01,34.633247,34.633247,31.131008,31.374220,9.205528,40180
2004-05-01,31.383947,32.541634,30.206806,31.510418,9.245491,36447
2004-06-01,31.500689,33.660404,30.887798,32.784843,9.619421,37275
2004-07-01,32.784843,33.757687,31.607702,31.811998,9.333976,17913
2004-08-01,31.811998,33.854973,31.763357,32.590275,9.847468,19484
2004-09-01,32.882130,33.952255,32.249779,33.854973,10.229610,37721
2004-10-01,33.563118,33.854973,32.590275,33.319908,10.067934,24515
2004-11-01,33.475563,35.314240,32.891857,35.304508,10.667598,26348
2004-12-01,35.411522,36.248169,33.173981,33.368549,10.082630,62342
2005-01-01,33.679859,37.892277,33.679859,37.697704,11.390726,42760
2005-02-01,37.697704,37.746349,36.968075,36.968075,11.170264,24581
2005-03-01,37.435040,37.649063,35.508808,35.508808,10.729332,41186
2005-04-01,35.499077,36.822147,35.411522,35.859032,10.835155,20153
2005-05-01,35.995228,38.524624,35.849300,38.427338,11.611193,25944
2005-06-01,38.437065,42.805138,37.989559,40.373028,12.199102,89333
2005-07-01,40.373028,40.956734,38.427338,40.373028,12.199102,31682
