Date,Open,High,Low,Close,Adj Close,Volume
1994-01-01,20.250000,21.875000,20.000000,21.500000,3.412572,558000
1994-02-01,21.625000,23.625000,20.750000,22.125000,3.511773,670100
1994-03-01,22.000000,24.000000,21.875000,22.500000,3.571296,539400
1994-04-01,22.500000,24.000000,21.500000,23.875000,3.861792,284600
1994-05-01,24.000000,24.375000,23.500000,24.000000,3.882013,242300
1994-06-01,24.000000,24.000000,22.625000,23.375000,3.780918,248700
1994-07-01,23.500000,23.500000,22.500000,22.500000,3.708025,1396000
1994-08-01,22.625000,23.000000,22.125000,22.750000,3.749223,476100
1994-09-01,22.625000,23.250000,22.375000,23.000000,3.790426,331100
1994-10-01,23.250000,23.500000,21.875000,22.500000,3.779507,337100
1994-11-01,22.500000,23.125000,20.750000,21.125000,3.548537,223200
1994-12-01,21.125000,23.000000,19.750000,22.500000,3.779507,1066900
1995-01-01,22.500000,22.625000,21.125000,22.000000,3.769207,278200
1995-02-01,22.250000,23.125000,21.875000,22.625000,3.876286,413400
1995-03-01,22.750000,23.125000,22.250000,22.500000,3.854871,299100
1995-04-01,22.500000,22.500000,20.875000,21.375000,3.734781,288000
1995-05-01,21.375000,24.250000,21.375000,23.875000,4.171600,977400
1995-06-01,23.875000,25.000000,23.750000,25.000000,4.368167,459700
1995-07-01,25.000000,25.000000,24.125000,24.875000,4.346327,273600
1995-08-01,24.875000,25.125000,24.375000,25.125000,4.469564,300500
1995-09-01,24.875000,26.000000,24.750000,26.000000,4.625220,324700
1995-10-01,26.000000,26.000000,24.500000,24.875000,4.425094,2412000
1995-11-01,24.875000,25.750000,24.625000,25.000000,4.526318,479300
1995-12-01,25.125000,26.375000,25.000000,26.375000,4.775264,435200
1996-01-01,26.375000,27.500000,25.000000,27.500000,4.978948,686500
1996-02-01,27.375000,28.000000,25.750000,26.875000,4.949295,558200
1996-03-01,27.000000,27.500000,25.750000,27.250000,5.018357,305500
1996-04-01,27.250000,27.250000,24.875000,26.125000,4.894033,2834100
1996-05-01,26.125000,26.750000,26.000000,26.750000,5.011115,547900
1996-06-01,26.750000,27.375000,26.500000,26.875000,5.034529,429000
1996-07-01,27.000000,28.000000,25.625000,28.000000,5.334764,597800
1996-08-01,28.000000,28.375000,27.000000,28.375000,5.406214,628100
1996-09-01,28.250000,29.000000,27.375000,28.500000,5.430031,627600
1996-10-01,28.375000,28.875000,28.125000,28.625000,5.542725,546900
1996-11-01,28.500000,31.875000,28.500000,31.875000,6.172031,422800
1996-12-01,31.625000,34.750000,30.250000,34.500000,6.680315,617700
1997-01-01,33.875000,33.875000,31.250000,32.375000,6.268846,1279600
1997-02-01,32.125000,33.250000,31.000000,32.125000,6.309807,598600
1997-03-01,32.250000,33.500000,31.625000,32.000000,6.285254,490000
1997-04-01,31.875000,32.125000,30.250000,32.000000,6.375371,799900
1997-05-01,32.000000,33.500000,32.000000,32.625000,6.499894,321300
1997-06-01,32.625000,34.750000,32.625000,33.562500,6.686666,598400
1997-07-01,33.625000,36.250000,33.500000,36.187500,7.310707,681100
1997-08-01,36.125000,37.187500,33.750000,35.250000,7.121312,437100
1997-09-01,35.250000,38.000000,34.687500,35.875000,7.247578,496900
1997-10-01,35.875000,35.875000,33.750000,34.875000,7.134081,637500
1997-11-01,34.875000,36.812500,33.687500,36.437500,7.453713,454000
1997-12-01,36.250000,36.375000,34.750000,35.937500,7.351430,956900
1998-01-01,36.000000,36.250000,33.750000,34.937500,7.146867,1334500
1998-02-01,34.937500,36.187500,33.937500,34.875000,7.227796,827100
1998-03-01,34.750000,35.500000,34.125000,34.750000,7.201890,1207200
1998-04-01,34.750000,35.125000,33.062500,35.000000,7.355953,1515200
1998-05-01,35.000000,35.500000,33.125000,33.937500,7.132650,899500
1998-06-01,33.937500,34.437500,32.250000,33.125000,6.961885,628000
1998-07-01,33.125000,34.250000,32.500000,33.562500,7.159339,779700
1998-08-01,33.562500,34.250000,32.500000,32.687500,6.972690,624900
1998-09-01,32.625000,34.750000,29.875000,33.562500,7.159339,593300
1998-10-01,33.375000,34.000000,31.000000,33.437500,7.238154,368900
1998-11-01,33.312500,33.937500,32.500000,32.562500,7.048744,511700
1998-12-01,32.562500,34.875000,32.250000,34.812500,7.535794,646400
