Date,Open,High,Low,Close,Adj Close,Volume
1995-09-01,25.000000,27.000000,24.500000,26.250000,2.626009,2564400
1995-10-01,26.375000,26.625000,25.875000,26.250000,2.626009,805400
1995-11-01,26.125000,26.375000,25.250000,26.125000,2.659535,537700
1995-12-01,26.000000,26.750000,24.375000,26.750000,2.723160,367300
1996-01-01,26.875000,26.875000,25.500000,26.250000,2.732066,492500
1996-02-01,26.250000,27.875000,25.875000,27.750000,2.888184,491200
1996-03-01,27.750000,27.875000,26.375000,26.750000,2.784106,439300
1996-04-01,27.000000,27.000000,24.875000,25.375000,2.640998,5403500
1996-05-01,25.500000,26.125000,24.625000,26.000000,2.767187,1713300
1996-06-01,26.000000,26.750000,25.250000,26.750000,2.847012,1603700
1996-07-01,26.625000,26.750000,25.000000,26.375000,2.807099,1452500
1996-08-01,26.375000,26.875000,26.000000,26.750000,2.911337,1330400
1996-09-01,26.750000,26.875000,26.375000,26.750000,2.911337,1023200
1996-10-01,26.750000,26.750000,25.750000,26.125000,2.843316,6549500
1996-11-01,26.125000,27.875000,25.000000,27.000000,3.005140,1604700
1996-12-01,27.000000,29.500000,26.500000,29.000000,3.227742,2055000
1997-01-01,28.875000,32.000000,28.125000,31.000000,3.520760,4077700
1997-02-01,31.000000,32.375000,30.625000,32.375000,3.676923,1914600
1997-03-01,32.250000,33.000000,30.000000,30.625000,3.478170,2273600
1997-04-01,30.375000,32.125000,29.125000,30.875000,3.506562,1490700
1997-05-01,31.125000,32.125000,30.500000,31.750000,3.674491,1074700
1997-06-01,31.875000,32.625000,30.000000,30.625000,3.544293,1188600
1997-07-01,30.625000,32.562500,30.375000,32.000000,3.703424,1324300
1997-08-01,32.000000,33.687500,31.750000,33.500000,3.951621,1039300
1997-09-01,33.500000,36.125000,32.875000,35.375000,4.172795,1178200
1997-10-01,35.250000,38.312500,32.187500,35.562500,4.194913,1603100
1997-11-01,35.437500,37.125000,34.875000,35.562500,4.263915,820300
1997-12-01,35.625000,35.937500,31.750000,32.875000,3.941685,8335900
1998-01-01,33.000000,34.500000,32.062500,34.187500,4.179140,4118900
1998-02-01,35.000000,35.312500,33.750000,35.000000,4.278462,2603400
1998-03-01,34.750000,36.750000,33.750000,35.437500,4.331942,2193400
1998-04-01,35.562500,35.625000,31.875000,32.125000,3.927015,1811800
1998-05-01,32.125000,33.125000,29.875000,31.250000,3.892257,2272500
1998-06-01,31.250000,32.625000,30.062500,32.125000,4.001241,2028900
1998-07-01,32.000000,34.562500,28.000000,28.937500,3.604232,1860100
1998-08-01,28.750000,31.125000,24.812500,27.500000,3.494276,2929800
1998-09-01,26.875000,31.500000,26.562500,29.937500,3.803996,1841000
1998-10-01,29.312500,29.937500,25.312500,26.437500,3.359272,2792300
1998-11-01,27.000000,27.875000,24.625000,26.000000,3.381577,3195400
1998-12-01,26.250000,26.562500,23.812500,24.125000,3.137712,3554300
1999-01-01,25.500000,27.687500,25.312500,26.687500,3.562804,2416800
1999-02-01,27.000000,27.875000,25.500000,25.750000,3.437647,1889200
1999-03-01,26.000000,27.062500,25.000000,27.062500,3.612866,2242500
1999-04-01,27.062500,29.875000,26.250000,28.812500,3.846494,2204500
1999-05-01,28.875000,28.875000,25.937500,27.125000,3.708935,9047800
1999-06-01,27.250000,27.500000,26.812500,27.125000,3.708935,2796500
1999-07-01,27.250000,27.875000,26.562500,27.250000,3.726027,2593800
1999-08-01,27.062500,27.250000,24.750000,26.875000,3.768887,2561700
1999-09-01,26.500000,26.500000,22.062500,22.187500,3.111523,2453800
1999-10-01,22.500000,23.000000,20.375000,21.125000,2.962521,3402000
1999-11-01,21.375000,21.500000,18.437500,18.500000,2.677187,4826200
1999-12-01,18.562500,19.125000,17.937500,19.062500,2.758590,7304800
2000-01-01,19.375000,21.312500,18.875000,19.562500,2.830945,3744600
2000-02-01,18.875000,20.125000,18.500000,19.375000,2.898484,2884800
2000-03-01,19.625000,20.875000,18.562500,20.250000,3.029384,2993000
2000-04-01,20.250000,22.437500,20.250000,22.250000,3.328581,2926000
2000-05-01,22.312500,23.250000,21.750000,23.000000,3.550898,2781600
2000-06-01,23.000000,25.062500,22.500000,22.578125,3.485767,3147300
2000-07-01,22.562500,25.125000,22.562500,24.750000,3.821075,2137500
2000-08-01,24.687500,25.437500,23.125000,23.250000,3.692169,2309200
2000-09-01,23.062500,25.000000,23.062500,23.375000,3.712021,2171000
2000-10-01,23.500000,23.500000,20.250000,21.562500,3.424188,2807200
2000-11-01,21.500000,22.625000,20.937500,21.625000,3.543134,2782300
2000-12-01,21.625000,23.375000,21.562500,22.625000,3.706978,2829400
2001-01-01,22.625000,26.110001,22.625000,25.500000,4.178030,2836100
2001-02-01,25.400000,26.500000,25.000000,25.950001,4.376159,2284100
2001-03-01,26.200001,27.150000,25.389999,26.400000,4.452046,3329300
2001-04-01,26.450001,27.000000,25.299999,26.350000,4.443612,3363900
2001-05-01,26.440001,28.000000,26.020000,27.250000,4.720118,2768800
2001-06-01,27.350000,30.350000,27.049999,28.500000,4.936636,3868300
2001-07-01,28.750000,29.549999,27.690001,28.049999,4.858690,3892000
2001-08-01,27.500000,29.900000,27.500000,28.520000,5.062355,8455000
2001-09-01,28.700001,28.730000,20.400000,24.080000,4.274246,8034600
2001-10-01,24.030001,26.900000,23.350000,24.809999,4.403824,13093600
2001-11-01,24.799999,27.900000,24.709999,27.430000,5.005031,3960000
2001-12-01,27.629999,30.010000,27.290001,29.500000,5.382734,3654200
2002-01-01,29.500000,30.040001,28.840000,29.900000,5.455719,3979000
2002-02-01,29.950001,31.900000,29.879999,31.900000,5.961748,4696100
2002-03-01,32.000000,34.799999,31.850000,34.330002,6.415887,4466500
2002-04-01,34.150002,36.490002,32.900002,34.000000,6.354214,7013600
2002-05-01,34.049999,35.410000,32.500000,35.330002,6.736794,5336600
2002-06-01,35.380001,36.500000,34.009998,36.500000,6.959890,5500900
2002-07-01,36.500000,36.750000,25.799999,33.619999,6.410728,9553300
2002-08-01,33.500000,35.139999,31.080000,34.680000,6.771930,4493500
2002-09-01,34.709999,34.799999,32.830002,33.119999,6.467310,3752000
2002-10-01,33.369999,33.700001,29.299999,32.720001,6.389204,5658200
2002-11-01,32.740002,34.430000,32.630001,34.099998,6.808588,4468700
2002-12-01,34.349998,35.330002,33.150002,35.200001,7.028218,5238500
2003-01-01,35.250000,35.869999,31.150000,32.400002,6.469156,7234500
2003-02-01,32.650002,32.840000,29.500000,30.559999,6.238889,5422100
2003-03-01,30.600000,31.900000,29.410000,30.549999,6.236848,5747300
2003-04-01,30.799999,31.770000,26.500000,28.809999,5.881625,12242000
2003-05-01,28.770000,31.600000,28.590000,31.590000,6.608735,7199800
2003-06-01,31.590000,33.000000,30.049999,31.250000,6.537605,6329300
2003-07-01,30.930000,32.160000,29.500000,31.520000,6.594092,9231400
2003-08-01,31.549999,31.850000,29.620001,31.139999,6.664784,7134200
2003-09-01,31.100000,35.090000,31.010000,35.080002,7.508050,6959300
2003-10-01,35.020000,37.230000,34.799999,36.669998,7.848350,8038300
2003-11-01,36.750000,39.840000,36.709999,39.549999,8.633527,4221500
2003-12-01,39.500000,42.389999,39.400002,41.279999,9.011175,4287200
