Date,Open,High,Low,Close,Adj Close,Volume
2001-11-01,3.503656,3.651118,3.410073,3.544775,0.914162,253590
2001-12-01,3.644029,3.707835,3.558954,3.706417,0.955848,215161
2002-01-01,3.706417,3.814178,3.658208,3.712088,0.957310,160171
2002-02-01,3.700745,3.714924,3.652536,3.685148,0.950363,375629
2002-03-01,3.686566,3.899252,3.686566,3.799999,0.979982,535562
2002-04-01,3.799999,3.870894,3.594402,3.679476,0.948900,689377
2002-05-01,3.679476,3.828357,3.622760,3.814178,1.066455,582601
2002-06-01,3.807088,3.842536,3.771641,3.807088,1.064472,275129
2002-07-01,3.814178,3.842536,3.693655,3.714924,1.038703,436469
2002-08-01,3.743282,3.828357,3.714924,3.814178,1.066455,231386
2002-09-01,3.814178,3.849626,3.756044,3.814178,1.066455,477509
2002-10-01,3.814178,3.849626,3.771641,3.828357,1.070419,648379
2002-11-01,3.828357,3.892163,3.792909,3.870894,1.082313,493688
2002-12-01,3.842536,4.111939,3.842536,3.963058,1.108082,751838
2003-01-01,3.963058,4.239551,3.963058,4.119029,1.151692,545780
2003-02-01,4.111939,4.182834,4.097760,4.148805,1.160017,570239
2003-03-01,4.148805,4.256566,4.055223,4.256566,1.190148,362893
2003-04-01,4.260820,4.317536,4.182834,4.289178,1.199266,402401
2003-05-01,4.289178,4.324625,4.097760,4.205521,1.175875,768756
2003-06-01,4.246640,4.374252,4.168655,4.253730,1.290075,562649
2003-07-01,4.253730,4.601118,4.252312,4.601118,1.395431,572381
2003-08-01,4.579849,4.601118,4.409700,4.530222,1.373930,597736
2003-09-01,4.530222,4.608208,4.395521,4.501864,1.365329,669131
2003-10-01,4.501864,4.501864,4.395521,4.436640,1.400245,789660
2003-11-01,4.433805,4.466417,4.395521,4.464999,1.409195,997697
2003-12-01,4.466417,4.467834,4.411118,4.452237,1.405167,1027021
2004-01-01,4.452237,4.608208,4.409700,4.535894,1.431571,438772
2004-02-01,4.535894,4.820894,4.508954,4.788282,1.511226,1088938
2004-03-01,4.793954,4.891790,4.679103,4.891790,1.543894,902400
2004-04-01,4.820894,4.962685,4.749999,4.749999,1.499143,627514
2004-05-01,4.754252,4.806715,4.360073,4.395521,1.387267,597852
2004-06-01,4.395521,4.693282,4.395521,4.643655,1.520293,935748
2004-07-01,4.423879,4.679103,4.423879,4.608208,1.508688,579538
2004-08-01,4.601118,4.608208,4.466417,4.479178,1.466444,387067
2004-09-01,4.494775,4.815222,4.362909,4.691864,1.536076,439234
2004-10-01,4.691864,4.820894,4.649327,4.734402,1.550003,608990
2004-11-01,4.732984,4.820894,4.679103,4.806715,1.573678,1342798
2004-12-01,4.785446,5.033581,4.785446,4.962685,1.624741,969051
2005-01-01,4.955596,5.295894,4.863431,5.274625,1.726868,844239
2005-02-01,5.217909,5.317163,5.189551,5.250521,1.718976,2806311
2005-03-01,5.260446,5.288804,4.981118,5.074700,1.661414,929606
2005-04-01,5.094551,5.175372,5.076118,5.154103,1.687410,424727
2005-05-01,5.139924,5.154103,4.863431,5.026491,1.645631,1184444
2005-06-01,5.033581,5.657461,5.033581,5.593655,1.973649,1621115
2005-07-01,5.551118,5.633357,5.536939,5.593655,1.973649,1588010
2005-08-01,5.545446,5.941043,5.529849,5.796416,2.045190,1564811
2005-09-01,5.728357,5.870148,5.529849,5.721267,2.018675,2511193
2005-10-01,5.714177,5.739700,5.481640,5.529849,2.009312,2028307
2005-11-01,5.529849,5.810595,5.458954,5.699998,2.071137,1075508
2005-12-01,5.806342,6.374924,5.718431,6.238804,2.266917,1339957
2006-01-01,6.174998,6.372088,6.082834,6.174998,2.243732,1764652
2006-02-01,6.183506,6.309700,6.111192,6.238804,2.266917,1611983
2006-03-01,6.231715,6.664177,5.970819,6.522386,2.369958,2095533
