Date,Open,High,Low,Close,Adj Close,Volume
2000-02-01,40.033356,40.765671,39.056931,40.033356,7.302700,36773
2000-03-01,39.135044,41.986202,35.248878,41.986202,7.658928,38826
2000-04-01,41.986202,49.797588,40.423923,40.482510,7.384632,35235
2000-05-01,40.482510,48.235310,40.482510,46.868317,8.549500,12421
2000-06-01,46.868317,46.868317,42.376770,43.841404,8.543902,11899
2000-07-01,43.060265,44.915470,42.484177,43.450836,8.467788,6228
2000-08-01,43.255550,44.915470,42.962624,43.460602,8.469690,12711
2000-09-01,43.939049,45.891895,42.474411,43.939049,8.562932,13002
2000-10-01,42.630638,43.929283,39.056931,39.154572,7.630524,19621
2000-11-01,39.154572,41.888557,39.154572,41.009777,7.992068,13955
2000-12-01,40.668030,41.986202,39.838070,41.986202,8.182357,8885
2001-01-01,41.986202,45.882130,41.009777,43.001682,8.380256,14674
2001-02-01,43.001682,46.848789,42.982151,45.891895,8.943505,11652
2001-03-01,45.452503,46.868317,45.159576,45.891895,8.943505,13376
2001-04-01,45.891895,46.868317,45.179104,45.891895,8.943505,8221
2001-05-01,45.891895,46.380104,41.497990,42.962624,8.372643,13094
2001-06-01,43.353191,43.792583,41.009777,41.497990,8.712221,46771
2001-07-01,41.497990,42.962624,38.080509,41.497990,8.712221,15401
2001-08-01,42.083843,43.939049,41.273411,42.669697,8.958214,16266
2001-09-01,42.572056,42.962624,40.619209,41.166004,8.642523,12423
2001-10-01,41.497990,43.939049,41.156242,42.972389,9.021761,13033
2001-11-01,42.972389,47.356529,42.972389,47.356529,9.942180,15288
2001-12-01,47.044071,48.723522,46.477749,48.332951,10.147176,21393
2002-01-01,48.332951,48.332951,45.891895,46.868317,9.839682,13210
2002-02-01,46.917137,48.332951,46.917137,47.454170,9.962679,18346
2002-03-01,47.844742,48.821163,46.878082,47.454170,9.962679,36726
2002-04-01,47.454170,48.801636,47.210064,48.791870,10.243521,21776
2002-05-01,48.791870,49.309376,45.891895,46.868317,9.839682,29876
2002-06-01,47.356529,47.844742,46.282463,46.282463,10.466531,21329
2002-07-01,46.770676,47.337002,46.136002,46.585155,10.534981,19982
2002-08-01,46.585155,47.356529,45.891895,46.673031,10.554853,20520
2002-09-01,46.477749,47.747097,44.915470,45.208397,10.223634,19887
2002-10-01,44.915470,46.868317,41.986202,43.060265,9.737844,23113
2002-11-01,43.060265,48.332951,43.060265,46.868317,10.599017,18519
2002-12-01,47.014782,51.603970,46.868317,51.603970,11.669960,17496
2003-01-01,51.603970,53.703281,49.309376,51.652790,11.680999,23217
2003-02-01,51.848076,52.482750,51.555149,51.750435,11.703081,16487
2003-03-01,52.141003,52.141003,50.725189,51.750435,11.703081,21987
2003-04-01,51.652790,54.191490,49.504662,49.504662,11.195212,42159
2003-05-01,49.504662,50.285797,48.821163,49.992870,12.113163,24447
2003-06-01,50.676369,50.774010,49.797588,50.774010,12.302430,18213
2003-07-01,50.774010,56.632549,50.774010,54.582062,13.225112,21846
2003-08-01,54.582062,54.679703,51.945717,52.873322,12.811090,30906
2003-09-01,52.922142,53.605637,51.848076,53.215069,12.893894,17716
2003-10-01,53.215069,54.582062,53.117428,54.191490,13.130477,25556
2003-11-01,53.556816,57.706615,53.312710,57.267223,13.875723,29556
2003-12-01,57.267223,57.364868,54.289135,55.949055,13.556333,69743
2004-01-01,55.949055,58.097183,55.949055,58.048363,14.064990,26404
2004-02-01,58.097183,58.341290,56.827835,57.120762,13.840237,47596
2004-03-01,56.925476,57.999542,56.827835,57.169582,13.852063,19705
2004-04-01,57.364868,57.853081,53.215069,53.361530,12.929379,24445
2004-05-01,53.215069,53.312710,48.332951,50.871655,13.152294,26910
2004-06-01,51.262222,52.726856,50.969296,51.750435,13.379496,14942
2004-07-01,51.994537,54.679703,51.311043,52.678036,13.619314,29518
2004-08-01,52.336288,53.703281,52.043362,53.605637,13.859136,12240
2004-09-01,53.605637,56.046696,53.117428,53.996208,13.960115,27089
2004-10-01,53.605637,56.388443,53.166248,56.144337,14.515487,31171
2004-11-01,55.753769,56.974297,55.704948,56.241982,14.540731,24984
2004-12-01,56.241982,57.413689,55.900230,57.071941,14.755310,26611
